dataset	comparison	n	ari_r1.0	boot_lo	boot_hi
blood	C1_vs_C2	44538	0.7976509027290276	0.7926020061427769	0.8029314938804237
blood	MAD3_vs_C2	47008	0.8789843017568539	0.87430205835229	0.883360089628671
blood	MAD5_vs_C2	47421	0.8358118737832141	0.830949886911107	0.8408432582593254
blood	C1_vs_MAD3	44538	0.7959292035619575	0.7909696103349935	0.8012673829619977
blood	C1_vs_MAD5	44538	0.7779972658147799	0.7725936352306534	0.7833321589983075
blood	MAD3_vs_MAD5	48491	0.8065535147313255	0.8018704959751708	0.8112534852617036
liver	C1_vs_C2	44627	0.9076325858921	0.9036077677346698	0.9117893200907148
liver	MAD3_vs_C2	39941	0.8776614438186859	0.873401348777871	0.8823758009968126
liver	MAD5_vs_C2	44042	0.9107990875082258	0.9070032288670744	0.914722018457814
liver	C1_vs_MAD3	38495	0.8594509624355144	0.8546979362799301	0.8644282675538737
liver	C1_vs_MAD5	42430	0.9138017584034358	0.9096243258015518	0.9178572452890152
liver	MAD3_vs_MAD5	40965	0.8545962461684661	0.8496602826997368	0.8592921204345083
small_intestine	C1_vs_C2	38700	0.8668261782286896	0.8620261531942397	0.8712854550750195
small_intestine	MAD3_vs_C2	38700	0.8718644168936924	0.8676215752734543	0.8766862761844715
small_intestine	MAD5_vs_C2	38700	0.8392032217207669	0.8341107872695521	0.8444311565169231
small_intestine	C1_vs_MAD3	44799	0.9228238468189864	0.9191732198915884	0.9263333730073788
small_intestine	C1_vs_MAD5	44799	0.8822748034102551	0.8780869753817815	0.8864222095153016
small_intestine	MAD3_vs_MAD5	49234	0.924327124069084	0.9211712601481876	0.9273240778693456
