dataset	comparison	method_a	method_b	n_intersection	ari_r1.0	nmi_r1.0	ari_r1.0_lo	ari_r1.0_hi	ari_r0.5	ari_r1.5	marker_jaccard_median	annotation_agreement_pct
blood	C1_vs_C2	C1	C2	44538	0.7976509027290276	0.9033472513185928	0.7926020061427769	0.8029314938804237	0.935463662463855	0.6402044240009284	0.8371848570358297	94.341910278863
blood	MAD3_vs_C2	MAD3	C2	47008	0.8789843017568539	0.918784993815736	0.87430205835229	0.883360089628671	0.9349627596449893	0.6770814505232869	0.8670428593377246	93.64788972089858
blood	MAD5_vs_C2	MAD5	C2	47421	0.8358118737832141	0.8976341266553238	0.830949886911107	0.8408432582593254	0.9304031194168083	0.659248547189947	0.8435330423472446	94.27890596992894
blood	C1_vs_MAD3	C1	MAD3	44538	0.7959292035619575	0.9032428338773429	0.7909696103349935	0.8012673829619977	0.9643328647902903	0.7402944583687094	0.8281455298623619	94.40477794243118
blood	C1_vs_MAD5	C1	MAD5	44538	0.7779972658147799	0.8812210101716027	0.7725936352306534	0.7833321589983075	0.9543208124291793	0.6887111572199963	0.719888311184656	94.2543446046073
blood	MAD3_vs_MAD5	MAD3	MAD5	48491	0.8065535147313255	0.8928475604637927	0.8018704959751708	0.8112534852617036	0.9545114723424925	0.7613253864241308	0.7417091896899966	94.78872368068302
liver	C1_vs_C2	C1	C2	44627	0.9076325858920999	0.9653093044723413	0.9036077677346698	0.9117893200907147	0.9436081255737638	0.9195545712126092	0.8679652614186375	98.10876823447688
liver	MAD3_vs_C2	MAD3	C2	39941	0.8776614438186859	0.9561059225609944	0.873401348777871	0.8823758009968126	0.8585761665623192	0.913259375924141	0.7896105362317648	98.22988908640244
liver	MAD5_vs_C2	MAD5	C2	44042	0.9107990875082258	0.9727133865087061	0.9070032288670743	0.9147220184578139	0.9858255692560837	0.8654204734443491	0.8680282584125959	98.31751509922347
liver	C1_vs_MAD3	C1	MAD3	38495	0.8594509624355144	0.9557816260619654	0.8546979362799301	0.8644282675538737	0.8616573800814561	0.9246041796420436	0.7961785391213457	97.78153006884011
liver	C1_vs_MAD5	C1	MAD5	42430	0.9138017584034358	0.9686697587039892	0.9096243258015518	0.9178572452890151	0.9400259478542365	0.8847908518900296	0.843349933977114	98.31015790714117
liver	MAD3_vs_MAD5	MAD3	MAD5	40965	0.8545962461684661	0.9541433915220056	0.8496602826997368	0.8592921204345083	0.8702325910118685	0.84699942746549	0.8276770628757554	98.71109483705602
small_intestine	C1_vs_C2	C1	C2	38700	0.8668261782286896	0.9150117478818504	0.8620261531942397	0.8712854550750195	0.9369066063506769	0.7823114065775079	0.75991946490254	89.54005167958657
small_intestine	MAD3_vs_C2	MAD3	C2	38700	0.8718644168936924	0.9135337780881017	0.8676215752734543	0.8766862761844715	0.9461928611303302	0.8466137536070001	0.742947522640673	87.76485788113695
small_intestine	MAD5_vs_C2	MAD5	C2	38700	0.8392032217207669	0.9029015586088674	0.8341107872695521	0.8444311565169231	0.942578745559789	0.8054250066526626	0.7424705711216439	88.04651162790698
small_intestine	C1_vs_MAD3	C1	MAD3	44799	0.9228238468189865	0.9395581063464188	0.9191732198915883	0.9263333730073787	0.9512200458920016	0.8281370253791072	0.8461279997988814	89.53994508806001
small_intestine	C1_vs_MAD5	C1	MAD5	44799	0.8822748034102551	0.9185247044498969	0.8780869753817815	0.8864222095153016	0.9593979391573704	0.8565409102049203	0.8012068396793635	88.70733721734861
small_intestine	MAD3_vs_MAD5	MAD3	MAD5	49234	0.9243271240690841	0.9402020098931917	0.9211712601481876	0.9273240778693456	0.972209275740394	0.8649901777791743	0.8988473224057058	91.10980216923265
