input_id	tool	organism	id_system	n_pathways_returned	seconds	status
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	fgsea	human	ensembl	50	1.62	ok
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	clusterProfiler_ORA	human	ensembl	50	2.72	ok
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	fgsea	human	ensembl	50	1.84	ok
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	clusterProfiler_ORA	human	ensembl	50	2.72	ok
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	fgsea	human	ensembl	50	1.92	ok
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	clusterProfiler_ORA	human	ensembl	50	2.7	ok
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_limma	fgsea	human	ensembl	50	1.93	ok
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_limma	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_limma	clusterProfiler_ORA	human	ensembl	50	2.71	ok
gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	fgsea	human	ensembl	50	1.58	ok
gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	clusterProfiler_ORA	human	ensembl	50	2.72	ok
gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_edgeR	fgsea	human	ensembl	50	1.6	ok
gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_edgeR	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_edgeR	clusterProfiler_ORA	human	ensembl	50	2.73	ok
gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_limma	fgsea	human	ensembl	50	1.64	ok
gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_limma	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_limma	clusterProfiler_ORA	human	ensembl	50	2.7	ok
gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	fgsea	human	ensembl	50	1.47	ok
gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	clusterProfiler_ORA	human	ensembl	50	2.7	ok
gtex_tissue_pair__GTEx_pituitary_vs_thyroid_edgeR	fgsea	human	ensembl	50	1.47	ok
gtex_tissue_pair__GTEx_pituitary_vs_thyroid_edgeR	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_pituitary_vs_thyroid_edgeR	clusterProfiler_ORA	human	ensembl	50	2.71	ok
gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	fgsea	human	ensembl	50	1.51	ok
gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	clusterProfiler_ORA	human	ensembl	50	2.72	ok
gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_DESeq2	fgsea	human	ensembl	50	1.41	ok
gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_DESeq2	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_DESeq2	clusterProfiler_ORA	human	ensembl	50	2.44	ok
gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_edgeR	fgsea	human	ensembl	50	1.42	ok
gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_edgeR	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_edgeR	clusterProfiler_ORA	human	ensembl	50	2.45	ok
gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	fgsea	human	ensembl	50	1.46	ok
gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	clusterProfiler_ORA	human	ensembl	50	2.47	ok
gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_DESeq2	fgsea	human	ensembl	50	1.47	ok
gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_DESeq2	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_DESeq2	clusterProfiler_ORA	human	ensembl	50	2.72	ok
gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	fgsea	human	ensembl	50	1.53	ok
gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	clusterProfiler_ORA	human	ensembl	50	2.71	ok
gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	fgsea	human	ensembl	50	1.59	ok
gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	clusterProfiler_ORA	human	ensembl	50	2.7	ok
gtex_tissue_pair__GTEx_testis_vs_ovary_DESeq2	fgsea	human	ensembl	50	1.49	ok
gtex_tissue_pair__GTEx_testis_vs_ovary_DESeq2	gseapy_enrichr	human	ensembl	50	0.03	ok
gtex_tissue_pair__GTEx_testis_vs_ovary_DESeq2	clusterProfiler_ORA	human	ensembl	50	2.73	ok
gtex_tissue_pair__GTEx_testis_vs_ovary_edgeR	fgsea	human	ensembl	50	1.84	ok
gtex_tissue_pair__GTEx_testis_vs_ovary_edgeR	gseapy_enrichr	human	ensembl	50	0.03	ok
gtex_tissue_pair__GTEx_testis_vs_ovary_edgeR	clusterProfiler_ORA	human	ensembl	50	2.73	ok
gtex_tissue_pair__GTEx_testis_vs_ovary_limma	fgsea	human	ensembl	50	1.83	ok
gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gseapy_enrichr	human	ensembl	50	0.03	ok
gtex_tissue_pair__GTEx_testis_vs_ovary_limma	clusterProfiler_ORA	human	ensembl	50	2.73	ok
gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	fgsea	human	ensembl	50	1.63	ok
gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	clusterProfiler_ORA	human	ensembl	50	2.72	ok
gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	fgsea	human	ensembl	50	1.73	ok
gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	clusterProfiler_ORA	human	ensembl	50	2.73	ok
gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	fgsea	human	ensembl	50	1.76	ok
gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gseapy_enrichr	human	ensembl	50	0.02	ok
gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	clusterProfiler_ORA	human	ensembl	50	2.71	ok
