input_id	tool	organism	id_system	n_pathways_returned	seconds	status
tcga_cancer__HNSC_edgeR	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__HNSC_edgeR	clusterProfiler_ORA	human	symbol	50	2.45	ok
tcga_cancer__HNSC_limma	fgsea	human	symbol	50	1.85	ok
tcga_cancer__HNSC_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__HNSC_limma	clusterProfiler_ORA	human	symbol	50	2.45	ok
tcga_cancer__KICH_DESeq2	fgsea	human	symbol	50	1.46	ok
tcga_cancer__KICH_DESeq2	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__KICH_DESeq2	clusterProfiler_ORA	human	symbol	50	2.46	ok
tcga_cancer__KICH_edgeR	fgsea	human	symbol	50	1.47	ok
tcga_cancer__KICH_edgeR	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__KICH_edgeR	clusterProfiler_ORA	human	symbol	50	2.46	ok
tcga_cancer__KICH_limma	fgsea	human	symbol	50	1.56	ok
tcga_cancer__KICH_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__KICH_limma	clusterProfiler_ORA	human	symbol	50	2.47	ok
tcga_cancer__KIRC_DESeq2	fgsea	human	symbol	50	1.75	ok
tcga_cancer__KIRC_DESeq2	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__KIRC_DESeq2	clusterProfiler_ORA	human	symbol	50	2.7	ok
tcga_cancer__KIRC_edgeR	fgsea	human	symbol	50	1.82	ok
tcga_cancer__KIRC_edgeR	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__KIRC_edgeR	clusterProfiler_ORA	human	symbol	50	2.68	ok
tcga_cancer__KIRC_limma	fgsea	human	symbol	50	1.89	ok
tcga_cancer__KIRC_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__KIRC_limma	clusterProfiler_ORA	human	symbol	50	2.7	ok
tcga_cancer__KIRP_DESeq2	fgsea	human	symbol	50	1.53	ok
tcga_cancer__KIRP_DESeq2	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__KIRP_DESeq2	clusterProfiler_ORA	human	symbol	50	2.49	ok
tcga_cancer__KIRP_edgeR	fgsea	human	symbol	50	1.55	ok
tcga_cancer__KIRP_edgeR	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__KIRP_edgeR	clusterProfiler_ORA	human	symbol	50	2.47	ok
tcga_cancer__KIRP_limma	fgsea	human	symbol	50	1.61	ok
tcga_cancer__KIRP_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__KIRP_limma	clusterProfiler_ORA	human	symbol	50	2.49	ok
tcga_cancer__LIHC_DESeq2	fgsea	human	symbol	50	1.73	ok
