input_id	comparison_id	input_category	tool_a	tool_b	top_10_jaccard	top_25_jaccard	fdr05_overlap_jaccard	fdr01_overlap_jaccard	spearman_full_rank	pearson_neglog10padj	direction_agreement
tcga_cancer__BLCA_DESeq2	BLCA	tcga_cancer	fgsea	gseapy_enrichr	0.42857142857142855	0.5625	0.3870967741935484	0.36363636363636365	0.7117648144795227	0.8876046689465509	0.64
tcga_cancer__BLCA_DESeq2	BLCA	tcga_cancer	fgsea	clusterProfiler_ORA	0.42857142857142855	0.5151515151515151	0.23333333333333334	0.18181818181818182	0.6498639089518774	0.8743547338080958	0.72
tcga_cancer__BLCA_DESeq2	BLCA	tcga_cancer	gseapy_enrichr	clusterProfiler_ORA	1.0	0.9230769230769231	0.5384615384615384	0.5	0.9174852024813653	0.996164822163654	0.88
tcga_cancer__BLCA_edgeR	BLCA	tcga_cancer	fgsea	gseapy_enrichr	0.42857142857142855	0.5151515151515151	0.3225806451612903	0.15	0.5959783129090885	0.8844114421740874	0.76
tcga_cancer__BLCA_edgeR	BLCA	tcga_cancer	fgsea	clusterProfiler_ORA	0.42857142857142855	0.5625	0.23333333333333334	0.15	0.5955553107957726	0.8802933698877987	0.78
tcga_cancer__BLCA_edgeR	BLCA	tcga_cancer	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	0.7241379310344828	0.6666666666666666	1.0	0.9855024559288741	0.9988318076980421	0.94
tcga_cancer__BLCA_limma	BLCA	tcga_cancer	fgsea	gseapy_enrichr	0.5384615384615384	0.7241379310344828	0.25	0.25925925925925924	0.6783527186898998	0.9393283351009065	0.48
tcga_cancer__BLCA_limma	BLCA	tcga_cancer	fgsea	clusterProfiler_ORA	0.5384615384615384	0.6129032258064516	0.12121212121212122	0.16	0.649097068814401	0.932297438832953	0.6
tcga_cancer__BLCA_limma	BLCA	tcga_cancer	gseapy_enrichr	clusterProfiler_ORA	1.0	0.8518518518518519	0.3333333333333333	0.4444444444444444	0.9413023843680389	0.9814293738952888	0.76
tcga_cancer__BRCA_DESeq2	BRCA	tcga_cancer	fgsea	gseapy_enrichr	0.25	0.47058823529411764	0.32	0.2608695652173913	0.4165505387160582	0.8595263928709894	0.48
tcga_cancer__BRCA_DESeq2	BRCA	tcga_cancer	fgsea	clusterProfiler_ORA	0.17647058823529413	0.5151515151515151	0.16	0.18181818181818182	0.3491500442189056	0.8587260748703879	0.58
tcga_cancer__BRCA_DESeq2	BRCA	tcga_cancer	gseapy_enrichr	clusterProfiler_ORA	0.6666666666666666	0.8518518518518519	0.5	0.5714285714285714	0.8691747882744195	0.9823673483342387	0.66
tcga_cancer__BRCA_edgeR	BRCA	tcga_cancer	fgsea	gseapy_enrichr	0.3333333333333333	0.42857142857142855	0.37037037037037035	0.21739130434782608	0.46825445423817397	0.8346601249533607	0.64
tcga_cancer__BRCA_edgeR	BRCA	tcga_cancer	fgsea	clusterProfiler_ORA	0.25	0.3888888888888889	0.15384615384615385	0.13043478260869565	0.4024268302459754	0.8113382853479802	0.64
tcga_cancer__BRCA_edgeR	BRCA	tcga_cancer	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	0.8518518518518519	0.36363636363636365	0.6	0.9066878922076678	0.9908124186736809	0.72
tcga_cancer__BRCA_limma	BRCA	tcga_cancer	fgsea	gseapy_enrichr	0.42857142857142855	0.42857142857142855	0.36666666666666664	0.17391304347826086	0.4187026192782182	0.9117122491234915	0.56
tcga_cancer__BRCA_limma	BRCA	tcga_cancer	fgsea	clusterProfiler_ORA	0.42857142857142855	0.3888888888888889	0.1111111111111111	0.14285714285714285	0.332415527508345	0.9126201550879418	0.56
tcga_cancer__BRCA_limma	BRCA	tcga_cancer	gseapy_enrichr	clusterProfiler_ORA	0.6666666666666666	0.7857142857142857	0.21428571428571427	0.5	0.9075732020402185	0.9782758482826964	0.72
tcga_cancer__COAD_DESeq2	COAD	tcga_cancer	fgsea	gseapy_enrichr	0.42857142857142855	0.3888888888888889	0.21739130434782608	0.3125	0.4013258394374831	0.8811459196914153	0.58
tcga_cancer__COAD_DESeq2	COAD	tcga_cancer	fgsea	clusterProfiler_ORA	0.5384615384615384	0.3888888888888889	0.21739130434782608	0.1875	0.46029077174262717	0.8611738916010193	0.7
tcga_cancer__COAD_DESeq2	COAD	tcga_cancer	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	0.9230769230769231	1.0	0.6	0.8843033235719071	0.9877103336290537	0.84
tcga_cancer__COAD_edgeR	COAD	tcga_cancer	fgsea	gseapy_enrichr	0.6666666666666666	0.3888888888888889	0.18518518518518517	0.18181818181818182	0.3760589433369422	0.8863292755302887	0.64
tcga_cancer__COAD_edgeR	COAD	tcga_cancer	fgsea	clusterProfiler_ORA	0.6666666666666666	0.3888888888888889	0.18518518518518517	0.18181818181818182	0.3577776153960818	0.8853685834488485	0.64
