chemistry	pair	n_datasets	n_genes_pooled	spearman	boot_lo	boot_hi
v2	CellBender_vs_DecontX	2	54382	0.4256948482480931	0.4190183794856732	0.4324600936976092
v2	SoupX_vs_CellBender	2	54382	0.6059001680167634	0.6000515077070416	0.6117200486967834
v2	SoupX_vs_DecontX	2	54382	0.2528908503155382	0.2446332475327551	0.26111843909800414
v3	CellBender_vs_DecontX	7	216080	0.5053315251057867	0.5016660122628388	0.5089795143091526
v3	SoupX_vs_CellBender	7	216080	0.5722150468506344	0.5686104901664794	0.575693335960736
v3	SoupX_vs_DecontX	7	216751	0.3736130061818451	0.36976472558183404	0.3777302685666649
