dataset	chemistry	pair	n_genes	spearman	boot_lo	boot_hi	log2ratio_median	log2ratio_iqr	mean_contam_A	mean_contam_B	directional	spearman_mito	spearman_nonmito	spearman_lowexpr	spearman_highexpr
10x_pbmc_5k_v3.1	v3	CellBender_vs_DecontX	28074	0.5089034336796164	0.49939583994588144	0.5179269952527623	-1.1322876422102972	11.61776490865673	0.008043632734951829	0.022450037734861733	DecontX	0.15443010662575596	0.5084621791615479	-0.007936334014136156	0.02169286605297187
10x_pbmc_10k_v3.1	v3	SoupX_vs_CellBender	33635	0.5778783822259645	0.5697032533322356	0.586635028587952	0.0	0.4661111170520133	0.00634899614526124	0.005280669204900467	SoupX	0.30865246306081684	0.5779554073685799	0.06894909171121187	0.6476000533444087
10x_pbmc_10k_v3.1	v3	SoupX_vs_DecontX	33635	0.4034058309850859	0.3931919968866779	0.41397796856190816	-3.150575803013152	2.6694610331721123	0.00634899614526124	0.06231486925074187	DecontX	0.08916291452972304	0.4040282179543411	0.047816581480524464	0.20280714472610598
10x_pbmc_10k_v3.1	v3	CellBender_vs_DecontX	33635	0.346178070782869	0.3370999656383453	0.3555284940513391	-2.9366238812850947	13.45767588287487	0.005280669204900467	0.06231486925074187	DecontX	0.3866990731642522	0.3461970276583789	0.007054451478819194	-0.0014020049634327835
gse325955_mouse_kidney_E18_5	v3	SoupX_vs_CellBender	33904	0.5369857017886409	0.5279905386813428	0.5454575505750142	0.0	0.8474241679892444	0.0069779212203826555	0.0078578748518286	CellBender	0.7175478820805553	0.5361530505735562	0.07712448789404674	0.40591042350214745
gse325955_mouse_kidney_E18_5	v3	SoupX_vs_DecontX	33904	0.3277610938491156	0.3149278648001908	0.3387430434835941	-1.6873200069367416	2.315460200741999	0.0069779212203826555	0.02671744483838582	DecontX	-0.05994397759103642	0.3280219927184907	0.021776449826355147	-0.0674070135645777
gse325955_mouse_kidney_E18_5	v3	CellBender_vs_DecontX	33904	0.4144578912350886	0.40511544548574796	0.42482849046587506	-1.0913570837079303	10.918115007493743	0.0078578748518286	0.02671744483838582	DecontX	-0.3506295619481696	0.41495881128594203	0.002020307320902277	0.2514519859105506
gse287209_human_lung_organoid	v3	SoupX_vs_CellBender	37839	0.561048205148297	0.5514559203385287	0.570349198105112	-0.8980387965804204	2.2784723557107727	0.0069677640508015145	0.023501009117582173	CellBender	-0.0665360838402001	0.5615566310374306	0.05100959012469635	0.4566157439201116
gse287209_human_lung_organoid	v3	SoupX_vs_DecontX	37839	0.3252922753405539	0.31498733389012834	0.3368080428035238	-4.88412426815328	11.589098998333405	0.0069677640508015145	0.21346434530853725	DecontX	-0.12070192419050273	0.32538202367095276	0.05340592343841626	-0.0012351027090027832
gse287209_human_lung_organoid	v3	CellBender_vs_DecontX	37839	0.36344838149506886	0.3539572838947691	0.37380180353036296	-2.880377171905871	14.973966237289899	0.023501009117582173	0.21346434530853725	DecontX	0.23270229050917726	0.36357510820994626	0.015654196278672927	0.031266813680088226
gse288156_mouse_intestine_scrna	v3	SoupX_vs_CellBender	33534	0.4914670902386298	0.48053371928944155	0.5024662836170828	-3.6013327157033985	4.787298889094825	0.014162881817744128	0.21995893281334877	CellBender	-0.12020627132727826	0.4907119819440045	0.14493583919382114	0.2569219468778931
gse288156_mouse_intestine_scrna	v3	SoupX_vs_DecontX	34205	0.23661671980402404	0.22509197397390104	0.24806679408733992	-3.836592479540766	2.0985167609790802	0.013931138887012046	0.17542485575561986	DecontX	0.09151256519677571	0.23679142788024318	0.09582952024486525	-0.271442232179069
gse288156_mouse_intestine_scrna	v3	CellBender_vs_DecontX	33534	0.2915033881371784	0.2808133041545082	0.30255987534991946	0.029956458957603113	3.408003148813271	0.21995893281334877	0.1788276684838685	CellBender	-0.16738782555632833	0.2918163559558981	0.08550167054614835	-0.2899710803986786
