dataset	chemistry	pair	n_genes	spearman	boot_lo	boot_hi	log2ratio_median	log2ratio_iqr	mean_contam_A	mean_contam_B	directional	spearman_mito	spearman_nonmito	spearman_lowexpr	spearman_highexpr
10x_pbmc_1k_v3	v3	SoupX_vs_CellBender	24685	0.5035273467403332	0.4939402538953847	0.5133052594781166	0.028088233453279432	12.286713240838306	0.007780006267997146	0.0036190773575898927	SoupX	0.7158427530986821	0.5033364043277417	0.0489349984090487	0.27909355309247313
10x_pbmc_1k_v3	v3	SoupX_vs_DecontX	24685	0.47941501195155006	0.46843265086574165	0.4906989135678257	-1.869306568525714	2.832307916943445	0.007780006267997146	0.03278507975757142	DecontX	0.1070488176808775	0.4798185873862098	0.014623962378782121	0.01903442474336227
10x_pbmc_1k_v3	v3	CellBender_vs_DecontX	24685	0.3991461852084315	0.3888905750682125	0.4088750177920388	-2.523003332312727	13.553338313211126	0.0036190773575898927	0.03278507975757142	DecontX	0.2987706749933822	0.399207383379997		-0.09945291002344347
10x_neuron_1k_v3	v3	SoupX_vs_CellBender	24409	0.5371797126895778	0.5280876542794978	0.5477891486523225	0.0	11.722149973575501	0.00905140221889868	0.005213324057535764	SoupX	0.8730879960855148	0.5362241299985943	0.07310906651866123	0.5063150957563638
10x_neuron_1k_v3	v3	SoupX_vs_DecontX	24409	0.4036521323072063	0.3914597219537188	0.4153058386351784	-1.8349741085163522	2.659758166827647	0.00905140221889868	0.03362351985607913	DecontX	0.30710581122789066	0.40367740154878035	0.07576498764220468	0.04733092533692753
10x_neuron_1k_v3	v3	CellBender_vs_DecontX	24409	0.40201136721153247	0.39107081055915344	0.4128076735614458	-1.9985314255423723	11.556294168844978	0.005213324057535764	0.03362351985607913	DecontX	0.17654784000882157	0.4021421442195438	0.0018956057441410837	0.04719436360560303
10x_t_3k_v2	v2	SoupX_vs_CellBender	26723	0.6029237263087738	0.5950242701926789	0.6114598150193055	2.4399096386060704	15.241426410107096	0.05776915065997045	0.006567962075546464	SoupX	0.5452437271312756	0.6031400147839474	0.04784626011531322	0.7237765659453398
10x_t_3k_v2	v2	SoupX_vs_DecontX	26723	0.3261205476440747	0.3150434948646713	0.33753621010246554	0.8165990955953322	14.532929776729889	0.05776915065997045	0.04496993883482964	SoupX	0.29083126830367206	0.32605028772788525	-0.04959810465364436	0.2142389475127086
10x_t_3k_v2	v2	CellBender_vs_DecontX	26723	0.4708782576174249	0.460513798726311	0.48089651519023646	-3.6839404840906497e-09	1.5986672161946505	0.006567962075546464	0.04496993883482964	DecontX	0.4892789097514089	0.47081861014367593	-0.018385132067555605	0.17924736277362718
10x_pbmc_4k_v2	v2	SoupX_vs_CellBender	27659	0.6908349161361826	0.6832500742356677	0.6978184848504396	1.6825824257515778	13.383111062920829	0.03763459304252378	0.007902500242584636	SoupX	0.7142921372500348	0.6909433771643491	0.07912062214318241	0.7648643825031041
10x_pbmc_4k_v2	v2	SoupX_vs_DecontX	27659	0.5295349118311921	0.5198860965929758	0.539879548674756	-0.7834190084043544	1.7186883337616767	0.03763459304252378	0.07469505023238865	DecontX	0.2551271327165011	0.5297138528795922	0.03323170936391318	0.09428194954463816
10x_pbmc_4k_v2	v2	CellBender_vs_DecontX	27659	0.5051164449397694	0.4957629953126548	0.513887835315005	-2.7926637727075017	13.653802227445537	0.007902500242584636	0.07469505023238865	DecontX	0.4703294646280305	0.5050845639962269	-0.017477492462376787	0.024627401649019783
10x_pbmc_5k_v3.1	v3	SoupX_vs_CellBender	28074	0.6601879141139622	0.6523207751556077	0.6684795200666729	0.0	0.6603023959323205	0.007114991049559282	0.008043632734951829	CellBender	0.8211364271659819	0.6593261074870325	0.15630881920051626	0.6650802100961403
10x_pbmc_5k_v3.1	v3	SoupX_vs_DecontX	28074	0.48397008296957206	0.47289095525735886	0.49570784283851	-1.3946641330725824	2.560752551649268	0.007114991049559282	0.022450037734861733	DecontX	0.33736367946894263	0.48337586137550914	0.05197979682952928	0.056938043142430124
