dataset_id	cancer_type	cpm_threshold	min_samples	min_samples_abs	genes_retained	total_genes	tissue_specific_genes_present	tissue_specific_genes_retained	pct_tissue_specific_lost	downstream_deg_count
TCGA-THCA	THCA	1.0	abs_1	1	21565	59427	18	17	5.6	14051
TCGA-THCA	THCA	1.0	abs_2	2	20163	59427	18	17	5.6	13171
TCGA-THCA	THCA	1.0	abs_3	3	19514	59427	18	17	5.6	12757
TCGA-THCA	THCA	1.0	pct_10	11	17840	59427	18	17	5.6	11676
TCGA-THCA	THCA	1.0	pct_25	28	16492	59427	18	16	11.1	10765
TCGA-THCA	THCA	2.0	abs_1	1	18933	59427	18	17	5.6	12472
TCGA-THCA	THCA	2.0	abs_2	2	17789	59427	18	17	5.6	11716
TCGA-THCA	THCA	2.0	abs_3	3	17272	59427	18	17	5.6	11320
TCGA-THCA	THCA	2.0	pct_10	11	15881	59427	18	17	5.6	10407
TCGA-THCA	THCA	2.0	pct_25	28	14764	59427	18	16	11.1	9573
TCGA-THCA	THCA	5.0	abs_1	1	16100	59427	18	17	5.6	10626
TCGA-THCA	THCA	5.0	abs_2	2	15230	59427	18	17	5.6	9997
TCGA-THCA	THCA	5.0	abs_3	3	14803	59427	18	17	5.6	9710
TCGA-THCA	THCA	5.0	pct_10	11	13663	59427	18	17	5.6	8942
TCGA-THCA	THCA	5.0	pct_25	28	12700	59427	18	15	16.7	8251
TCGA-THCA	THCA	10.0	abs_1	1	14161	59427	18	17	5.6	9316
TCGA-THCA	THCA	10.0	abs_2	2	13431	59427	18	17	5.6	8778
TCGA-THCA	THCA	10.0	abs_3	3	13076	59427	18	17	5.6	8536
TCGA-THCA	THCA	10.0	pct_10	11	12011	59427	18	16	11.1	7834
TCGA-THCA	THCA	10.0	pct_25	28	11069	59427	18	15	16.7	7187
TCGA-PRAD	PRAD	0.1	abs_1	1	39658	59427	19	19	0.0	20546
TCGA-PRAD	PRAD	0.1	abs_2	2	33919	59427	19	19	0.0	18158
TCGA-PRAD	PRAD	0.1	abs_3	3	32046	59427	19	19	0.0	17374
TCGA-PRAD	PRAD	0.1	pct_10	11	27593	59427	19	19	0.0	15581
TCGA-PRAD	PRAD	0.1	pct_25	26	24767	59427	19	19	0.0	14001
TCGA-PRAD	PRAD	0.5	abs_1	1	29430	59427	19	19	0.0	17827
TCGA-PRAD	PRAD	0.5	abs_2	2	24201	59427	19	19	0.0	14352
TCGA-PRAD	PRAD	0.5	abs_3	3	23046	59427	19	19	0.0	13903
TCGA-PRAD	PRAD	0.5	pct_10	11	20226	59427	19	19	0.0	12194
TCGA-PRAD	PRAD	0.5	pct_25	26	18534	59427	19	19	0.0	11322
TCGA-PRAD	PRAD	1.0	abs_1	1	25360	59427	19	19	0.0	15723
TCGA-PRAD	PRAD	1.0	abs_2	2	21167	59427	19	19	0.0	12842
TCGA-PRAD	PRAD	1.0	abs_3	3	20254	59427	19	19	0.0	12526
TCGA-PRAD	PRAD	1.0	pct_10	11	17984	59427	19	19	0.0	11105
TCGA-PRAD	PRAD	1.0	pct_25	26	16594	59427	19	19	0.0	10222
TCGA-PRAD	PRAD	2.0	abs_1	1	21692	59427	19	19	0.0	13713
TCGA-PRAD	PRAD	2.0	abs_2	2	18725	59427	19	19	0.0	11626
TCGA-PRAD	PRAD	2.0	abs_3	3	18022	59427	19	19	0.0	11196
TCGA-PRAD	PRAD	2.0	pct_10	11	16096	59427	19	19	0.0	9925
TCGA-PRAD	PRAD	2.0	pct_25	26	14882	59427	19	18	5.3	9140
TCGA-PRAD	PRAD	5.0	abs_1	1	17822	59427	19	19	0.0	11178
TCGA-PRAD	PRAD	5.0	abs_2	2	15986	59427	19	19	0.0	9956
TCGA-PRAD	PRAD	5.0	abs_3	3	15408	59427	19	19	0.0	9601
TCGA-PRAD	PRAD	5.0	pct_10	11	13846	59427	19	19	0.0	8590
TCGA-PRAD	PRAD	5.0	pct_25	26	12781	59427	19	17	10.5	7900
TCGA-PRAD	PRAD	10.0	abs_1	1	15549	59427	19	19	0.0	9859
TCGA-PRAD	PRAD	10.0	abs_2	2	14109	59427	19	19	0.0	8840
TCGA-PRAD	PRAD	10.0	abs_3	3	13603	59427	19	19	0.0	8498
TCGA-PRAD	PRAD	10.0	pct_10	11	12065	59427	19	18	5.3	7483
TCGA-PRAD	PRAD	10.0	pct_25	26	11111	59427	19	17	10.5	6884
TCGA-LUSC	LUSC	0.1	abs_1	1	39983	59427	20	20	0.0	28710
TCGA-LUSC	LUSC	0.1	abs_2	2	36552	59427	20	20	0.0	26665
TCGA-LUSC	LUSC	0.1	abs_3	3	34809	59427	20	20	0.0	25638
TCGA-LUSC	LUSC	0.1	pct_10	11	29597	59427	20	20	0.0	22336
TCGA-LUSC	LUSC	0.1	pct_25	26	26029	59427	20	20	0.0	19687
TCGA-LUSC	LUSC	0.5	abs_1	1	28921	59427	20	20	0.0	22431
TCGA-LUSC	LUSC	0.5	abs_2	2	26222	59427	20	20	0.0	20368
TCGA-LUSC	LUSC	0.5	abs_3	3	25024	59427	20	20	0.0	19690
TCGA-LUSC	LUSC	0.5	pct_10	11	21523	59427	20	20	0.0	16803
TCGA-LUSC	LUSC	0.5	pct_25	26	19254	59427	20	20	0.0	15012
TCGA-LUSC	LUSC	1.0	abs_1	1	25185	59427	20	20	0.0	19814
TCGA-LUSC	LUSC	1.0	abs_2	2	22865	59427	20	20	0.0	17900
TCGA-LUSC	LUSC	1.0	abs_3	3	21821	59427	20	20	0.0	17166
TCGA-LUSC	LUSC	1.0	pct_10	11	19005	59427	20	20	0.0	14873
TCGA-LUSC	LUSC	1.0	pct_25	26	17172	59427	20	20	0.0	13504
TCGA-LUSC	LUSC	2.0	abs_1	1	21888	59427	20	20	0.0	17323
TCGA-LUSC	LUSC	2.0	abs_2	2	20009	59427	20	20	0.0	15833
TCGA-LUSC	LUSC	2.0	abs_3	3	19189	59427	20	20	0.0	15183
TCGA-LUSC	LUSC	2.0	pct_10	11	16890	59427	20	20	0.0	13349
TCGA-LUSC	LUSC	2.0	pct_25	26	15400	59427	20	20	0.0	12149
TCGA-LUSC	LUSC	5.0	abs_1	1	18520	59427	20	20	0.0	14704
TCGA-LUSC	LUSC	5.0	abs_2	2	17091	59427	20	20	0.0	13589
TCGA-LUSC	LUSC	5.0	abs_3	3	16404	59427	20	20	0.0	13020
TCGA-LUSC	LUSC	5.0	pct_10	11	14591	59427	20	20	0.0	11543
TCGA-LUSC	LUSC	5.0	pct_25	26	13343	59427	20	19	5.0	10540
TCGA-LUSC	LUSC	10.0	abs_1	1	16453	59427	20	20	0.0	13071
TCGA-LUSC	LUSC	10.0	abs_2	2	15147	59427	20	20	0.0	12051
TCGA-LUSC	LUSC	10.0	abs_3	3	14553	59427	20	20	0.0	11559
TCGA-LUSC	LUSC	10.0	pct_10	11	12829	59427	20	20	0.0	10185
TCGA-LUSC	LUSC	10.0	pct_25	26	11672	59427	20	19	5.0	9257
TCGA-LIHC	LIHC	0.1	abs_1	1	34003	59427	20	20	0.0	20961
TCGA-LIHC	LIHC	0.1	abs_2	2	30842	59427	20	20	0.0	19354
TCGA-LIHC	LIHC	0.1	abs_3	3	29220	59427	20	20	0.0	18487
TCGA-LIHC	LIHC	0.1	pct_10	10	24649	59427	20	20	0.0	15960
TCGA-LIHC	LIHC	0.1	pct_25	25	21284	59427	20	20	0.0	13778
TCGA-LIHC	LIHC	0.5	abs_1	1	25084	59427	20	20	0.0	16882
TCGA-LIHC	LIHC	0.5	abs_2	2	22573	59427	20	20	0.0	15163
TCGA-LIHC	LIHC	0.5	abs_3	3	21393	59427	20	20	0.0	14346
TCGA-LIHC	LIHC	0.5	pct_10	10	18340	59427	20	20	0.0	12264
TCGA-LIHC	LIHC	0.5	pct_25	25	16200	59427	20	20	0.0	10725
TCGA-LIHC	LIHC	1.0	abs_1	1	22053	59427	20	20	0.0	14994
TCGA-LIHC	LIHC	1.0	abs_2	2	19939	59427	20	20	0.0	13478
TCGA-LIHC	LIHC	1.0	abs_3	3	18906	59427	20	20	0.0	12765
TCGA-LIHC	LIHC	1.0	pct_10	10	16313	59427	20	20	0.0	10878
TCGA-LIHC	LIHC	1.0	pct_25	25	14590	59427	20	20	0.0	9645
TCGA-LIHC	LIHC	2.0	abs_1	1	19557	59427	20	20	0.0	13363
TCGA-LIHC	LIHC	2.0	abs_2	2	17690	59427	20	20	0.0	11943
TCGA-LIHC	LIHC	2.0	abs_3	3	16828	59427	20	20	0.0	11319
TCGA-LIHC	LIHC	2.0	pct_10	10	14675	59427	20	20	0.0	9758
TCGA-LIHC	LIHC	2.0	pct_25	25	13103	59427	20	20	0.0	8771
TCGA-LIHC	LIHC	5.0	abs_1	1	16678	59427	20	20	0.0	11335
TCGA-LIHC	LIHC	5.0	abs_2	2	15208	59427	20	20	0.0	10214
TCGA-LIHC	LIHC	5.0	abs_3	3	14479	59427	20	20	0.0	9778
TCGA-LIHC	LIHC	5.0	pct_10	10	12556	59427	20	20	0.0	8464
TCGA-LIHC	LIHC	5.0	pct_25	25	10973	59427	20	20	0.0	7405
TCGA-LIHC	LIHC	10.0	abs_1	1	14705	59427	20	20	0.0	9957
TCGA-LIHC	LIHC	10.0	abs_2	2	13349	59427	20	20	0.0	9044
TCGA-LIHC	LIHC	10.0	abs_3	3	12694	59427	20	20	0.0	8604
TCGA-LIHC	LIHC	10.0	pct_10	10	10732	59427	20	20	0.0	7223
TCGA-LIHC	LIHC	10.0	pct_25	25	9079	59427	20	19	5.0	6191
TCGA-HNSC	HNSC	0.1	abs_1	1	37671	59427	19	19	0.0	20553
TCGA-HNSC	HNSC	0.1	abs_2	2	33717	59427	19	19	0.0	18597
TCGA-HNSC	HNSC	0.1	abs_3	3	31779	59427	19	19	0.0	17642
TCGA-HNSC	HNSC	0.1	pct_10	10	27035	59427	19	19	0.0	15199
TCGA-HNSC	HNSC	0.1	pct_25	24	23375	59427	19	19	0.0	13224
TCGA-HNSC	HNSC	0.5	abs_1	1	26384	59427	19	19	0.0	15675
TCGA-HNSC	HNSC	0.5	abs_2	2	24086	59427	19	19	0.0	14285
TCGA-HNSC	HNSC	0.5	abs_3	3	22943	59427	19	19	0.0	13601
TCGA-HNSC	HNSC	0.5	pct_10	10	19839	59427	19	19	0.0	11664
TCGA-HNSC	HNSC	0.5	pct_25	24	17623	59427	19	19	0.0	10274
TCGA-HNSC	HNSC	1.0	abs_1	1	22994	59427	19	19	0.0	13943
TCGA-HNSC	HNSC	1.0	abs_2	2	21103	59427	19	19	0.0	12712
TCGA-HNSC	HNSC	1.0	abs_3	3	20156	59427	19	19	0.0	12050
TCGA-HNSC	HNSC	1.0	pct_10	10	17669	59427	19	19	0.0	10500
TCGA-HNSC	HNSC	1.0	pct_25	24	15799	59427	19	19	0.0	9223
TCGA-HNSC	HNSC	2.0	abs_1	1	20283	59427	19	19	0.0	12329
TCGA-HNSC	HNSC	2.0	abs_2	2	18717	59427	19	19	0.0	11342
TCGA-HNSC	HNSC	2.0	abs_3	3	17972	59427	19	19	0.0	10883
TCGA-HNSC	HNSC	2.0	pct_10	10	15820	59427	19	19	0.0	9387
TCGA-HNSC	HNSC	2.0	pct_25	24	14263	59427	19	19	0.0	8323
TCGA-HNSC	HNSC	5.0	abs_1	1	17371	59427	19	19	0.0	10680
TCGA-HNSC	HNSC	5.0	abs_2	2	16220	59427	19	19	0.0	9818
TCGA-HNSC	HNSC	5.0	abs_3	3	15565	59427	19	19	0.0	9388
TCGA-HNSC	HNSC	5.0	pct_10	10	13770	59427	19	19	0.0	8139
TCGA-HNSC	HNSC	5.0	pct_25	24	12371	59427	19	19	0.0	7234
TCGA-HNSC	HNSC	10.0	abs_1	1	15468	59427	19	19	0.0	9430
TCGA-HNSC	HNSC	10.0	abs_2	2	14459	59427	19	19	0.0	8762
TCGA-HNSC	HNSC	10.0	abs_3	3	13814	59427	19	19	0.0	8327
TCGA-HNSC	HNSC	10.0	pct_10	10	12164	59427	19	19	0.0	7223
TCGA-HNSC	HNSC	10.0	pct_25	24	10724	59427	19	19	0.0	6297
TCGA-COAD	COAD	0.1	abs_1	1	39685	59427	20	20	0.0	25374
TCGA-COAD	COAD	0.1	abs_2	2	35473	59427	20	20	0.0	23791
TCGA-COAD	COAD	0.1	abs_3	3	32890	59427	20	20	0.0	21940
TCGA-COAD	COAD	0.1	pct_10	10	27651	59427	20	20	0.0	19233
TCGA-COAD	COAD	0.1	pct_25	23	24430	59427	20	20	0.0	17222
TCGA-COAD	COAD	0.5	abs_1	1	27239	59427	20	20	0.0	19699
TCGA-COAD	COAD	0.5	abs_2	2	24471	59427	20	20	0.0	17864
TCGA-COAD	COAD	0.5	abs_3	3	22846	59427	20	20	0.0	16651
TCGA-COAD	COAD	0.5	pct_10	10	20064	59427	20	20	0.0	14749
TCGA-COAD	COAD	0.5	pct_25	23	18253	59427	20	20	0.0	13408
TCGA-COAD	COAD	1.0	abs_1	1	23133	59427	20	20	0.0	17141
TCGA-COAD	COAD	1.0	abs_2	2	20931	59427	20	20	0.0	15522
TCGA-COAD	COAD	1.0	abs_3	3	19785	59427	20	20	0.0	14652
TCGA-COAD	COAD	1.0	pct_10	10	17755	59427	20	20	0.0	13119
TCGA-COAD	COAD	1.0	pct_25	23	16336	59427	20	20	0.0	12061
TCGA-COAD	COAD	2.0	abs_1	1	19989	59427	20	20	0.0	14893
TCGA-COAD	COAD	2.0	abs_2	2	18292	59427	20	20	0.0	13629
TCGA-COAD	COAD	2.0	abs_3	3	17495	59427	20	20	0.0	13005
TCGA-COAD	COAD	2.0	pct_10	10	15818	59427	20	20	0.0	11741
TCGA-COAD	COAD	2.0	pct_25	23	14673	59427	20	20	0.0	10817
TCGA-COAD	COAD	5.0	abs_1	1	16794	59427	20	20	0.0	12566
TCGA-COAD	COAD	5.0	abs_2	2	15660	59427	20	20	0.0	11676
TCGA-COAD	COAD	5.0	abs_3	3	15048	59427	20	20	0.0	11188
TCGA-COAD	COAD	5.0	pct_10	10	13718	59427	20	20	0.0	10208
TCGA-COAD	COAD	5.0	pct_25	23	12672	59427	20	20	0.0	9348
TCGA-COAD	COAD	10.0	abs_1	1	14801	59427	20	20	0.0	11079
TCGA-COAD	COAD	10.0	abs_2	2	13811	59427	20	20	0.0	10317
TCGA-COAD	COAD	10.0	abs_3	3	13313	59427	20	20	0.0	9877
TCGA-COAD	COAD	10.0	pct_10	10	12091	59427	20	20	0.0	8978
TCGA-COAD	COAD	10.0	pct_25	23	11027	59427	20	18	10.0	8138
TCGA-STAD	STAD	0.1	abs_1	1	49270	59427	19	19	0.0	22531
TCGA-STAD	STAD	0.1	abs_2	2	45101	59427	19	19	0.0	20292
TCGA-STAD	STAD	0.1	abs_3	3	42234	59427	19	19	0.0	19635
TCGA-STAD	STAD	0.1	pct_10	9	33907	59427	19	19	0.0	16146
TCGA-STAD	STAD	0.1	pct_25	22	28175	59427	19	19	0.0	14403
TCGA-STAD	STAD	0.5	abs_1	1	32086	59427	19	19	0.0	17007
TCGA-STAD	STAD	0.5	abs_2	2	28368	59427	19	19	0.0	14904
TCGA-STAD	STAD	0.5	abs_3	3	26521	59427	19	19	0.0	14243
TCGA-STAD	STAD	0.5	pct_10	9	22409	59427	19	19	0.0	12109
TCGA-STAD	STAD	0.5	pct_25	22	19456	59427	19	19	0.0	10516
TCGA-STAD	STAD	1.0	abs_1	1	25896	59427	19	19	0.0	14250
TCGA-STAD	STAD	1.0	abs_2	2	23271	59427	19	19	0.0	12836
TCGA-STAD	STAD	1.0	abs_3	3	22033	59427	19	19	0.0	12208
TCGA-STAD	STAD	1.0	pct_10	9	19250	59427	19	19	0.0	10663
TCGA-STAD	STAD	1.0	pct_25	22	16957	59427	19	17	10.5	9261
TCGA-STAD	STAD	2.0	abs_1	1	21608	59427	19	19	0.0	12207
TCGA-STAD	STAD	2.0	abs_2	2	19754	59427	19	19	0.0	11179
TCGA-STAD	STAD	2.0	abs_3	3	18913	59427	19	19	0.0	10685
TCGA-STAD	STAD	2.0	pct_10	9	16862	59427	19	19	0.0	9418
TCGA-STAD	STAD	2.0	pct_25	22	15136	59427	19	17	10.5	8291
TCGA-STAD	STAD	5.0	abs_1	1	17862	59427	19	19	0.0	10197
TCGA-STAD	STAD	5.0	abs_2	2	16619	59427	19	19	0.0	9477
TCGA-STAD	STAD	5.0	abs_3	3	16077	59427	19	19	0.0	9124
TCGA-STAD	STAD	5.0	pct_10	9	14502	59427	19	19	0.0	8103
TCGA-STAD	STAD	5.0	pct_25	22	12974	59427	19	16	15.8	7122
TCGA-STAD	STAD	10.0	abs_1	1	15792	59427	19	19	0.0	9017
TCGA-STAD	STAD	10.0	abs_2	2	14742	59427	19	19	0.0	8369
TCGA-STAD	STAD	10.0	abs_3	3	14206	59427	19	19	0.0	8070
TCGA-STAD	STAD	10.0	pct_10	9	12763	59427	19	19	0.0	7141
TCGA-STAD	STAD	10.0	pct_25	22	11307	59427	19	15	21.1	6187
TCGA-UCEC	UCEC	0.1	abs_1	1	46318	59427	20	20	0.0	23455
TCGA-UCEC	UCEC	0.1	abs_2	2	40819	59427	20	20	0.0	21568
TCGA-UCEC	UCEC	0.1	abs_3	3	38009	59427	20	20	0.0	20593
TCGA-UCEC	UCEC	0.1	pct_10	9	31402	59427	20	20	0.0	18287
TCGA-UCEC	UCEC	0.1	pct_25	21	26719	59427	20	20	0.0	16507
TCGA-UCEC	UCEC	0.5	abs_1	1	31025	59427	20	20	0.0	18927
TCGA-UCEC	UCEC	0.5	abs_2	2	26976	59427	20	20	0.0	17213
TCGA-UCEC	UCEC	0.5	abs_3	3	25430	59427	20	20	0.0	16139
TCGA-UCEC	UCEC	0.5	pct_10	9	21967	59427	20	20	0.0	14111
TCGA-UCEC	UCEC	0.5	pct_25	21	19422	59427	20	20	0.0	12623
TCGA-UCEC	UCEC	1.0	abs_1	1	25816	59427	20	20	0.0	16571
TCGA-UCEC	UCEC	1.0	abs_2	2	23000	59427	20	20	0.0	15004
