dataset_id	cancer_type	cpm_threshold	min_samples	min_samples_abs	genes_retained	total_genes	tissue_specific_genes_present	tissue_specific_genes_retained	pct_tissue_specific_lost	downstream_deg_count
TCGA-UCEC	UCEC	5.0	pct_10	9	14777	59427	20	20	0.0	9934
TCGA-UCEC	UCEC	5.0	pct_25	21	13398	59427	20	16	20.0	9043
TCGA-UCEC	UCEC	10.0	abs_1	1	16476	59427	20	20	0.0	11137
TCGA-UCEC	UCEC	10.0	abs_2	2	15265	59427	20	20	0.0	10362
TCGA-UCEC	UCEC	10.0	abs_3	3	14643	59427	20	20	0.0	9893
TCGA-UCEC	UCEC	10.0	pct_10	9	13146	59427	20	18	10.0	8915
TCGA-UCEC	UCEC	10.0	pct_25	21	11764	59427	20	16	20.0	8005
TCGA-KIRP	KIRP	0.1	abs_1	1	41207	59427	20	20	0.0	22186
TCGA-KIRP	KIRP	0.1	abs_2	2	35173	59427	20	20	0.0	20123
TCGA-KIRP	KIRP	0.1	abs_3	3	32615	59427	20	20	0.0	18922
TCGA-KIRP	KIRP	0.1	pct_10	9	28283	59427	20	20	0.0	17291
TCGA-KIRP	KIRP	0.1	pct_25	21	25033	59427	20	20	0.0	15588
TCGA-KIRP	KIRP	0.5	abs_1	1	29484	59427	20	20	0.0	18261
TCGA-KIRP	KIRP	0.5	abs_2	2	25033	59427	20	20	0.0	15928
TCGA-KIRP	KIRP	0.5	abs_3	3	23684	59427	20	20	0.0	15193
TCGA-KIRP	KIRP	0.5	pct_10	9	21057	59427	20	20	0.0	13516
TCGA-KIRP	KIRP	0.5	pct_25	21	19000	59427	20	20	0.0	12182
TCGA-KIRP	KIRP	1.0	abs_1	1	24738	59427	20	20	0.0	15900
TCGA-KIRP	KIRP	1.0	abs_2	2	21869	59427	20	20	0.0	14167
TCGA-KIRP	KIRP	1.0	abs_3	3	20866	59427	20	20	0.0	13502
TCGA-KIRP	KIRP	1.0	pct_10	9	18685	59427	20	20	0.0	12078
TCGA-KIRP	KIRP	1.0	pct_25	21	16962	59427	20	20	0.0	10920
TCGA-KIRP	KIRP	2.0	abs_1	1	21074	59427	20	20	0.0	13675
TCGA-KIRP	KIRP	2.0	abs_2	2	19237	59427	20	20	0.0	12508
TCGA-KIRP	KIRP	2.0	abs_3	3	18450	59427	20	20	0.0	11993
TCGA-KIRP	KIRP	2.0	pct_10	9	16665	59427	20	20	0.0	10812
TCGA-KIRP	KIRP	2.0	pct_25	21	15199	59427	20	20	0.0	9913
TCGA-KIRP	KIRP	5.0	abs_1	1	17662	59427	20	20	0.0	11534
TCGA-KIRP	KIRP	5.0	abs_2	2	16350	59427	20	20	0.0	10680
TCGA-KIRP	KIRP	5.0	abs_3	3	15758	59427	20	20	0.0	10251
TCGA-KIRP	KIRP	5.0	pct_10	9	14305	59427	20	20	0.0	9314
TCGA-KIRP	KIRP	5.0	pct_25	21	13080	59427	20	20	0.0	8475
TCGA-KIRP	KIRP	10.0	abs_1	1	15528	59427	20	20	0.0	10250
TCGA-KIRP	KIRP	10.0	abs_2	2	14380	59427	20	20	0.0	9405
TCGA-KIRP	KIRP	10.0	abs_3	3	13854	59427	20	20	0.0	9076
TCGA-KIRP	KIRP	10.0	pct_10	9	12486	59427	20	20	0.0	8175
TCGA-KIRP	KIRP	10.0	pct_25	21	11342	59427	20	20	0.0	7370
TCGA-KICH	KICH	0.1	abs_1	1	34617	59427	20	20	0.0	22178
TCGA-KICH	KICH	0.1	abs_2	2	31478	59427	20	20	0.0	20764
TCGA-KICH	KICH	0.1	abs_3	3	30158	59427	20	20	0.0	20054
TCGA-KICH	KICH	0.1	pct_10	8	27287	59427	20	20	0.0	18455
TCGA-KICH	KICH	0.1	pct_25	19	24320	59427	20	20	0.0	16657
TCGA-KICH	KICH	0.5	abs_1	1	25691	59427	20	20	0.0	17745
TCGA-KICH	KICH	0.5	abs_2	2	23286	59427	20	20	0.0	16342
TCGA-KICH	KICH	0.5	abs_3	3	22313	59427	20	20	0.0	15723
TCGA-KICH	KICH	0.5	pct_10	8	20384	59427	20	20	0.0	14312
TCGA-KICH	KICH	0.5	pct_25	19	18438	59427	20	20	0.0	12892
TCGA-KICH	KICH	1.0	abs_1	1	22546	59427	20	20	0.0	15787
TCGA-KICH	KICH	1.0	abs_2	2	20582	59427	20	20	0.0	14548
