input_id	database	organism	id_system	n_pathways_returned	seconds	status
tcga_cancer__HNSC_edgeR	c5_go_bp	human	symbol	7017	4.89	ok
tcga_cancer__HNSC_limma	hallmark	human	symbol	50	1.86	ok
tcga_cancer__HNSC_limma	c2_kegg	human	symbol	186	1.61	ok
tcga_cancer__HNSC_limma	c2_reactome	human	symbol	1767	3.05	ok
tcga_cancer__HNSC_limma	c2_wikipathways	human	symbol	912	1.84	ok
tcga_cancer__HNSC_limma	c5_go_bp	human	symbol	7017	4.68	ok
tcga_cancer__KICH_DESeq2	hallmark	human	symbol	50	1.5	ok
tcga_cancer__KICH_DESeq2	c2_kegg	human	symbol	186	1.53	ok
tcga_cancer__KICH_DESeq2	c2_reactome	human	symbol	1763	2.0	ok
tcga_cancer__KICH_DESeq2	c2_wikipathways	human	symbol	911	1.7	ok
tcga_cancer__KICH_DESeq2	c5_go_bp	human	symbol	6967	3.86	ok
tcga_cancer__KICH_edgeR	hallmark	human	symbol	50	1.48	ok
tcga_cancer__KICH_edgeR	c2_kegg	human	symbol	186	1.53	ok
tcga_cancer__KICH_edgeR	c2_reactome	human	symbol	1763	2.14	ok
tcga_cancer__KICH_edgeR	c2_wikipathways	human	symbol	911	1.79	ok
tcga_cancer__KICH_edgeR	c5_go_bp	human	symbol	6967	4.23	ok
tcga_cancer__KICH_limma	hallmark	human	symbol	50	1.58	ok
tcga_cancer__KICH_limma	c2_kegg	human	symbol	186	1.58	ok
tcga_cancer__KICH_limma	c2_reactome	human	symbol	1763	2.24	ok
tcga_cancer__KICH_limma	c2_wikipathways	human	symbol	911	1.77	ok
tcga_cancer__KICH_limma	c5_go_bp	human	symbol	6967	4.23	ok
tcga_cancer__KIRC_DESeq2	hallmark	human	symbol	50	1.73	ok
tcga_cancer__KIRC_DESeq2	c2_kegg	human	symbol	186	1.56	ok
tcga_cancer__KIRC_DESeq2	c2_reactome	human	symbol	1769	2.12	ok
tcga_cancer__KIRC_DESeq2	c2_wikipathways	human	symbol	913	1.72	ok
tcga_cancer__KIRC_DESeq2	c5_go_bp	human	symbol	7005	4.56	ok
tcga_cancer__KIRC_edgeR	hallmark	human	symbol	50	1.84	ok
tcga_cancer__KIRC_edgeR	c2_kegg	human	symbol	186	1.59	ok
tcga_cancer__KIRC_edgeR	c2_reactome	human	symbol	1769	2.22	ok
tcga_cancer__KIRC_edgeR	c2_wikipathways	human	symbol	913	1.74	ok
tcga_cancer__KIRC_edgeR	c5_go_bp	human	symbol	7005	4.8	ok
