input_id	input_category	database	n_pathways_returned	n_sig_padj_05	n_sig_padj_01	frac_sig_padj_05	median_abs_NES_sig
census_scrna__218acb0f_pseudobulk	census_scrna	c2_reactome	1178	49	37	0.0416	1.9347660301135
census_scrna__218acb0f_pseudobulk	census_scrna	c2_wikipathways	629	21	13	0.0334	1.90439245392755
census_scrna__218acb0f_pseudobulk	census_scrna	c5_go_bp	4078	94	64	0.0231	1.86673826787031
census_scrna__218acb0f_wilcoxon	census_scrna	hallmark	50	11	4	0.22	1.70834951952099
census_scrna__218acb0f_wilcoxon	census_scrna	c2_kegg	179	3	1	0.0168	1.80833126524916
census_scrna__218acb0f_wilcoxon	census_scrna	c2_reactome	1487	22	16	0.0148	1.803250800717975
census_scrna__218acb0f_wilcoxon	census_scrna	c2_wikipathways	791	5	1	0.0063	1.87828103069353
census_scrna__218acb0f_wilcoxon	census_scrna	c5_go_bp	5392	56	19	0.0104	1.77218736576816
census_scrna__37a17b78_pseudobulk	census_scrna	hallmark	50	0	0	0.0	
census_scrna__37a17b78_pseudobulk	census_scrna	c2_kegg	154	0	0	0.0	
census_scrna__37a17b78_pseudobulk	census_scrna	c2_reactome	1238	1	1	0.0008	1.75116078094282
census_scrna__37a17b78_pseudobulk	census_scrna	c2_wikipathways	637	0	0	0.0	
census_scrna__37a17b78_pseudobulk	census_scrna	c5_go_bp	4265	1	1	0.0002	1.96285792374673
census_scrna__37a17b78_wilcoxon	census_scrna	hallmark	50	0	0	0.0	
census_scrna__37a17b78_wilcoxon	census_scrna	c2_kegg	173	0	0	0.0	
census_scrna__37a17b78_wilcoxon	census_scrna	c2_reactome	1422	1	0	0.0007	1.88822912062708
census_scrna__37a17b78_wilcoxon	census_scrna	c2_wikipathways	741	0	0	0.0	
census_scrna__37a17b78_wilcoxon	census_scrna	c5_go_bp	5163	0	0	0.0	
census_scrna__4a5b00e0_pseudobulk	census_scrna	hallmark	50	21	20	0.42	1.65346853263481
census_scrna__4a5b00e0_pseudobulk	census_scrna	c2_kegg	181	12	1	0.0663	1.65705773015006
census_scrna__4a5b00e0_pseudobulk	census_scrna	c2_reactome	1477	109	9	0.0738	1.64999592391824
census_scrna__4a5b00e0_pseudobulk	census_scrna	c2_wikipathways	782	24	13	0.0307	1.8067698094877
census_scrna__4a5b00e0_pseudobulk	census_scrna	c5_go_bp	5376	49	22	0.0091	1.61994134335193
census_scrna__4a5b00e0_wilcoxon	census_scrna	hallmark	50	0	0	0.0	
census_scrna__4a5b00e0_wilcoxon	census_scrna	c2_kegg	181	1	1	0.0055	1.74509905040996
census_scrna__4a5b00e0_wilcoxon	census_scrna	c2_reactome	1477	23	23	0.0156	1.92480245169968
census_scrna__4a5b00e0_wilcoxon	census_scrna	c2_wikipathways	782	3	3	0.0038	1.73955637140265
census_scrna__4a5b00e0_wilcoxon	census_scrna	c5_go_bp	5376	30	10	0.0056	1.762490456765845
census_scrna__5c97eeeb_pseudobulk	census_scrna	hallmark	50	3	2	0.06	1.9727665014916
census_scrna__5c97eeeb_pseudobulk	census_scrna	c2_kegg	172	8	5	0.0465	1.9136771931128251
census_scrna__5c97eeeb_pseudobulk	census_scrna	c2_reactome	1426	91	39	0.0638	1.86194324861378
census_scrna__5c97eeeb_pseudobulk	census_scrna	c2_wikipathways	738	5	3	0.0068	1.94471096276532
census_scrna__5c97eeeb_pseudobulk	census_scrna	c5_go_bp	5145	25	12	0.0049	1.77977297193285
census_scrna__5c97eeeb_wilcoxon	census_scrna	hallmark	50	0	0	0.0	
census_scrna__5c97eeeb_wilcoxon	census_scrna	c2_kegg	172	0	0	0.0	
census_scrna__5c97eeeb_wilcoxon	census_scrna	c2_reactome	1426	0	0	0.0	
census_scrna__5c97eeeb_wilcoxon	census_scrna	c2_wikipathways	738	0	0	0.0	
census_scrna__5c97eeeb_wilcoxon	census_scrna	c5_go_bp	5145	0	0	0.0	
census_scrna__5e57cd50_pseudobulk	census_scrna	hallmark	50	3	1	0.06	1.63896858702905
census_scrna__5e57cd50_pseudobulk	census_scrna	c2_kegg	172	1	1	0.0058	2.13440947918057
census_scrna__5e57cd50_pseudobulk	census_scrna	c2_reactome	1425	22	14	0.0154	1.93067586222289
census_scrna__5e57cd50_pseudobulk	census_scrna	c2_wikipathways	742	1	1	0.0013	2.10548409750198
census_scrna__5e57cd50_pseudobulk	census_scrna	c5_go_bp	5174	3	0	0.0006	2.19417781428358
census_scrna__5e57cd50_wilcoxon	census_scrna	hallmark	50	0	0	0.0	
census_scrna__5e57cd50_wilcoxon	census_scrna	c2_kegg	172	0	0	0.0	
census_scrna__5e57cd50_wilcoxon	census_scrna	c2_reactome	1425	0	0	0.0	
census_scrna__5e57cd50_wilcoxon	census_scrna	c2_wikipathways	742	0	0	0.0	
census_scrna__5e57cd50_wilcoxon	census_scrna	c5_go_bp	5174	0	0	0.0	
census_scrna__67b6b9ac_pseudobulk	census_scrna	hallmark	50	19	13	0.38	1.79573721508222
census_scrna__67b6b9ac_pseudobulk	census_scrna	c2_kegg	178	28	20	0.1573	2.1602654192002504
census_scrna__67b6b9ac_pseudobulk	census_scrna	c2_reactome	1433	176	127	0.1228	1.9352499488311001
census_scrna__67b6b9ac_pseudobulk	census_scrna	c2_wikipathways	762	32	22	0.042	2.02623217267064
census_scrna__67b6b9ac_pseudobulk	census_scrna	c5_go_bp	5178	208	126	0.0402	1.80973693107192
census_scrna__67b6b9ac_wilcoxon	census_scrna	hallmark	50	1	0	0.02	1.45836342526359
census_scrna__67b6b9ac_wilcoxon	census_scrna	c2_kegg	179	1	1	0.0056	1.64287142382172
census_scrna__67b6b9ac_wilcoxon	census_scrna	c2_reactome	1480	25	25	0.0169	1.68421972133011
census_scrna__67b6b9ac_wilcoxon	census_scrna	c2_wikipathways	784	2	2	0.0026	1.598784135383355
census_scrna__67b6b9ac_wilcoxon	census_scrna	c5_go_bp	5408	28	17	0.0052	1.526930234055855
census_scrna__6a270451_pseudobulk	census_scrna	hallmark	50	15	9	0.3	1.74025877810515
census_scrna__6a270451_pseudobulk	census_scrna	c2_kegg	176	6	2	0.0341	1.8736481683710648
census_scrna__6a270451_pseudobulk	census_scrna	c2_reactome	1409	29	11	0.0206	1.75495169969051
census_scrna__6a270451_pseudobulk	census_scrna	c2_wikipathways	760	0	0	0.0	
census_scrna__6a270451_pseudobulk	census_scrna	c5_go_bp	5061	37	12	0.0073	1.75079768825162
census_scrna__6a270451_wilcoxon	census_scrna	hallmark	50	1	0	0.02	1.97846311872579
census_scrna__6a270451_wilcoxon	census_scrna	c2_kegg	182	2	1	0.011	2.14116639859254
census_scrna__6a270451_wilcoxon	census_scrna	c2_reactome	1526	33	26	0.0216	2.26063643421313
census_scrna__6a270451_wilcoxon	census_scrna	c2_wikipathways	798	1	1	0.0013	2.3688099779511
census_scrna__6a270451_wilcoxon	census_scrna	c5_go_bp	5493	13	11	0.0024	2.20125359360076
census_scrna__6f7fd0f1_pseudobulk	census_scrna	hallmark	50	13	4	0.26	1.59776570647322
census_scrna__6f7fd0f1_pseudobulk	census_scrna	c2_kegg	175	59	37	0.3371	1.83068523733528
census_scrna__6f7fd0f1_pseudobulk	census_scrna	c2_reactome	1452	152	83	0.1047	1.82100451324358
census_scrna__6f7fd0f1_pseudobulk	census_scrna	c2_wikipathways	737	139	60	0.1886	1.76028308833227
census_scrna__6f7fd0f1_pseudobulk	census_scrna	c5_go_bp	5182	566	283	0.1092	1.72383851293778
census_scrna__6f7fd0f1_wilcoxon	census_scrna	hallmark	50	0	0	0.0	
census_scrna__6f7fd0f1_wilcoxon	census_scrna	c2_kegg	175	13	0	0.0743	1.71619687741547
census_scrna__6f7fd0f1_wilcoxon	census_scrna	c2_reactome	1452	12	0	0.0083	1.4800720377076249
census_scrna__6f7fd0f1_wilcoxon	census_scrna	c2_wikipathways	737	2	0	0.0027	1.673720202196135
census_scrna__6f7fd0f1_wilcoxon	census_scrna	c5_go_bp	5182	16	3	0.0031	1.7708551607796998
census_scrna__7b6bab5a_wilcoxon	census_scrna	hallmark	50	4	1	0.08	1.3972817431494549
census_scrna__7b6bab5a_wilcoxon	census_scrna	c2_kegg	160	1	0	0.0063	1.39825552988652
census_scrna__7b6bab5a_wilcoxon	census_scrna	c2_reactome	1253	1	1	0.0008	1.43978215044345
census_scrna__7b6bab5a_wilcoxon	census_scrna	c2_wikipathways	728	0	0	0.0	
census_scrna__7b6bab5a_wilcoxon	census_scrna	c5_go_bp	4196	0	0	0.0	
census_scrna__9dbab10c_pseudobulk	census_scrna	hallmark	50	7	4	0.14	1.31093659311583
census_scrna__9dbab10c_pseudobulk	census_scrna	c2_kegg	181	1	0	0.0055	1.59271381444041
census_scrna__9dbab10c_pseudobulk	census_scrna	c2_reactome	1481	0	0	0.0	
census_scrna__9dbab10c_pseudobulk	census_scrna	c2_wikipathways	791	1	1	0.0013	1.63396292411975
census_scrna__9dbab10c_pseudobulk	census_scrna	c5_go_bp	5369	6	0	0.0011	1.510617292416315
census_scrna__9dbab10c_wilcoxon	census_scrna	hallmark	50	3	2	0.06	1.64640141123711
census_scrna__9dbab10c_wilcoxon	census_scrna	c2_kegg	181	2	1	0.011	1.72083994834619
census_scrna__9dbab10c_wilcoxon	census_scrna	c2_reactome	1482	34	28	0.0229	1.8358396926699299
census_scrna__9dbab10c_wilcoxon	census_scrna	c2_wikipathways	791	6	2	0.0076	1.650538362449195
census_scrna__9dbab10c_wilcoxon	census_scrna	c5_go_bp	5369	30	28	0.0056	1.787504951656465
census_scrna__9f222629_pseudobulk	census_scrna	hallmark	50	20	19	0.4	1.884366326368625
census_scrna__9f222629_pseudobulk	census_scrna	c2_kegg	184	27	15	0.1467	1.75828289137435
census_scrna__9f222629_pseudobulk	census_scrna	c2_reactome	1557	80	48	0.0514	1.781369073870575
census_scrna__9f222629_pseudobulk	census_scrna	c2_wikipathways	826	53	34	0.0642	1.74484752452243
census_scrna__9f222629_pseudobulk	census_scrna	c5_go_bp	5775	407	210	0.0705	1.70060350092694
census_scrna__9f222629_wilcoxon	census_scrna	hallmark	50	15	9	0.3	1.57340816782459
census_scrna__9f222629_wilcoxon	census_scrna	c2_kegg	184	5	2	0.0272	1.83761160568359
census_scrna__9f222629_wilcoxon	census_scrna	c2_reactome	1557	100	27	0.0642	1.7306585662854048
census_scrna__9f222629_wilcoxon	census_scrna	c2_wikipathways	826	11	4	0.0133	1.75957248607511
census_scrna__9f222629_wilcoxon	census_scrna	c5_go_bp	5775	87	40	0.0151	1.69049995063013
census_scrna__a19d1667_pseudobulk	census_scrna	hallmark	50	0	0	0.0	
census_scrna__a19d1667_pseudobulk	census_scrna	c2_kegg	178	0	0	0.0	
census_scrna__a19d1667_pseudobulk	census_scrna	c2_reactome	1538	2	2	0.0013	2.8375557467087003
census_scrna__a19d1667_pseudobulk	census_scrna	c2_wikipathways	820	7	0	0.0085	2.4682497827984
census_scrna__a19d1667_pseudobulk	census_scrna	c5_go_bp	5690	9	3	0.0016	2.35053675466308
census_scrna__a19d1667_wilcoxon	census_scrna	hallmark	50	19	13	0.38	1.20646231207443
census_scrna__a19d1667_wilcoxon	census_scrna	c2_kegg	180	2	0	0.0111	1.19091698413504
census_scrna__a19d1667_wilcoxon	census_scrna	c2_reactome	1555	24	6	0.0154	1.20892541374788
census_scrna__a19d1667_wilcoxon	census_scrna	c2_wikipathways	827	4	2	0.0048	1.20490203411407
census_scrna__a19d1667_wilcoxon	census_scrna	c5_go_bp	5775	94	34	0.0163	1.168888115403625
census_scrna__a48343a2_pseudobulk	census_scrna	hallmark	50	15	11	0.3	1.64826762431115
census_scrna__a48343a2_pseudobulk	census_scrna	c2_kegg	156	12	9	0.0769	1.93983024371498
census_scrna__a48343a2_pseudobulk	census_scrna	c2_reactome	1176	166	116	0.1412	1.813442777634995
census_scrna__a48343a2_pseudobulk	census_scrna	c2_wikipathways	671	68	9	0.1013	1.753325508250485
census_scrna__a48343a2_pseudobulk	census_scrna	c5_go_bp	3815	392	192	0.1028	1.75832104585538
census_scrna__a48343a2_wilcoxon	census_scrna	hallmark	50	3	1	0.06	1.51306822224063
census_scrna__a48343a2_wilcoxon	census_scrna	c2_kegg	157	0	0	0.0	
census_scrna__a48343a2_wilcoxon	census_scrna	c2_reactome	1177	11	4	0.0093	1.56324181057428
census_scrna__a48343a2_wilcoxon	census_scrna	c2_wikipathways	671	2	1	0.003	1.743863074968285
census_scrna__a48343a2_wilcoxon	census_scrna	c5_go_bp	3817	24	4	0.0063	1.46048426788495
census_scrna__b2dd6bc9_pseudobulk	census_scrna	c2_kegg	1	0	0	0.0	
census_scrna__b2dd6bc9_pseudobulk	census_scrna	c2_wikipathways	2	0	0	0.0	
census_scrna__b2dd6bc9_wilcoxon	census_scrna	c2_kegg	1	0	0	0.0	
census_scrna__b2dd6bc9_wilcoxon	census_scrna	c2_wikipathways	2	0	0	0.0	
census_scrna__b617ee1b_pseudobulk	census_scrna	hallmark	50	0	0	0.0	
census_scrna__b617ee1b_pseudobulk	census_scrna	c2_kegg	175	0	0	0.0	
census_scrna__b617ee1b_pseudobulk	census_scrna	c2_reactome	1452	0	0	0.0	
census_scrna__b617ee1b_pseudobulk	census_scrna	c2_wikipathways	790	0	0	0.0	
census_scrna__b617ee1b_pseudobulk	census_scrna	c5_go_bp	5243	0	0	0.0	
census_scrna__b617ee1b_wilcoxon	census_scrna	hallmark	50	11	6	0.22	1.20935299607687
census_scrna__b617ee1b_wilcoxon	census_scrna	c2_kegg	184	11	6	0.0598	1.2902260853098
census_scrna__b617ee1b_wilcoxon	census_scrna	c2_reactome	1558	83	17	0.0533	1.22994467698135
census_scrna__b617ee1b_wilcoxon	census_scrna	c2_wikipathways	827	12	3	0.0145	1.273569572224745
census_scrna__b617ee1b_wilcoxon	census_scrna	c5_go_bp	5756	23	1	0.004	1.22103955108849
census_scrna__b6f472f1_pseudobulk	census_scrna	hallmark	50	2	2	0.04	2.015282237436505
census_scrna__b6f472f1_pseudobulk	census_scrna	c2_kegg	157	1	0	0.0064	2.13757748486619
census_scrna__b6f472f1_pseudobulk	census_scrna	c2_reactome	1197	11	2	0.0092	2.27728032170914
census_scrna__b6f472f1_pseudobulk	census_scrna	c2_wikipathways	690	18	2	0.0261	1.9960528540263152
census_scrna__b6f472f1_pseudobulk	census_scrna	c5_go_bp	3998	1	0	0.0003	2.1483261894524
census_scrna__b6f472f1_wilcoxon	census_scrna	hallmark	50	0	0	0.0	
census_scrna__b6f472f1_wilcoxon	census_scrna	c2_kegg	157	1	0	0.0064	1.75456026006996
census_scrna__b6f472f1_wilcoxon	census_scrna	c2_reactome	1197	9	2	0.0075	2.26233349174389
census_scrna__b6f472f1_wilcoxon	census_scrna	c2_wikipathways	690	4	0	0.0058	2.46947390036198
census_scrna__b6f472f1_wilcoxon	census_scrna	c5_go_bp	3998	0	0	0.0	
census_scrna__c2876b1b_pseudobulk	census_scrna	hallmark	50	4	4	0.08	1.77313021829195
census_scrna__c2876b1b_pseudobulk	census_scrna	c2_kegg	174	53	32	0.3046	1.75630160095472
census_scrna__c2876b1b_pseudobulk	census_scrna	c2_reactome	1452	134	67	0.0923	1.7964702151162748
census_scrna__c2876b1b_pseudobulk	census_scrna	c2_wikipathways	734	90	46	0.1226	1.823339720564245
census_scrna__c2876b1b_pseudobulk	census_scrna	c5_go_bp	5180	345	170	0.0666	1.68450445986741
census_scrna__c2876b1b_wilcoxon	census_scrna	hallmark	50	0	0	0.0	
census_scrna__c2876b1b_wilcoxon	census_scrna	c2_kegg	174	1	1	0.0057	1.62108355720039
census_scrna__c2876b1b_wilcoxon	census_scrna	c2_reactome	1452	26	25	0.0179	1.62195991262858
census_scrna__c2876b1b_wilcoxon	census_scrna	c2_wikipathways	734	2	1	0.0027	1.768651420450055
census_scrna__c2876b1b_wilcoxon	census_scrna	c5_go_bp	5180	22	14	0.0042	1.5004153558461102
census_scrna__c7775e88_pseudobulk	census_scrna	hallmark	50	11	2	0.22	1.4941198585531
census_scrna__c7775e88_pseudobulk	census_scrna	c2_kegg	179	4	2	0.0223	1.7339511659214
census_scrna__c7775e88_pseudobulk	census_scrna	c2_reactome	1447	62	42	0.0428	1.782105363704975
census_scrna__c7775e88_pseudobulk	census_scrna	c2_wikipathways	770	10	3	0.013	1.7611542203435802
census_scrna__c7775e88_pseudobulk	census_scrna	c5_go_bp	5155	54	34	0.0105	1.69949205279496
census_scrna__c7775e88_wilcoxon	census_scrna	hallmark	50	2	2	0.04	2.03795001481988
census_scrna__c7775e88_wilcoxon	census_scrna	c2_kegg	180	4	4	0.0222	1.685937298613335
census_scrna__c7775e88_wilcoxon	census_scrna	c2_reactome	1475	47	37	0.0319	1.76795468754405
census_scrna__c7775e88_wilcoxon	census_scrna	c2_wikipathways	786	6	4	0.0076	1.74814785182511
census_scrna__c7775e88_wilcoxon	census_scrna	c5_go_bp	5351	36	23	0.0067	1.6695760613721649
census_scrna__d3cb449b_wilcoxon	census_scrna	hallmark	50	1	0	0.02	1.65933378706251
census_scrna__d3cb449b_wilcoxon	census_scrna	c2_kegg	179	0	0	0.0	
census_scrna__d3cb449b_wilcoxon	census_scrna	c2_reactome	1513	9	6	0.0059	1.68708437309387
census_scrna__d3cb449b_wilcoxon	census_scrna	c2_wikipathways	780	0	0	0.0	
census_scrna__d3cb449b_wilcoxon	census_scrna	c5_go_bp	5496	7	6	0.0013	1.73081711882272
census_scrna__d9f3a82c_pseudobulk	census_scrna	hallmark	50	23	18	0.46	1.68936263509104
census_scrna__d9f3a82c_pseudobulk	census_scrna	c2_kegg	181	30	19	0.1657	1.813943268561955
census_scrna__d9f3a82c_pseudobulk	census_scrna	c2_reactome	1485	207	138	0.1394	1.81732461829937
census_scrna__d9f3a82c_pseudobulk	census_scrna	c2_wikipathways	789	23	6	0.0292	1.8366944384686
census_scrna__d9f3a82c_pseudobulk	census_scrna	c5_go_bp	5377	191	72	0.0355	1.74927726467008
census_scrna__d9f3a82c_wilcoxon	census_scrna	hallmark	50	4	2	0.08	1.389532724533515
census_scrna__d9f3a82c_wilcoxon	census_scrna	c2_kegg	181	14	2	0.0773	1.48347202091792
census_scrna__d9f3a82c_wilcoxon	census_scrna	c2_reactome	1485	15	4	0.0101	1.43979961566739
census_scrna__d9f3a82c_wilcoxon	census_scrna	c2_wikipathways	790	2	1	0.0025	1.535432002643085
census_scrna__d9f3a82c_wilcoxon	census_scrna	c5_go_bp	5385	26	1	0.0048	1.45281152077446
census_scrna__ebc2e1ff_wilcoxon	census_scrna	hallmark	50	9	6	0.18	1.6308351371671
census_scrna__ebc2e1ff_wilcoxon	census_scrna	c2_kegg	179	6	4	0.0335	1.6602474767018
census_scrna__ebc2e1ff_wilcoxon	census_scrna	c2_reactome	1470	19	19	0.0129	1.75289840416296
census_scrna__ebc2e1ff_wilcoxon	census_scrna	c2_wikipathways	783	32	4	0.0409	1.630472866034745
census_scrna__ebc2e1ff_wilcoxon	census_scrna	c5_go_bp	5291	11	8	0.0021	1.71350265822846
census_scrna__f14bc322_wilcoxon	census_scrna	hallmark	50	5	5	0.1	1.68498937627186
census_scrna__f14bc322_wilcoxon	census_scrna	c2_kegg	185	5	1	0.027	1.57496296464621
census_scrna__f14bc322_wilcoxon	census_scrna	c2_reactome	1536	42	24	0.0273	1.7065614264395599
census_scrna__f14bc322_wilcoxon	census_scrna	c2_wikipathways	813	5	5	0.0062	1.61856988222183
census_scrna__f14bc322_wilcoxon	census_scrna	c5_go_bp	5617	25	15	0.0045	1.60949995209941
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair	hallmark	50	12	5	0.24	1.5886561310506448
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair	c2_kegg	186	7	5	0.0376	1.79275135576578
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair	c2_reactome	1770	86	33	0.0486	1.74216302170328
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair	c2_wikipathways	912	25	6	0.0274	1.77733379701032
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair	c5_go_bp	6983	81	27	0.0116	1.72649756417557
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair	hallmark	50	19	15	0.38	1.57567201244582
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair	c2_kegg	186	13	6	0.0699	1.68574462702287
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair	c2_reactome	1770	134	88	0.0757	1.80275249720966
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair	c2_wikipathways	912	58	20	0.0636	1.76756330582925
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair	c5_go_bp	6983	134	57	0.0192	1.75868880743997
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair	hallmark	50	17	17	0.34	1.64838728572048
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair	c2_kegg	186	17	9	0.0914	1.74021909902046
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair	c2_reactome	1770	126	81	0.0712	1.80411969463962
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair	c2_wikipathways	912	58	18	0.0636	1.78130502350203
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair	c5_go_bp	6983	176	72	0.0252	1.7375493523416652
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_DESeq2	gtex_tissue_pair	hallmark	50	18	13	0.36	1.644297050206775
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_DESeq2	gtex_tissue_pair	c2_kegg	186	38	23	0.2043	1.6926273720076148
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_DESeq2	gtex_tissue_pair	c2_reactome	1769	518	360	0.2928	1.822647724433455
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_DESeq2	gtex_tissue_pair	c2_wikipathways	908	168	84	0.185	1.7408157642560749
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_DESeq2	gtex_tissue_pair	c5_go_bp	6949	1206	713	0.1736	1.690231024105
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair	hallmark	50	23	18	0.46	1.67172343087518
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair	c2_kegg	186	47	30	0.2527	1.76210627712691
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair	c2_reactome	1769	615	430	0.3477	1.90408593770199
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair	c2_wikipathways	908	219	111	0.2412	1.78286586092478
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair	c5_go_bp	6949	1389	888	0.1999	1.80610332725003
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair	hallmark	50	20	18	0.4	1.78197044479023
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair	c2_kegg	186	53	29	0.2849	1.72258859180108
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair	c2_reactome	1769	611	445	0.3454	1.93020011923661
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair	c2_wikipathways	908	200	112	0.2203	1.818070863430745
gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair	c5_go_bp	6949	1432	905	0.2061	1.804432504051345
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair	hallmark	50	16	14	0.32	1.62378647312368
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair	c2_kegg	186	28	13	0.1505	1.6171282031508398
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair	c2_reactome	1781	170	106	0.0955	1.65206452476362
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair	c2_wikipathways	915	59	32	0.0645	1.67089097531077
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair	c5_go_bp	7016	338	179	0.0482	1.6554228879877249
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair	hallmark	50	24	16	0.48	1.6895162535647752
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair	c2_kegg	186	27	17	0.1452	1.76214245023897
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair	c2_reactome	1781	286	160	0.1606	1.7195279290812802
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair	c2_wikipathways	915	70	33	0.0765	1.8122116379863948
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair	c5_go_bp	7016	503	273	0.0717	1.73152578673127
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair	hallmark	50	24	18	0.48	1.717702464308825
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair	c2_kegg	186	32	15	0.172	1.7150016223197748
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair	c2_reactome	1781	273	148	0.1533	1.76089065118555
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair	c2_wikipathways	915	84	37	0.0918	1.750133754513665
gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair	c5_go_bp	7016	522	287	0.0744	1.735862192456935
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair	hallmark	50	25	18	0.5	1.65980447625294
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair	c2_kegg	186	59	42	0.3172	1.82875180830547
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair	c2_reactome	1778	209	132	0.1175	1.7599964067521
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair	c2_wikipathways	912	135	61	0.148	1.68481547064467
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair	c5_go_bp	6985	884	553	0.1266	1.7461907507349501
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair	hallmark	50	23	19	0.46	1.85508957980637
gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair	c2_kegg	186	66	48	0.3548	1.896433501344315
