input_id	input_category	database	n_pathways_returned	n_sig_padj_05	n_sig_padj_01	frac_sig_padj_05	median_abs_NES_sig
tcga_cancer__BRCA_DESeq2	tcga_cancer	c2_wikipathways	910	119	53	0.1308	1.75842542155856
tcga_cancer__BRCA_DESeq2	tcga_cancer	c5_go_bp	7007	826	473	0.1179	1.721829643485345
tcga_cancer__BRCA_edgeR	tcga_cancer	hallmark	50	26	22	0.52	1.75245267075229
tcga_cancer__BRCA_edgeR	tcga_cancer	c2_kegg	186	46	31	0.2473	1.74318217681047
tcga_cancer__BRCA_edgeR	tcga_cancer	c2_reactome	1772	469	337	0.2647	1.8368488185357
tcga_cancer__BRCA_edgeR	tcga_cancer	c2_wikipathways	910	103	66	0.1132	1.87048506493458
tcga_cancer__BRCA_edgeR	tcga_cancer	c5_go_bp	7007	870	476	0.1242	1.74397260728836
tcga_cancer__BRCA_limma	tcga_cancer	hallmark	50	26	21	0.52	1.80645974927815
tcga_cancer__BRCA_limma	tcga_cancer	c2_kegg	186	57	37	0.3065	1.7439825497888
tcga_cancer__BRCA_limma	tcga_cancer	c2_reactome	1772	541	408	0.3053	1.87369586499761
tcga_cancer__BRCA_limma	tcga_cancer	c2_wikipathways	910	146	74	0.1604	1.75262285914438
tcga_cancer__BRCA_limma	tcga_cancer	c5_go_bp	7007	1095	604	0.1563	1.75038324479267
tcga_cancer__COAD_DESeq2	tcga_cancer	hallmark	50	21	14	0.42	1.79350252691795
tcga_cancer__COAD_DESeq2	tcga_cancer	c2_kegg	186	63	42	0.3387	1.76559370510425
tcga_cancer__COAD_DESeq2	tcga_cancer	c2_reactome	1772	353	217	0.1992	1.77642411575054
tcga_cancer__COAD_DESeq2	tcga_cancer	c2_wikipathways	917	99	52	0.108	1.75757622251751
tcga_cancer__COAD_DESeq2	tcga_cancer	c5_go_bp	6976	765	415	0.1097	1.73581465121196
tcga_cancer__COAD_edgeR	tcga_cancer	hallmark	50	25	21	0.5	1.79134170381806
tcga_cancer__COAD_edgeR	tcga_cancer	c2_kegg	186	81	64	0.4355	1.80443679078023
tcga_cancer__COAD_edgeR	tcga_cancer	c2_reactome	1772	523	382	0.2951	1.85254748488161
tcga_cancer__COAD_edgeR	tcga_cancer	c2_wikipathways	917	149	94	0.1625	1.78192367018003
