input_id	input_category	db_a	db_b	leading_edge_gene_jaccard_sig05	n_sig_pathway_names_shared	direction_concordance_on_shared	n_genes_unique_to_a	n_genes_unique_to_b	n_sig_genes_a	n_sig_genes_b
tcga_cancer__BLCA_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.204	0		135	3013	942	3820
tcga_cancer__BLCA_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3673	0		1174	557	2179	1562
tcga_cancer__BLCA_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.3964	0		476	2117	2179	3820
tcga_cancer__BLCA_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.3305	0		225	2483	1562	3820
tcga_cancer__BLCA_limma	tcga_cancer	hallmark	c2_kegg	0.2176	0		770	611	1154	995
tcga_cancer__BLCA_limma	tcga_cancer	hallmark	c2_reactome	0.2356	0		520	1537	1154	2171
tcga_cancer__BLCA_limma	tcga_cancer	hallmark	c2_wikipathways	0.2539	0		591	1063	1154	1626
tcga_cancer__BLCA_limma	tcga_cancer	hallmark	c5_go_bp	0.2143	0		233	3144	1154	4065
tcga_cancer__BLCA_limma	tcga_cancer	c2_kegg	c2_reactome	0.2959	0		272	1448	995	2171
tcga_cancer__BLCA_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3956	0		252	883	995	1626
tcga_cancer__BLCA_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2163	0		95	3165	995	4065
tcga_cancer__BLCA_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.3693	0		1147	602	2171	1626
tcga_cancer__BLCA_limma	tcga_cancer	c2_reactome	c5_go_bp	0.3806	0		452	2346	2171	4065
tcga_cancer__BLCA_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.3372	0		191	2630	1626	4065
tcga_cancer__BRCA_DESeq2	tcga_cancer	hallmark	c2_kegg	0.1878	0		760	455	1041	736
tcga_cancer__BRCA_DESeq2	tcga_cancer	hallmark	c2_reactome	0.2238	0		471	1506	1041	2076
tcga_cancer__BRCA_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.2222	0		594	971	1041	1418
tcga_cancer__BRCA_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.199	0		234	3014	1041	3821
tcga_cancer__BRCA_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.236	0		199	1539	736	2076
tcga_cancer__BRCA_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.286	0		257	939	736	1418
tcga_cancer__BRCA_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.1643	0		93	3178	736	3821
tcga_cancer__BRCA_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3121	0		1245	587	2076	1418
tcga_cancer__BRCA_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.3872	0		430	2175	2076	3821
tcga_cancer__BRCA_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.2747	0		289	2692	1418	3821
tcga_cancer__BRCA_edgeR	tcga_cancer	hallmark	c2_kegg	0.1903	0		865	577	1204	916
tcga_cancer__BRCA_edgeR	tcga_cancer	hallmark	c2_reactome	0.2282	0		506	1855	1204	2553
tcga_cancer__BRCA_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.2362	0		700	930	1204	1434
tcga_cancer__BRCA_edgeR	tcga_cancer	hallmark	c5_go_bp	0.2058	0		271	3329	1204	4262
tcga_cancer__BRCA_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.2358	0		254	1891	916	2553
tcga_cancer__BRCA_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.3232	0		342	860	916	1434
tcga_cancer__BRCA_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.1704	0		162	3508	916	4262
tcga_cancer__BRCA_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3085	0		1613	494	2553	1434
tcga_cancer__BRCA_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.413	0		561	2270	2553	4262
tcga_cancer__BRCA_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2641	0		244	3072	1434	4262
tcga_cancer__BRCA_limma	tcga_cancer	hallmark	c2_kegg	0.2161	0		780	747	1201	1168
tcga_cancer__BRCA_limma	tcga_cancer	hallmark	c2_reactome	0.2325	0		424	2141	1201	2918
tcga_cancer__BRCA_limma	tcga_cancer	hallmark	c2_wikipathways	0.2432	0		603	1258	1201	1856
tcga_cancer__BRCA_limma	tcga_cancer	hallmark	c5_go_bp	0.1968	0		208	3846	1201	4839
