input_id	input_category	db_a	db_b	leading_edge_gene_jaccard_sig05	n_sig_pathway_names_shared	direction_concordance_on_shared	n_genes_unique_to_a	n_genes_unique_to_b	n_sig_genes_a	n_sig_genes_b
tcga_cancer__KIRP_limma	tcga_cancer	hallmark	c2_reactome	0.1884	0		446	1531	905	1990
tcga_cancer__KIRP_limma	tcga_cancer	hallmark	c2_wikipathways	0.1999	0		550	871	905	1226
tcga_cancer__KIRP_limma	tcga_cancer	hallmark	c5_go_bp	0.1671	0		219	3200	905	3886
tcga_cancer__KIRP_limma	tcga_cancer	c2_kegg	c2_reactome	0.2675	0		279	1383	886	1990
tcga_cancer__KIRP_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3367	0		354	694	886	1226
tcga_cancer__KIRP_limma	tcga_cancer	c2_kegg	c5_go_bp	0.1984	0		96	3096	886	3886
tcga_cancer__KIRP_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.3004	0		1247	483	1990	1226
tcga_cancer__KIRP_limma	tcga_cancer	c2_reactome	c5_go_bp	0.3687	0		407	2303	1990	3886
tcga_cancer__KIRP_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.2502	0		203	2863	1226	3886
tcga_cancer__LIHC_DESeq2	tcga_cancer	hallmark	c2_kegg	0.2317	0		695	290	992	587
tcga_cancer__LIHC_DESeq2	tcga_cancer	hallmark	c2_reactome	0.248	0		492	1024	992	1524
tcga_cancer__LIHC_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.2971	0		541	526	992	977
tcga_cancer__LIHC_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.2476	0		301	1799	992	2490
tcga_cancer__LIHC_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.274	0		133	1070	587	1524
tcga_cancer__LIHC_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.3755	0		160	550	587	977
tcga_cancer__LIHC_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.2024	0		69	1972	587	2490
tcga_cancer__LIHC_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3475	0		879	332	1524	977
tcga_cancer__LIHC_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.377	0		425	1391	1524	2490
tcga_cancer__LIHC_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.2966	0		184	1697	977	2490
tcga_cancer__LIHC_edgeR	tcga_cancer	hallmark	c2_kegg	0.1516	0		378	400	517	539
tcga_cancer__LIHC_edgeR	tcga_cancer	hallmark	c2_reactome	0.1678	0		240	1134	517	1411
tcga_cancer__LIHC_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.1539	0		326	724	517	915
tcga_cancer__LIHC_edgeR	tcga_cancer	hallmark	c5_go_bp	0.1376	0		168	2019	517	2368
tcga_cancer__LIHC_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.2613	0		135	1007	539	1411
tcga_cancer__LIHC_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.3513	0		161	537	539	915
tcga_cancer__LIHC_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.1885	0		78	1907	539	2368
tcga_cancer__LIHC_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3291	0		835	339	1411	915
tcga_cancer__LIHC_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.3584	0		414	1371	1411	2368
tcga_cancer__LIHC_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2779	0		201	1654	915	2368
tcga_cancer__LIHC_limma	tcga_cancer	hallmark	c2_kegg	0.2535	0		896	506	1372	982
tcga_cancer__LIHC_limma	tcga_cancer	hallmark	c2_reactome	0.2677	0		485	1942	1372	2829
tcga_cancer__LIHC_limma	tcga_cancer	hallmark	c2_wikipathways	0.2972	0		641	1088	1372	1819
tcga_cancer__LIHC_limma	tcga_cancer	hallmark	c5_go_bp	0.256	0		211	3164	1372	4325
tcga_cancer__LIHC_limma	tcga_cancer	c2_kegg	c2_reactome	0.2759	0		158	2005	982	2829
tcga_cancer__LIHC_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.367	0		230	1067	982	1819
tcga_cancer__LIHC_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2053	0		78	3421	982	4325
tcga_cancer__LIHC_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.4008	0		1499	489	2829	1819
tcga_cancer__LIHC_limma	tcga_cancer	c2_reactome	c5_go_bp	0.4624	0		567	2063	2829	4325
tcga_cancer__LIHC_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.3441	0		246	2752	1819	4325
tcga_cancer__LUAD_DESeq2	tcga_cancer	hallmark	c2_kegg	0.2252	0		607	532	938	863
tcga_cancer__LUAD_DESeq2	tcga_cancer	hallmark	c2_reactome	0.2026	0		407	1683	938	2214
tcga_cancer__LUAD_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.2398	0		514	830	938	1254
tcga_cancer__LUAD_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.2006	0		182	2831	938	3587
tcga_cancer__LUAD_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.2442	0		259	1610	863	2214
tcga_cancer__LUAD_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.3588	0		304	695	863	1254
tcga_cancer__LUAD_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.2079	0		97	2821	863	3587
tcga_cancer__LUAD_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.2708	0		1475	515	2214	1254
tcga_cancer__LUAD_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.3756	0		630	2003	2214	3587
tcga_cancer__LUAD_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.2719	0		219	2552	1254	3587
tcga_cancer__LUAD_edgeR	tcga_cancer	hallmark	c2_kegg	0.2195	0		687	661	1066	1040
tcga_cancer__LUAD_edgeR	tcga_cancer	hallmark	c2_reactome	0.2208	0		396	1969	1066	2639
tcga_cancer__LUAD_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.2501	0		556	973	1066	1483
tcga_cancer__LUAD_edgeR	tcga_cancer	hallmark	c5_go_bp	0.1984	0		226	3167	1066	4007
tcga_cancer__LUAD_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.266	0		267	1866	1040	2639
tcga_cancer__LUAD_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.3825	0		342	785	1040	1483
tcga_cancer__LUAD_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.2214	0		125	3092	1040	4007
tcga_cancer__LUAD_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.2938	0		1703	547	2639	1483
tcga_cancer__LUAD_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.406	0		720	2088	2639	4007
tcga_cancer__LUAD_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2936	0		237	2761	1483	4007
tcga_cancer__LUAD_limma	tcga_cancer	hallmark	c2_kegg	0.2568	0		868	741	1424	1297
tcga_cancer__LUAD_limma	tcga_cancer	hallmark	c2_reactome	0.2473	0		531	2187	1424	3080
tcga_cancer__LUAD_limma	tcga_cancer	hallmark	c2_wikipathways	0.2939	0		644	1230	1424	2010
tcga_cancer__LUAD_limma	tcga_cancer	hallmark	c5_go_bp	0.2352	0		219	3700	1424	4905
tcga_cancer__LUAD_limma	tcga_cancer	c2_kegg	c2_reactome	0.3011	0		284	2067	1297	3080
tcga_cancer__LUAD_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3907	0		368	1081	1297	2010
tcga_cancer__LUAD_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2323	0		128	3736	1297	4905
tcga_cancer__LUAD_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.3734	0		1696	626	3080	2010
tcga_cancer__LUAD_limma	tcga_cancer	c2_reactome	c5_go_bp	0.445	0		621	2446	3080	4905
tcga_cancer__LUAD_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.353	0		206	3101	2010	4905
tcga_cancer__LUSC_DESeq2	tcga_cancer	hallmark	c2_kegg	0.2191	0		811	486	1175	850
tcga_cancer__LUSC_DESeq2	tcga_cancer	hallmark	c2_reactome	0.2365	0		519	1599	1175	2255
tcga_cancer__LUSC_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.2544	0		624	991	1175	1542
tcga_cancer__LUSC_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.2088	0		269	3164	1175	4070
tcga_cancer__LUSC_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.2746	0		181	1586	850	2255
tcga_cancer__LUSC_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.3423	0		240	932	850	1542
tcga_cancer__LUSC_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.1887	0		69	3289	850	4070
tcga_cancer__LUSC_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3556	0		1259	546	2255	1542
tcga_cancer__LUSC_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.3996	0		449	2264	2255	4070
tcga_cancer__LUSC_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.2991	0		250	2778	1542	4070
tcga_cancer__LUSC_edgeR	tcga_cancer	hallmark	c2_kegg	0.2101	0		1022	580	1448	1006
tcga_cancer__LUSC_edgeR	tcga_cancer	hallmark	c2_reactome	0.2396	0		606	2066	1448	2908
tcga_cancer__LUSC_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.2492	0		797	1164	1448	1815
tcga_cancer__LUSC_edgeR	tcga_cancer	hallmark	c5_go_bp	0.2201	0		321	3673	1448	4800
tcga_cancer__LUSC_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.2573	0		205	2107	1006	2908
tcga_cancer__LUSC_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.3478	0		278	1087	1006	1815
tcga_cancer__LUSC_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.1878	0		88	3882	1006	4800
tcga_cancer__LUSC_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3529	0		1676	583	2908	1815
tcga_cancer__LUSC_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.4172	0		639	2531	2908	4800
tcga_cancer__LUSC_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.3032	0		276	3261	1815	4800
tcga_cancer__LUSC_limma	tcga_cancer	hallmark	c2_kegg	0.2461	0		1042	634	1589	1181
tcga_cancer__LUSC_limma	tcga_cancer	hallmark	c2_reactome	0.2673	0		566	2238	1589	3261
tcga_cancer__LUSC_limma	tcga_cancer	hallmark	c2_wikipathways	0.2829	0		804	1186	1589	1971
tcga_cancer__LUSC_limma	tcga_cancer	hallmark	c5_go_bp	0.2426	0		262	3882	1589	5209
tcga_cancer__LUSC_limma	tcga_cancer	c2_kegg	c2_reactome	0.2816	0		205	2285	1181	3261
tcga_cancer__LUSC_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3752	0		321	1111	1181	1971
tcga_cancer__LUSC_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2061	0		89	4117	1181	5209
tcga_cancer__LUSC_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.3849	0		1807	517	3261	1971
tcga_cancer__LUSC_limma	tcga_cancer	c2_reactome	c5_go_bp	0.4651	0		572	2520	3261	5209
tcga_cancer__LUSC_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.325	0		210	3448	1971	5209
tcga_cancer__PRAD_DESeq2	tcga_cancer	hallmark	c2_kegg	0.1974	0		881	599	1245	963
tcga_cancer__PRAD_DESeq2	tcga_cancer	hallmark	c2_reactome	0.2322	0		553	1735	1245	2427
tcga_cancer__PRAD_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.2481	0		693	980	1245	1532
tcga_cancer__PRAD_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.2253	0		230	3260	1245	4275
tcga_cancer__PRAD_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.2851	0		211	1675	963	2427
tcga_cancer__PRAD_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.3962	0		255	824	963	1532
tcga_cancer__PRAD_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.1962	0		104	3416	963	4275
tcga_cancer__PRAD_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3343	0		1435	540	2427	1532
tcga_cancer__PRAD_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.4178	0		452	2300	2427	4275
tcga_cancer__PRAD_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.3014	0		187	2930	1532	4275
tcga_cancer__PRAD_edgeR	tcga_cancer	hallmark	c2_kegg	0.2083	0		914	614	1316	1016
tcga_cancer__PRAD_edgeR	tcga_cancer	hallmark	c2_reactome	0.2267	0		594	1869	1316	2591
tcga_cancer__PRAD_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.2511	0		707	1109	1316	1718
tcga_cancer__PRAD_edgeR	tcga_cancer	hallmark	c5_go_bp	0.2218	0		270	3401	1316	4447
tcga_cancer__PRAD_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.285	0		216	1791	1016	2591
tcga_cancer__PRAD_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.378	0		266	968	1016	1718
tcga_cancer__PRAD_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.2046	0		88	3519	1016	4447
tcga_cancer__PRAD_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3341	0		1512	639	2591	1718
tcga_cancer__PRAD_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.4009	0		577	2433	2591	4447
tcga_cancer__PRAD_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.3165	0		236	2965	1718	4447
tcga_cancer__PRAD_limma	tcga_cancer	hallmark	c2_kegg	0.192	0		829	758	1206	1135
tcga_cancer__PRAD_limma	tcga_cancer	hallmark	c2_reactome	0.2109	0		531	1995	1206	2670
tcga_cancer__PRAD_limma	tcga_cancer	hallmark	c2_wikipathways	0.2339	0		610	1342	1206	1938
tcga_cancer__PRAD_limma	tcga_cancer	hallmark	c5_go_bp	0.2041	0		206	3693	1206	4693
tcga_cancer__PRAD_limma	tcga_cancer	c2_kegg	c2_reactome	0.3044	0		247	1782	1135	2670
tcga_cancer__PRAD_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3949	0		265	1068	1135	1938
tcga_cancer__PRAD_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2167	0		97	3655	1135	4693
tcga_cancer__PRAD_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.3577	0		1456	724	2670	1938
tcga_cancer__PRAD_limma	tcga_cancer	c2_reactome	c5_go_bp	0.4086	0		534	2557	2670	4693
tcga_cancer__PRAD_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.3404	0		254	3009	1938	4693
tcga_cancer__READ_DESeq2	tcga_cancer	hallmark	c2_kegg	0.1812	0		536	698	809	971
tcga_cancer__READ_DESeq2	tcga_cancer	hallmark	c2_reactome	0.171	0		396	1606	809	2019
tcga_cancer__READ_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.1761	0		510	889	809	1188
tcga_cancer__READ_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.1613	0		181	3084	809	3712
tcga_cancer__READ_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.304	0		274	1322	971	2019
tcga_cancer__READ_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.4074	0		346	563	971	1188
tcga_cancer__READ_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.2014	0		186	2927	971	3712
tcga_cancer__READ_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3176	0		1246	415	2019	1188
tcga_cancer__READ_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.378	0		447	2140	2019	3712
tcga_cancer__READ_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.2506	0		206	2730	1188	3712
tcga_cancer__READ_edgeR	tcga_cancer	hallmark	c2_kegg	0.2108	0		620	728	980	1088
tcga_cancer__READ_edgeR	tcga_cancer	hallmark	c2_reactome	0.2021	0		474	1524	980	2030
tcga_cancer__READ_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.2041	0		606	852	980	1226
tcga_cancer__READ_edgeR	tcga_cancer	hallmark	c5_go_bp	0.1883	0		230	3003	980	3753
tcga_cancer__READ_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.3246	0		324	1266	1088	2030
tcga_cancer__READ_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.411	0		414	552	1088	1226
tcga_cancer__READ_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.2265	0		194	2859	1088	3753
tcga_cancer__READ_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3241	0		1233	429	2030	1226
tcga_cancer__READ_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.3662	0		480	2203	2030	3753
tcga_cancer__READ_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2592	0		201	2728	1226	3753
tcga_cancer__READ_limma	tcga_cancer	hallmark	c2_kegg	0.1972	0		500	823	825	1148
tcga_cancer__READ_limma	tcga_cancer	hallmark	c2_reactome	0.1426	0		456	1762	825	2131
tcga_cancer__READ_limma	tcga_cancer	hallmark	c2_wikipathways	0.161	0		538	958	825	1245
tcga_cancer__READ_limma	tcga_cancer	hallmark	c5_go_bp	0.1544	0		163	3463	825	4125
tcga_cancer__READ_limma	tcga_cancer	c2_kegg	c2_reactome	0.3127	0		367	1350	1148	2131
tcga_cancer__READ_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.4118	0		450	547	1148	1245
tcga_cancer__READ_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2355	0		143	3120	1148	4125
tcga_cancer__READ_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.298	0		1356	470	2131	1245
tcga_cancer__READ_limma	tcga_cancer	c2_reactome	c5_go_bp	0.3692	0		444	2438	2131	4125
tcga_cancer__READ_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.2436	0		193	3073	1245	4125
tcga_cancer__STAD_DESeq2	tcga_cancer	hallmark	c2_kegg	0.2281	0		804	590	1216	1002
tcga_cancer__STAD_DESeq2	tcga_cancer	hallmark	c2_reactome	0.2443	0		537	1563	1216	2242
tcga_cancer__STAD_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.2587	0		675	875	1216	1416
tcga_cancer__STAD_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.2238	0		265	3033	1216	3984
tcga_cancer__STAD_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.3182	0		219	1459	1002	2242
tcga_cancer__STAD_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.3615	0		360	774	1002	1416
tcga_cancer__STAD_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.2081	0		143	3125	1002	3984
tcga_cancer__STAD_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3468	0		1300	474	2242	1416
tcga_cancer__STAD_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.4023	0		456	2198	2242	3984
tcga_cancer__STAD_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.2691	0		271	2839	1416	3984
tcga_cancer__STAD_edgeR	tcga_cancer	hallmark	c2_kegg	0.2296	0		847	646	1292	1091
tcga_cancer__STAD_edgeR	tcga_cancer	hallmark	c2_reactome	0.2502	0		510	1834	1292	2616
tcga_cancer__STAD_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.2533	0		711	1002	1292	1583
tcga_cancer__STAD_edgeR	tcga_cancer	hallmark	c5_go_bp	0.2215	0		287	3246	1292	4251
tcga_cancer__STAD_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.3076	0		219	1744	1091	2616
tcga_cancer__STAD_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.3512	0		396	888	1091	1583
tcga_cancer__STAD_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.213	0		153	3313	1091	4251
tcga_cancer__STAD_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3528	0		1521	488	2616	1583
tcga_cancer__STAD_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.4396	0		519	2154	2616	4251
tcga_cancer__STAD_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.285	0		289	2957	1583	4251
tcga_cancer__STAD_limma	tcga_cancer	hallmark	c2_kegg	0.2147	0		852	648	1262	1058
tcga_cancer__STAD_limma	tcga_cancer	hallmark	c2_reactome	0.2496	0		486	1847	1262	2623
tcga_cancer__STAD_limma	tcga_cancer	hallmark	c2_wikipathways	0.2426	0		679	1141	1262	1724
tcga_cancer__STAD_limma	tcga_cancer	hallmark	c5_go_bp	0.2253	0		255	3208	1262	4215
tcga_cancer__STAD_limma	tcga_cancer	c2_kegg	c2_reactome	0.3184	0		169	1734	1058	2623
tcga_cancer__STAD_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3644	0		315	981	1058	1724
tcga_cancer__STAD_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2175	0		116	3273	1058	4215
tcga_cancer__STAD_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.3761	0		1435	536	2623	1724
tcga_cancer__STAD_limma	tcga_cancer	c2_reactome	c5_go_bp	0.4347	0		551	2143	2623	4215
tcga_cancer__STAD_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.3236	0		272	2763	1724	4215
tcga_cancer__THCA_DESeq2	tcga_cancer	hallmark	c2_kegg	0.1886	0		321	191	440	310
tcga_cancer__THCA_DESeq2	tcga_cancer	hallmark	c2_reactome	0.2407	0		258	316	440	498
tcga_cancer__THCA_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.1924	0		303	272	440	409
tcga_cancer__THCA_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.1849	0		116	1312	440	1636
tcga_cancer__THCA_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.2132	0		168	356	310	498
tcga_cancer__THCA_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.2614	0		161	260	310	409
tcga_cancer__THCA_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.1223	0		98	1424	310	1636
tcga_cancer__THCA_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.2093	0		341	252	498	409
tcga_cancer__THCA_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.2002	0		142	1280	498	1636
tcga_cancer__THCA_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.1659	0		118	1345	409	1636
tcga_cancer__THCA_edgeR	tcga_cancer	hallmark	c2_kegg	0.1729	0		443	370	613	540
tcga_cancer__THCA_edgeR	tcga_cancer	hallmark	c2_reactome	0.2443	0		302	660	613	971
tcga_cancer__THCA_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.2079	0		380	508	613	741
tcga_cancer__THCA_edgeR	tcga_cancer	hallmark	c5_go_bp	0.1917	0		142	1844	613	2315
tcga_cancer__THCA_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.2498	0		238	669	540	971
tcga_cancer__THCA_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.2683	0		269	470	540	741
tcga_cancer__THCA_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.1653	0		135	1910	540	2315
tcga_cancer__THCA_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.2911	0		585	355	971	741
tcga_cancer__THCA_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.3045	0		204	1548	971	2315
tcga_cancer__THCA_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2393	0		151	1725	741	2315
tcga_cancer__THCA_limma	tcga_cancer	hallmark	c2_kegg	0.1963	0		749	385	1026	662
tcga_cancer__THCA_limma	tcga_cancer	hallmark	c2_reactome	0.2734	0		422	1183	1026	1787
tcga_cancer__THCA_limma	tcga_cancer	hallmark	c2_wikipathways	0.2307	0		674	500	1026	852
tcga_cancer__THCA_limma	tcga_cancer	hallmark	c5_go_bp	0.2454	0		315	1871	1026	2582
tcga_cancer__THCA_limma	tcga_cancer	c2_kegg	c2_reactome	0.2533	0		167	1292	662	1787
tcga_cancer__THCA_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.2929	0		319	509	662	852
tcga_cancer__THCA_limma	tcga_cancer	c2_kegg	c5_go_bp	0.1665	0		199	2119	662	2582
tcga_cancer__THCA_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.2694	0		1227	292	1787	852
tcga_cancer__THCA_limma	tcga_cancer	c2_reactome	c5_go_bp	0.3765	0		592	1387	1787	2582
tcga_cancer__THCA_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.2415	0		184	1914	852	2582
tcga_cancer__UCEC_DESeq2	tcga_cancer	hallmark	c2_kegg	0.214	0		710	469	1031	790
tcga_cancer__UCEC_DESeq2	tcga_cancer	hallmark	c2_reactome	0.2472	0		342	1756	1031	2445
tcga_cancer__UCEC_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.254	0		560	823	1031	1294
tcga_cancer__UCEC_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.2062	0		211	2945	1031	3765
tcga_cancer__UCEC_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.2414	0		161	1816	790	2445
tcga_cancer__UCEC_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.3515	0		248	752	790	1294
tcga_cancer__UCEC_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.1807	0		93	3068	790	3765
tcga_cancer__UCEC_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3119	0		1556	405	2445	1294
tcga_cancer__UCEC_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.424	0		596	1916	2445	3765
tcga_cancer__UCEC_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.2581	0		256	2727	1294	3765
tcga_cancer__UCEC_edgeR	tcga_cancer	hallmark	c2_kegg	0.2027	0		752	511	1073	832
tcga_cancer__UCEC_edgeR	tcga_cancer	hallmark	c2_reactome	0.2365	0		330	2068	1073	2811
tcga_cancer__UCEC_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.237	0		600	923	1073	1396
tcga_cancer__UCEC_edgeR	tcga_cancer	hallmark	c5_go_bp	0.201	0		216	3191	1073	4048
tcga_cancer__UCEC_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.2362	0		136	2115	832	2811
tcga_cancer__UCEC_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.361	0		241	805	832	1396
tcga_cancer__UCEC_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.1728	0		113	3329	832	4048
tcga_cancer__UCEC_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3029	0		1833	418	2811	1396
tcga_cancer__UCEC_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.4304	0		747	1984	2811	4048
tcga_cancer__UCEC_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2672	0		248	2900	1396	4048
tcga_cancer__UCEC_limma	tcga_cancer	hallmark	c2_kegg	0.2106	0		689	533	1015	859
tcga_cancer__UCEC_limma	tcga_cancer	hallmark	c2_reactome	0.2326	0		340	1887	1015	2562
tcga_cancer__UCEC_limma	tcga_cancer	hallmark	c2_wikipathways	0.2333	0		572	884	1015	1327
tcga_cancer__UCEC_limma	tcga_cancer	hallmark	c5_go_bp	0.1889	0		229	3146	1015	3932
tcga_cancer__UCEC_limma	tcga_cancer	c2_kegg	c2_reactome	0.2619	0		149	1852	859	2562
tcga_cancer__UCEC_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3527	0		289	757	859	1327
