pathway_id	pathway_name	collection	subcollection	organism	gene_symbol	gene_ensembl	gene_entrez
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA1	ENSG00000165029	19
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA10	ENSG00000154263	10349
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA12	ENSG00000144452	26154
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA13	ENSG00000179869	154664
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA2	ENSG00000107331	20
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA3	ENSG00000167972	21
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA4	ENSG00000198691	24
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA5	ENSG00000154265	23461
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA6	ENSG00000154262	23460
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA7	ENSG00000064687	10347
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA8	ENSG00000141338	10351
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCA9	ENSG00000154258	10350
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCB1	ENSG00000085563	5243
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Homo sapiens	ABCB10	ENSG00000135776	23456
