pathway_id	pathway_name	collection	subcollection	organism	gene_symbol	gene_ensembl	gene_entrez
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abca1	ENSMUSG00000015243	11303
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abca2	ENSMUSG00000026944	11305
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abca3	ENSMUSG00000024130	27410
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abca4	ENSMUSG00000028125	11304
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abca5	ENSMUSG00000018800	217265
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abca6	ENSMUSG00000044749	76184
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abca8b	ENSMUSG00000020620	27404
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abca9	ENSMUSG00000041797	217262
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abcb1a	ENSMUSG00000040584	18671
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abcb11	ENSMUSG00000027048	27413
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abcb4	ENSMUSG00000042476	18670
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abcb6	ENSMUSG00000026198	74104
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abcb7	ENSMUSG00000031333	11306
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abcb8	ENSMUSG00000028973	74610
M11911	KEGG_ABC_TRANSPORTERS	C2	CP:KEGG_LEGACY	Mus musculus	Abcb9	ENSMUSG00000029408	56325
