pathway_id	pathway_name	collection	subcollection	organism	gene_symbol	gene_ensembl	gene_entrez
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Mus musculus	Banf1	ENSMUSG00000024844	23825
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Mus musculus	Hmga1	ENSMUSG00000046711	15361
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Mus musculus	Psip1	ENSMUSG00000028484	101739
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Mus musculus	Xrcc5	ENSMUSG00000026187	22596
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Mus musculus	Xrcc6	ENSMUSG00000022471	14375
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Mus musculus	Abcb1a	ENSMUSG00000040584	18671
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Mus musculus	Abcg2	ENSMUSG00000029802	26357
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Mus musculus	Pck1	ENSMUSG00000027513	18534
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Mus musculus	Slc22a1	ENSMUSG00000023829	20517
M27147	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	C2	CP:REACTOME	Mus musculus	Abcb1a	ENSMUSG00000040584	18671
M27147	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	C2	CP:REACTOME	Mus musculus	Abcg2	ENSMUSG00000029802	26357
M27147	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	C2	CP:REACTOME	Mus musculus	Slc22a1	ENSMUSG00000023829	20517
M758	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	C2	CP:REACTOME	Mus musculus	Abca2	ENSMUSG00000026944	11305
M758	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	C2	CP:REACTOME	Mus musculus	Abca3	ENSMUSG00000024130	27410
