pathway_id	pathway_name	collection	subcollection	organism	gene_symbol	gene_ensembl	gene_entrez
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	ARHGAP22	ENSG00000128805	58504
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	ATF2	ENSG00000115966	1386
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	BAZ1B	ENSG00000009954	9031
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	BCL2	ENSG00000171791	596
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	BMAL1	ENSG00000133794	406
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	BMP2	ENSG00000125845	650
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	BMPR1A	ENSG00000107779	657
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	BMPR1B	ENSG00000138696	658
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	C10orf53	ENSG00000178645	282966
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	C10orf71	ENSG00000177354	118461
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	CDH1	ENSG00000039068	999
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	CHAT	ENSG00000070748	1103
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	CLOCK	ENSG00000134852	9575
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	CUL5	ENSG00000166266	8065
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	DDX21	ENSG00000165732	9188
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	DEK	ENSG00000124795	7913
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	DLD	ENSG00000091140	1738
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	DLST	ENSG00000119689	1743
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	DRGX	ENSG00000165606	644168
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	EIF4ENIF1	ENSG00000184708	56478
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	ELK1	ENSG00000126767	2002
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	ELOA	ENSG00000011007	6924
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	ERCC5	ENSG00000134899	2073
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	ERCC6	ENSG00000225830	2074
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	ERCC8	ENSG00000049167	1161
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	FAM170B	ENSG00000172538	170370
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	FRMPD2	ENSG00000170324	143162
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	GDF5	ENSG00000125965	8200
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	HSF1	ENSG00000185122	3297
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	HSF4	ENSG00000102878	3299
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	ITCH	ENSG00000078747	83737
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	JUND	ENSG00000130522	3727
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	KDM4D	ENSG00000186280	55693
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	LRRC18	ENSG00000165383	474354
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	MAPK8	ENSG00000107643	5599
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	MEN1	ENSG00000133895	4221
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	MIR4294	ENSG00000264800	100422895
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	MYBBP1A	ENSG00000132382	10514
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	MYO1C	ENSG00000197879	4641
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	NEO1	ENSG00000067141	4756
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	NLRP3	ENSG00000162711	114548
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	NOG	ENSG00000183691	9241
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	OGDHL	ENSG00000197444	55753
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	PARG	ENSG00000227345	8505
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	PCNA	ENSG00000132646	5111
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	RGMB	ENSG00000174136	285704
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	RIF1	ENSG00000080345	55183
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	SF3B1	ENSG00000115524	23451
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	SIRT1	ENSG00000096717	23411
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	SIRT6	ENSG00000077463	51548
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	SLC18A3	ENSG00000187714	6572
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	SMAD1	ENSG00000170365	4086
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	SMAD5	ENSG00000113658	4090
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	SMAD9	ENSG00000120693	4093
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	SMARCA5	ENSG00000153147	8467
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	SMARCB1	ENSG00000099956	6598
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	SMARCC2	ENSG00000139613	6601
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	TMEM273	ENSG00000204161	170371
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Homo sapiens	UVSSA	ENSG00000163945	57654
