pathway_id	pathway_name	gene_entrez
R-MMU-1266738	Mus musculus: Developmental Biology	13505
R-MMU-1266738	Mus musculus: Developmental Biology	13506
R-MMU-1266738	Mus musculus: Developmental Biology	13507
R-MMU-1266738	Mus musculus: Developmental Biology	13508
R-MMU-1266738	Mus musculus: Developmental Biology	13636
R-MMU-1266738	Mus musculus: Developmental Biology	13637
R-MMU-1266738	Mus musculus: Developmental Biology	13638
R-MMU-1266738	Mus musculus: Developmental Biology	13639
R-MMU-1266738	Mus musculus: Developmental Biology	13640
R-MMU-1266738	Mus musculus: Developmental Biology	13641
R-MMU-1266738	Mus musculus: Developmental Biology	13642
R-MMU-1266738	Mus musculus: Developmental Biology	13643
R-MMU-1266738	Mus musculus: Developmental Biology	13649
R-MMU-1266738	Mus musculus: Developmental Biology	13706
R-MMU-1266738	Mus musculus: Developmental Biology	13722
R-MMU-1266738	Mus musculus: Developmental Biology	13800
R-MMU-1266738	Mus musculus: Developmental Biology	13835
R-MMU-1266738	Mus musculus: Developmental Biology	13836
R-MMU-1266738	Mus musculus: Developmental Biology	13838
R-MMU-1266738	Mus musculus: Developmental Biology	13841
R-MMU-1266738	Mus musculus: Developmental Biology	13842
R-MMU-1266738	Mus musculus: Developmental Biology	13844
R-MMU-1266738	Mus musculus: Developmental Biology	13845
R-MMU-1266738	Mus musculus: Developmental Biology	13846
R-MMU-1266738	Mus musculus: Developmental Biology	13848
R-MMU-1266738	Mus musculus: Developmental Biology	13866
R-MMU-1266738	Mus musculus: Developmental Biology	14026
R-MMU-1266738	Mus musculus: Developmental Biology	14027
R-MMU-1266738	Mus musculus: Developmental Biology	140571
R-MMU-1266738	Mus musculus: Developmental Biology	14083
R-MMU-1266738	Mus musculus: Developmental Biology	14159
R-MMU-1266738	Mus musculus: Developmental Biology	14182
R-MMU-1266738	Mus musculus: Developmental Biology	14360
R-MMU-1266738	Mus musculus: Developmental Biology	14388
R-MMU-1266738	Mus musculus: Developmental Biology	14432
