pathway_id	pathway_name	collection	subcollection	organism	gene_symbol	gene_ensembl	gene_entrez
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Bcl2	ENSMUSG00000057329	12043
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Bmp2	ENSMUSG00000027358	12156
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Bmpr1a	ENSMUSG00000021796	12166
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Bmpr1b	ENSMUSG00000052430	12167
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Cdh1	ENSMUSG00000000303	12550
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Cul5	ENSMUSG00000032030	75717
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Ddx21	ENSMUSG00000020075	56200
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Dek	ENSMUSG00000021377	110052
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Dld	ENSMUSG00000020664	13382
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Dlst	ENSMUSG00000004789	78920
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Eloa	ENSMUSG00000028668	27224
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Ercc5	ENSMUSG00000026048	22592
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Ercc8	ENSMUSG00000021694	71991
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Mapk8	ENSMUSG00000021936	26419
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Mybbp1a	ENSMUSG00000040463	18432
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Myo1c	ENSMUSG00000017774	17913
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Nlrp3	ENSMUSG00000032691	216799
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Nog	ENSMUSG00000048616	18121
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Pcna	ENSMUSG00000027342	18538
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Sirt1	ENSMUSG00000020063	93759
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Sirt6	ENSMUSG00000034748	50721
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Smad1	ENSMUSG00000031681	17125
M48077	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	Smad5	ENSMUSG00000021540	17129
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Actn2	ENSMUSG00000052374	11472
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Adam10	ENSMUSG00000054693	11487
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Afg3l2	ENSMUSG00000024527	69597
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Bmp2	ENSMUSG00000027358	12156
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Bmpr1a	ENSMUSG00000021796	12166
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Bub1b	ENSMUSG00000040084	12236
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Ccser2	ENSMUSG00000058690	72972
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Cebpa	ENSMUSG00000034957	12606
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Ghitm	ENSMUSG00000041028	66092
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Glud1	ENSMUSG00000021794	14661
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Ldb3	ENSMUSG00000021798	24131
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Nfkb1	ENSMUSG00000028163	18033
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Pds5b	ENSMUSG00000034021	100710
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Pparg	ENSMUSG00000000440	19016
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Rad21	ENSMUSG00000022314	19357
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Smc1a	ENSMUSG00000041133	24061
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Smc3	ENSMUSG00000024974	13006
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Sncg	ENSMUSG00000023064	20618
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Stag1	ENSMUSG00000037286	20842
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Tnfsf11	ENSMUSG00000022015	21943
M48102	WP_10Q22Q23_COPY_NUMBER_VARIATION	C2	CP:WIKIPATHWAYS	Mus musculus	Vegfa	ENSMUSG00000023951	22339
M48075	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	C2	CP:WIKIPATHWAYS	Mus musculus	B4galt4	ENSMUSG00000022793	56375
