pathway_id	pathway_name	gene_entrez
R-HSA-109582	Homo sapiens: Hemostasis	1
R-HSA-109582	Homo sapiens: Hemostasis	10019
R-HSA-109582	Homo sapiens: Hemostasis	10112
R-HSA-109582	Homo sapiens: Hemostasis	10125
R-HSA-109582	Homo sapiens: Hemostasis	10125
R-HSA-109582	Homo sapiens: Hemostasis	1017
R-HSA-109582	Homo sapiens: Hemostasis	10184
R-HSA-109582	Homo sapiens: Hemostasis	1020
R-HSA-109582	Homo sapiens: Hemostasis	10235
R-HSA-109582	Homo sapiens: Hemostasis	10235
R-HSA-109582	Homo sapiens: Hemostasis	10242
R-HSA-109582	Homo sapiens: Hemostasis	10257
R-HSA-109582	Homo sapiens: Hemostasis	10335
R-HSA-109582	Homo sapiens: Hemostasis	10362
R-HSA-109582	Homo sapiens: Hemostasis	10376
R-HSA-109582	Homo sapiens: Hemostasis	10381
R-HSA-109582	Homo sapiens: Hemostasis	10382
R-HSA-109582	Homo sapiens: Hemostasis	10383
R-HSA-109582	Homo sapiens: Hemostasis	10411
R-HSA-109582	Homo sapiens: Hemostasis	10447
R-HSA-109582	Homo sapiens: Hemostasis	10451
R-HSA-109582	Homo sapiens: Hemostasis	10451
R-HSA-109582	Homo sapiens: Hemostasis	10461
R-HSA-109582	Homo sapiens: Hemostasis	1048
R-HSA-109582	Homo sapiens: Hemostasis	10487
R-HSA-109582	Homo sapiens: Hemostasis	10490
R-HSA-109582	Homo sapiens: Hemostasis	10544
R-HSA-109582	Homo sapiens: Hemostasis	10603
R-HSA-109582	Homo sapiens: Hemostasis	1062
R-HSA-109582	Homo sapiens: Hemostasis	10630
R-HSA-109582	Homo sapiens: Hemostasis	10672
R-HSA-109582	Homo sapiens: Hemostasis	10672
R-HSA-109582	Homo sapiens: Hemostasis	10681
R-HSA-109582	Homo sapiens: Hemostasis	10681
R-HSA-109582	Homo sapiens: Hemostasis	1072
R-HSA-109582	Homo sapiens: Hemostasis	10749
R-HSA-109582	Homo sapiens: Hemostasis	1084
R-HSA-109582	Homo sapiens: Hemostasis	10846
R-HSA-109582	Homo sapiens: Hemostasis	1088
R-HSA-109582	Homo sapiens: Hemostasis	10916
R-HSA-109582	Homo sapiens: Hemostasis	10938
R-HSA-109582	Homo sapiens: Hemostasis	11004
R-HSA-109582	Homo sapiens: Hemostasis	11069
R-HSA-109582	Homo sapiens: Hemostasis	11093
R-HSA-109582	Homo sapiens: Hemostasis	11127
R-HSA-109582	Homo sapiens: Hemostasis	11127
R-HSA-109582	Homo sapiens: Hemostasis	11136
R-HSA-109582	Homo sapiens: Hemostasis	11216
R-HSA-109582	Homo sapiens: Hemostasis	112714
R-HSA-109582	Homo sapiens: Hemostasis	11311
R-HSA-109582	Homo sapiens: Hemostasis	113220
R-HSA-109582	Homo sapiens: Hemostasis	11343
R-HSA-109582	Homo sapiens: Hemostasis	113457
R-HSA-109582	Homo sapiens: Hemostasis	1191
R-HSA-109582	Homo sapiens: Hemostasis	12
R-HSA-109582	Homo sapiens: Hemostasis	120425
R-HSA-109582	Homo sapiens: Hemostasis	124602
R-HSA-109582	Homo sapiens: Hemostasis	126961
R-HSA-109582	Homo sapiens: Hemostasis	1277
R-HSA-109582	Homo sapiens: Hemostasis	1277
R-HSA-109582	Homo sapiens: Hemostasis	1278
R-HSA-109582	Homo sapiens: Hemostasis	1278
R-HSA-109582	Homo sapiens: Hemostasis	135228
R-HSA-109582	Homo sapiens: Hemostasis	139189
R-HSA-109582	Homo sapiens: Hemostasis	139322
R-HSA-109582	Homo sapiens: Hemostasis	1398
R-HSA-109582	Homo sapiens: Hemostasis	139818
