dataset_id	tool_a	tool_b	n_common_genes_buggy	n_common_genes_fixed	rho_gene_total_buggy	rho_gene_total_fixed	rho_cell_total_umi_buggy	rho_cell_total_umi_fixed	log2_median_buggy	log2_median_fixed	pct_A_higher_buggy	pct_A_higher_fixed	det_rate_A_buggy	det_rate_A_fixed	det_rate_B_buggy	det_rate_B_fixed
10x_pbmc_1k_v3	star_default	star_cr_mimic	63241	63241	0.987002097177162	0.987002097177162	0.9392360556247888	0.9392360556247888	0.0	0.0	0.0412865071709808	0.0412865071709808	0.395550354991224	0.395550354991224	0.3900475957053178	0.3900475957053178
10x_pbmc_1k_v3	star_default	alevin_fry	63241	63241	0.5196538155042978	0.9447637367356324	0.8712111974363769	0.8712111974363769	0.0	0.0	0.3864739646748154	0.1374582944608719	0.395550354991224	0.395550354991224	0.2728240645572756	0.3926724751348018
10x_pbmc_1k_v3	star_default	kb_count	63241	63241	0.9491410570497452	0.9491410570497452	0.9326614699137794	0.9326614699137794	0.0	0.0	0.0525608386964153	0.0525608386964153	0.395550354991224	0.395550354991224	0.4195379579703041	0.4195379579703041
10x_pbmc_1k_v3	star_cr_mimic	alevin_fry	63241	63241	0.5241347462950497	0.952302948985168	0.8617335843126313	0.8617335843126313	0.0	0.0	0.3818408943565092	0.1760882971490014	0.3900475957053178	0.3900475957053178	0.2728240645572756	0.3926724751348018
10x_pbmc_1k_v3	star_cr_mimic	kb_count	63241	63241	0.9499736845197432	0.9499736845197432	0.9650478809324924	0.9650478809324924	0.0	0.0	0.0688951787606141	0.0688951787606141	0.3900475957053178	0.3900475957053178	0.4195379579703041	0.4195379579703041
10x_pbmc_1k_v3	alevin_fry	kb_count	189723	63241	0.517208270304955	0.9487483796461116	0.8952471234553747	0.8952471234553747	0.0	0.0	0.0035578185038187	0.0489555826125456	0.2728240645572756	0.3926724751348018	0.4195379579703041	0.4195379579703041
