dataset_id	chemistry	species	tissue_class	tool_a	tool_b	category	n	fold_into_other	log2_median	log2_p05	log2_p95	log2_iqr	pct_A_higher	pct_B_higher
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_default	alevin_fry	pseudogene	15222	False	0.0	-1.0	1.584962500721156	0.0	0.18249901458415452	0.175075548548154
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_default	alevin_fry	overlapping	33160	False	0.0	-1.0	0.22239242133644804	0.02345897282398891	0.23489143546441496	0.3810313630880579
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_default	alevin_fry	other	14822	False	0.0	-1.0	0.07648283798740267	0.03561414609026591	0.13756578059641075	0.40223991364188366
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_default	kb_count	mitochondrial	37	True						
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_default	kb_count	pseudogene	15222	False	0.0	-1.8562193111600447	1.0	0.0	0.1277098935750887	0.23597424779923795
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_default	kb_count	overlapping	33160	False	0.0	-1.0	0.11547721741993587	0.04934874050051186	0.1310012062726176	0.4914354644149578
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_default	kb_count	other	14822	False	0.0	-1.0	0.070389327891398	0.03457380659961106	0.09587100256375658	0.41836459317231145
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_cr_mimic	alevin_fry	mitochondrial	37	True						
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_cr_mimic	alevin_fry	pseudogene	15222	False	0.0	-1.070389327891398	1.222392421336448	0.0	0.1757981868348443	0.17060833004861384
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_cr_mimic	alevin_fry	overlapping	33160	False	0.0	-0.7369655941662062	0.2630344058337938	0.03159312469531666	0.4336248492159228	0.1787092882991556
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_cr_mimic	alevin_fry	other	14822	False	0.0	-1.0	0.13121486470131058	0.015266060418291056	0.30873026582107677	0.22803940089056807
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_cr_mimic	kb_count	mitochondrial	37	True						
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_cr_mimic	kb_count	pseudogene	15222	False	0.0	-2.0	1.0	0.0	0.12317698068584942	0.23341216660097228
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_cr_mimic	kb_count	overlapping	33160	False	0.0	-0.84799690655495	0.16992500144231235	0.017102057224963833	0.32973462002412546	0.28262967430639324
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	star_cr_mimic	kb_count	other	14822	False	0.0	-1.0	0.12149859257275178	0.00507285042797534	0.28032654162731074	0.22176494400215896
gse287209_human_lung_organoid	3p_v3	human	non-PBMC	alevin_fry	kb_count	mitochondrial	37	True						
