dataset_id	short	tissue	pair	jaccard	n_intersection	n_union	n_method_a_only	n_method_b_only	more_permissive
34f5307e-7b4d-4a48-b68f-2ba844c6414b	liver	liver	C2_vs_MAD5	0.9276	44042	47479	2247	1190	C2
34f5307e-7b4d-4a48-b68f-2ba844c6414b	liver	liver	C1_vs_C2	0.9641	44627	46289	0	1662	C2
34f5307e-7b4d-4a48-b68f-2ba844c6414b	liver	liver	MAD3_vs_MAD5	0.9057	40965	45232	0	4267	MAD5
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	blood	C1_vs_MAD3	0.9185	44538	48491	0	3953	MAD3
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	blood	C1_vs_MAD5	0.8927	44538	49890	0	5352	MAD5
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	blood	C2_vs_MAD3	0.9597	47008	48981	490	1483	MAD3
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	blood	C2_vs_MAD5	0.949	47421	49967	77	2469	MAD5
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	blood	C1_vs_C2	0.9377	44538	47498	0	2960	C2
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	blood	MAD3_vs_MAD5	0.972	48491	49890	0	1399	MAD5
89840cec-5734-455d-b68e-34d27650e148	lung	lung	C1_vs_MAD3	0.9394	44308	47164	868	1988	MAD3
89840cec-5734-455d-b68e-34d27650e148	lung	lung	C1_vs_MAD5	0.9242	45176	48883	0	3707	MAD5
89840cec-5734-455d-b68e-34d27650e148	lung	lung	C2_vs_MAD3	0.9747	46296	47500	1204	0	C2
89840cec-5734-455d-b68e-34d27650e148	lung	lung	C2_vs_MAD5	0.9717	47500	48883	0	1383	MAD5
89840cec-5734-455d-b68e-34d27650e148	lung	lung	C1_vs_C2	0.9511	45176	47500	0	2324	C2
89840cec-5734-455d-b68e-34d27650e148	lung	lung	MAD3_vs_MAD5	0.9471	46296	48883	0	2587	MAD5
a37f857c-779f-464e-9310-3db43a1811e7	small_intestine	small intestine	C1_vs_MAD3	0.9099	44799	49234	0	4435	MAD3
a37f857c-779f-464e-9310-3db43a1811e7	small_intestine	small intestine	C1_vs_MAD5	0.896	44799	50000	0	5201	MAD5
a37f857c-779f-464e-9310-3db43a1811e7	small_intestine	small intestine	C2_vs_MAD3	0.786	38700	49234	0	10534	MAD3
