short	tissue	pair	concentration_category	n_cells
bone_marrow	bone marrow	MAD3_vs_MAD5	low_genes	417
bone_marrow	bone marrow	MAD3_vs_MAD5	low_counts	89
bone_marrow	bone marrow	MAD3_vs_MAD5	high_mito	0
bone_marrow	bone marrow	MAD3_vs_MAD5	multiple	89
bone_marrow	bone marrow	MAD3_vs_MAD5	none_of_3	0
liver	liver	C1_vs_MAD3	low_genes	1936
liver	liver	C1_vs_MAD3	low_counts	2136
liver	liver	C1_vs_MAD3	high_mito	0
liver	liver	C1_vs_MAD3	multiple	1602
liver	liver	C1_vs_MAD3	none_of_3	6132
liver	liver	C1_vs_MAD5	low_genes	2262
liver	liver	C1_vs_MAD5	low_counts	2355
liver	liver	C1_vs_MAD5	high_mito	0
liver	liver	C1_vs_MAD5	multiple	1815
liver	liver	C1_vs_MAD5	none_of_3	2197
liver	liver	C2_vs_MAD3	low_genes	1232
liver	liver	C2_vs_MAD3	low_counts	1141
liver	liver	C2_vs_MAD3	high_mito	0
liver	liver	C2_vs_MAD3	multiple	1133
liver	liver	C2_vs_MAD3	none_of_3	6132
liver	liver	C2_vs_MAD5	low_genes	1238
liver	liver	C2_vs_MAD5	low_counts	1186
liver	liver	C2_vs_MAD5	high_mito	0
liver	liver	C2_vs_MAD5	multiple	1184
liver	liver	C2_vs_MAD5	none_of_3	2197
liver	liver	C1_vs_C2	low_genes	1120
liver	liver	C1_vs_C2	low_counts	1229
liver	liver	C1_vs_C2	high_mito	0
liver	liver	C1_vs_C2	multiple	687
liver	liver	C1_vs_C2	none_of_3	0
liver	liver	MAD3_vs_MAD5	low_genes	326
liver	liver	MAD3_vs_MAD5	low_counts	219
liver	liver	MAD3_vs_MAD5	high_mito	0
liver	liver	MAD3_vs_MAD5	multiple	213
liver	liver	MAD3_vs_MAD5	none_of_3	3935
blood	blood	C1_vs_MAD3	low_genes	1804
blood	blood	C1_vs_MAD3	low_counts	1772
blood	blood	C1_vs_MAD3	high_mito	1483
blood	blood	C1_vs_MAD3	multiple	1056
blood	blood	C1_vs_MAD3	none_of_3	0
blood	blood	C1_vs_MAD5	low_genes	2384
blood	blood	C1_vs_MAD5	low_counts	2390
blood	blood	C1_vs_MAD5	high_mito	2469
blood	blood	C1_vs_MAD5	multiple	1688
blood	blood	C1_vs_MAD5	none_of_3	0
blood	blood	C2_vs_MAD3	low_genes	552
blood	blood	C2_vs_MAD3	low_counts	592
blood	blood	C2_vs_MAD3	high_mito	1483
blood	blood	C2_vs_MAD3	multiple	604
blood	blood	C2_vs_MAD3	none_of_3	0
blood	blood	C2_vs_MAD5	low_genes	308
blood	blood	C2_vs_MAD5	low_counts	396
blood	blood	C2_vs_MAD5	high_mito	2469
blood	blood	C2_vs_MAD5	multiple	424
blood	blood	C2_vs_MAD5	none_of_3	0
blood	blood	C1_vs_C2	low_genes	2230
blood	blood	C1_vs_C2	low_counts	2144
blood	blood	C1_vs_C2	high_mito	0
blood	blood	C1_vs_C2	multiple	1414
blood	blood	C1_vs_C2	none_of_3	0
blood	blood	MAD3_vs_MAD5	low_genes	580
blood	blood	MAD3_vs_MAD5	low_counts	618
blood	blood	MAD3_vs_MAD5	high_mito	986
blood	blood	MAD3_vs_MAD5	multiple	632
blood	blood	MAD3_vs_MAD5	none_of_3	0
lung	lung	C1_vs_MAD3	low_genes	1620
lung	lung	C1_vs_MAD3	low_counts	1729
lung	lung	C1_vs_MAD3	high_mito	0
lung	lung	C1_vs_MAD3	multiple	1361
lung	lung	C1_vs_MAD3	none_of_3	868
lung	lung	C1_vs_MAD5	low_genes	2203
lung	lung	C1_vs_MAD5	low_counts	2256
lung	lung	C1_vs_MAD5	high_mito	1383
lung	lung	C1_vs_MAD5	multiple	1923
lung	lung	C1_vs_MAD5	none_of_3	0
lung	lung	C2_vs_MAD3	low_genes	316
lung	lung	C2_vs_MAD3	low_counts	291
lung	lung	C2_vs_MAD3	high_mito	0
lung	lung	C2_vs_MAD3	multiple	271
lung	lung	C2_vs_MAD3	none_of_3	868
lung	lung	C2_vs_MAD5	low_genes	267
lung	lung	C2_vs_MAD5	low_counts	236
lung	lung	C2_vs_MAD5	high_mito	1383
lung	lung	C2_vs_MAD5	multiple	291
lung	lung	C2_vs_MAD5	none_of_3	0
lung	lung	C1_vs_C2	low_genes	1936
lung	lung	C1_vs_C2	low_counts	2020
lung	lung	C1_vs_C2	high_mito	0
lung	lung	C1_vs_C2	multiple	1632
lung	lung	C1_vs_C2	none_of_3	0
lung	lung	MAD3_vs_MAD5	low_genes	583
lung	lung	MAD3_vs_MAD5	low_counts	527
lung	lung	MAD3_vs_MAD5	high_mito	1383
lung	lung	MAD3_vs_MAD5	multiple	562
lung	lung	MAD3_vs_MAD5	none_of_3	868
small_intestine	small intestine	C1_vs_MAD3	low_genes	2359
small_intestine	small intestine	C1_vs_MAD3	low_counts	2414
small_intestine	small intestine	C1_vs_MAD3	high_mito	1734
small_intestine	small intestine	C1_vs_MAD3	multiple	1931
small_intestine	small intestine	C1_vs_MAD3	none_of_3	0
small_intestine	small intestine	C1_vs_MAD5	low_genes	2454
small_intestine	small intestine	C1_vs_MAD5	low_counts	2493
small_intestine	small intestine	C1_vs_MAD5	high_mito	2500
small_intestine	small intestine	C1_vs_MAD5	multiple	2032
small_intestine	small intestine	C1_vs_MAD5	none_of_3	0
small_intestine	small intestine	C2_vs_MAD3	low_genes	2359
