	n_genes_by_counts	total_counts	pct_counts_mt	doublet_class	doublet_score	celltypist_label	leiden_r1.0	leiden_r0.5	leiden_r1.5
105595783	1477	4155.0	1.5162455	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	0
105595800	1989	6043.0	3.1441338	doublet	0.999826371669769	Tem/Effector helper T cells	0	0	1
105595811	1467	4015.0	3.7608967	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	1
105595833	1547	4282.0	2.732368	singlet	2.10787438845728e-05	Tcm/Naive helper T cells	0	0	1
105595917	1971	6177.0	2.1045816	singlet	0.000102982739917934	Tem/Effector helper T cells	0	0	1
105595955	1548	5440.0	2.1875	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	0
105596027	1478	5008.0	2.5559106	singlet	6.47961642243899e-05	Tem/Effector helper T cells	0	0	1
105596136	1688	5657.0	2.6869366	doublet	0.996967136859894	Tem/Effector helper T cells	0	0	0
105596138	1797	5669.0	2.4519315	doublet	0.996277272701263	Tem/Effector helper T cells	0	0	0
105596237	1269	3771.0	3.2617342	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	0
105596318	2030	6425.0	3.6420233	doublet	0.999959230422974	MAIT cells	5	2	7
105596380	1398	4734.0	2.936206	singlet	2.10787438845728e-05	Tem/Trm cytotoxic T cells	0	0	0
105596388	1454	4664.0	4.1380787	singlet	3.45727748936042e-05	Tem/Effector helper T cells	0	0	0
105596436	1690	5166.0	2.710027	singlet	0.000101974939752836	Tcm/Naive helper T cells	0	0	1
105596477	1146	4224.0	1.8465909	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	0
105596491	1652	4421.0	2.1714544	singlet	2.10787438845728e-05	MAIT cells	0	0	1
105596520	1274	2620.0	2.9770992	singlet	2.10787438845728e-05	Classical monocytes	6	3	8
105596541	2344	6181.0	1.2619318	singlet	2.6723624614533e-05	Classical monocytes	6	3	8
105596596	2665	7989.0	3.980473	singlet	2.6723624614533e-05	Classical monocytes	6	3	8
105596606	1619	4110.0	6.082725	singlet	2.10787438845728e-05	Classical monocytes	6	3	8
105596619	2748	8060.0	2.5310173	singlet	2.6723624614533e-05	Classical monocytes	6	3	8
105596685	1963	5628.0	2.5230987	singlet	2.6723624614533e-05	Classical monocytes	6	3	8
105596721	1792	5069.0	4.872756	singlet	2.6723624614533e-05	MAIT cells	5	2	10
105596726	1664	4251.0	3.646201	singlet	2.10787438845728e-05	MAIT cells	5	2	10
105596735	943	2385.0	5.115304	singlet	2.10787438845728e-05	MAIT cells	5	2	7
105596756	1396	4155.0	3.6341758	singlet	2.10787438845728e-05	MAIT cells	5	2	7
105596811	1798	6548.0	4.5815516	singlet	4.38311944890302e-05	MAIT cells	5	2	7
105596875	2056	7236.0	0.76008844	doublet	0.99817168712616	Tem/Effector helper T cells	0	0	0
105596895	2481	8373.0	2.1139376	doublet	0.999959230422974	Tem/Effector helper T cells	0	0	1
105596918	1872	5734.0	1.6916639	doublet	0.99760627746582	Tem/Effector helper T cells	0	0	1
105596989	1765	6297.0	2.5726535	singlet	4.46744270448107e-05	Tem/Effector helper T cells	0	0	0
105596993	2139	7827.0	1.3542864	doublet	0.998533487319946	Tem/Effector helper T cells	0	0	0
105597002	1951	6369.0	2.3237557	singlet	2.6723624614533e-05	Tcm/Naive helper T cells	0	0	1
105597060	1564	5524.0	2.172339	singlet	2.96872658509528e-05	Tem/Effector helper T cells	0	0	0
105597072	1654	5379.0	1.0224949	singlet	7.51858751755208e-05	Tem/Effector helper T cells	0	0	0
105597093	1745	5664.0	2.507062	singlet	9.20986058190465e-05	Tem/Effector helper T cells	0	0	0
105597155	1646	5333.0	2.0438778	singlet	0.000187319557880983	Tem/Effector helper T cells	0	0	0
105597176	1489	4542.0	3.6107442	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	0
105597202	1964	6834.0	1.609599	singlet	0.000128427796880715	Tcm/Naive helper T cells	0	0	1
105597259	1716	5923.0	2.4987338	singlet	3.45727748936042e-05	Tem/Effector helper T cells	0	0	0
105597275	2028	7548.0	1.3778484	doublet	0.999882221221924	Tcm/Naive helper T cells	0	0	1
105597295	2081	7465.0	1.1922305	doublet	0.99760627746582	Tcm/Naive helper T cells	0	0	1
105597375	1514	4429.0	3.0029352	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	0
105597427	1504	4964.0	2.9613216	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	0
105597478	2005	7011.0	2.3819711	singlet	2.6723624614533e-05	Tem/Effector helper T cells	0	0	0
105597517	1957	6643.0	2.4988708	singlet	2.6723624614533e-05	Tem/Effector helper T cells	0	0	1
105597532	1642	5196.0	2.9638183	doublet	0.930145442485809	Tem/Effector helper T cells	0	0	1
105597533	1684	5805.0	1.6020672	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	0
105597554	1696	6467.0	1.6236278	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	0
105597594	1673	6665.0	2.6256566	singlet	2.10787438845728e-05	Tem/Effector helper T cells	0	0	0
