	n_genes_by_counts	total_counts	pct_counts_mt	doublet_class	doublet_score	celltypist_label	leiden_r1.0	leiden_r0.5	leiden_r1.5
17203266	2266	10414.0	7.3458805	doublet	0.999380230903625	Activated CD4 T	0	0	0
17203267	2305	8457.0	8.620078	doublet	0.999998927116394	Activated CD4 T	2	0	3
17203268	1847	7856.0	13.314665	doublet	0.99990975856781	Activated CD4 T	0	0	0
17203269	2296	7795.0	13.688262	doublet	0.999553382396698	NK T cell	5	4	9
17203275	1638	6999.0	6.800972	doublet	0.999998569488525	Activated CD4 T	0	0	0
17203277	1579	6948.0	7.095567	doublet	0.997990608215332	SELL+ CD4 T	2	0	3
17203284	1608	6715.0	12.509307	doublet	0.999999284744263	Activated CD4 T	0	0	0
17203292	1460	6338.0	6.358473	singlet	0.00232859421521425	Activated CD4 T	0	0	0
17203301	1889	6001.0	11.78137	singlet	0.231877669692039	ILC3	7	3	7
17203308	1701	5862.0	7.1989083	doublet	0.999990224838257	Activated CD4 T	0	0	0
17203311	1905	5817.0	8.629878	doublet	0.999995350837708	Activated CD4 T	0	0	1
17203312	1580	5826.0	11.56883	doublet	0.999998807907104	Activated CD8 T	0	0	0
17203313	1529	5810.0	6.6265063	doublet	0.999961853027344	Activated CD4 T	0	0	0
17203314	1387	5795.0	9.853322	doublet	0.989411890506744	SELL+ CD4 T	2	0	3
17203318	1894	5676.0	5.813954	doublet	0.999994993209839	CD8 Tmem	0	0	0
17203319	1888	5657.0	6.9648223	doublet	0.831205904483795	CD8 Tmem	0	0	0
17203324	1555	5531.0	6.002531	doublet	0.72978150844574	Activated CD4 T	0	0	0
17203328	1826	5355.0	10.588236	doublet	0.999970197677612	Treg	2	0	3
17203329	1156	5360.0	12.910448	singlet	0.040917381644249	SELL+ CD4 T	2	0	3
17203332	1445	5288.0	6.6944027	singlet	0.113651476800442	Activated CD4 T	0	0	0
17203333	1549	5291.0	10.18711	doublet	0.999996185302734	Treg	2	0	3
17203336	1612	5072.0	15.141956	doublet	0.999961137771606	Activated CD4 T	4	0	4
17203338	1558	5089.0	10.001965	doublet	0.999091625213623	Treg	2	0	3
17203339	1426	5060.0	8.517787	doublet	0.999999642372131	Activated CD8 T	0	0	0
17203344	1682	4971.0	9.736471	doublet	0.999997615814209	Activated CD4 T	0	0	0
17203346	1406	4916.0	16.029293	singlet	0.00315240840427577	Activated CD4 T	0	0	0
17203347	1363	4941.0	7.0228696	singlet	0.314209789037704	Activated CD4 T	0	0	0
17203352	1598	4772.0	14.878458	doublet	0.370092570781708	CD8 Tmem	4	0	4
17203356	1448	4793.0	16.941374	singlet	0.00693159364163876	Treg	2	0	3
17203358	1561	4809.0	8.816802	doublet	0.999928951263428	Treg	2	0	3
17203361	1313	4678.0	11.436512	doublet	0.970342934131622	Activated CD4 T	0	0	0
17203366	1391	4695.0	8.903089	doublet	0.999988794326782	Activated CD4 T	0	0	0
17203367	1583	4624.0	7.4826994	doublet	0.989212512969971	Activated CD4 T	0	0	0
17203370	1491	4559.0	13.292389	doublet	0.912776350975037	NK cell	5	4	7
17203373	1308	4646.0	9.233749	doublet	0.999906778335571	Activated CD4 T	0	0	0
