	n_genes_by_counts	total_counts	pct_counts_mt	doublet_class	doublet_score	celltypist_label	leiden_r1.0	leiden_r0.5	leiden_r1.5
17245962	1553	4276.0	7.6005616	doublet	0.891427636146545	NK T cell	3	3	5
17245967	1340	4314.0	8.73899	doublet	0.99430650472641	Activated CD8 T	6	1	7
17245973	1530	4246.0	8.478568	doublet	0.99971467256546	Activated CD8 T	6	1	7
17245977	1441	4180.0	5.478469	doublet	0.569384634494781	Activated CD8 T	6	1	7
17245982	1388	4263.0	7.342247	singlet	0.000798670167569071	Th17	6	1	7
17245989	1306	4217.0	5.7861037	singlet	0.00203811377286911	Activated CD8 T	6	1	7
17245991	1656	4198.0	4.311577	doublet	0.987100958824158	Th17	6	1	10
17245992	1307	4210.0	3.6817102	singlet	1.32205659610918e-05	Activated CD8 T	6	1	7
17246001	1476	4114.0	6.2469616	doublet	0.999916672706604	Activated CD8 T	6	1	7
17246004	1365	4147.0	4.1234627	doublet	0.894971370697021	Activated CD8 T	6	1	7
17246008	1345	4126.0	4.3868155	doublet	0.780465126037598	Activated CD8 T	6	1	7
17246009	1391	4128.0	3.7306201	singlet	0.00139117322396487	Activated CD8 T	6	1	7
17246014	1574	4055.0	4.6362514	singlet	0.198349639773369	NK T cell	3	3	5
17246016	1345	4089.0	4.622157	singlet	0.00073451129719615	Activated CD8 T	6	1	7
17246021	1316	4062.0	4.135894	singlet	0.0478282533586025	Activated CD8 T	6	1	7
17246028	1241	4054.0	3.0587075	singlet	0.0284372642636299	Activated CD8 T	6	1	7
17246030	1410	4039.0	6.338202	singlet	0.270188122987747	Activated CD8 T	6	1	7
17246052	1187	3897.0	13.831152	singlet	0.000291764794383198	NK T cell	3	3	5
17246059	1250	3847.0	4.0551076	doublet	0.341526329517365	Activated CD8 T	6	1	7
17246065	1413	3774.0	4.9284577	singlet	0.193762123584747	Activated CD8 T	6	1	7
17246070	1363	3777.0	5.0304475	singlet	0.121349476277828	Activated CD8 T	6	1	7
17246074	1273	3802.0	4.4450293	singlet	3.65507585229352e-05	Th17	6	1	7
17246076	1344	3816.0	6.2368975	doublet	0.990027487277985	Activated CD8 T	6	1	7
17246085	1232	3748.0	4.8025618	doublet	0.795563817024231	Activated CD8 T	6	1	7
17246086	1243	3788.0	3.9598732	singlet	5.09764831804205e-05	Activated CD8 T	6	1	7
17246092	1217	3764.0	5.074389	singlet	0.000178428264916874	Activated CD8 T	6	1	7
17246096	1346	3706.0	7.6362653	doublet	0.897225797176361	NK T cell	3	3	5
17246097	1211	3780.0	5.05291	doublet	0.823550403118134	Th17	6	1	7
17246101	1139	3727.0	5.4735713	singlet	0.00248704431578517	Activated CD8 T	6	1	7
17246102	1380	3729.0	4.1297936	singlet	0.242032691836357	Activated CD8 T	6	1	7
17246103	1230	3722.0	2.7941966	singlet	2.02731407625834e-05	Th17	6	1	7
17246104	1172	3678.0	4.7852097	singlet	0.000168836180819198	Th17	6	1	7
17246112	1250	3671.0	9.561428	singlet	0.0319549031555653	Activated CD8 T	6	1	7
17246120	1307	3641.0	4.861302	singlet	0.0185030903667212	Activated CD8 T	6	1	7
17246122	1540	3648.0	5.729167	singlet	0.0283537078648806	Th17	6	1	7
17246125	1367	3665.0	6.27558	singlet	0.112631566822529	Th17	6	1	7
17246134	1250	3598.0	8.03224	doublet	0.871146976947784	Activated CD8 T	6	1	7
17246143	1295	3597.0	5.4211845	singlet	6.35816468275152e-05	Th17	6	1	7
17246148	1292	3590.0	6.935933	singlet	0.150995567440987	Activated CD8 T	6	1	7
17246149	1112	3549.0	10.848126	doublet	0.951146841049194	Activated CD8 T	6	1	7
17246152	1299	3562.0	4.9691186	singlet	0.000546065100934356	Th17	6	1	7
17246153	1320	3544.0	7.9006767	singlet	0.11424245685339	NK cell	3	3	8
17246157	1319	3552.0	3.5472975	singlet	3.12887095788028e-05	Th17	6	1	7
17246158	1187	3561.0	12.440326	singlet	0.0512496791779995	Th17	6	1	7
17246159	1205	3522.0	5.0823393	singlet	0.00024405334261246	Activated CD8 T	6	1	7
17246164	1189	3491.0	4.8410196	singlet	0.133274406194687	Th17	6	1	7
17246165	1458	3500.0	1.0857142	singlet	0.00742665026336908	NK T cell	3	3	5
17246170	1227	3480.0	15.000001	singlet	0.00344321154989302	Activated CD8 T	6	1	7
17246176	1287	3446.0	3.7724898	singlet	0.13896481692791	Activated CD8 T	6	1	7
