file_path	file_size_gb	mtime	parent_dir	likely_dataset_id	chemistry_hint	species_hint	appears_complete	md5_available	category	disposition	reason
/home/ross/R/x86_64-pc-linux-gnu-library/4.5/Rsamtools/unitTests/cases/RNEXT.bam	0.0	2026-05-02	/home/ross/R/x86_64-pc-linux-gnu-library/4.5/Rsamtools/unitTests/cases				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/R/x86_64-pc-linux-gnu-library/4.5/Rsamtools/unitTests/cases/ex1_noindex.bam	0.0001	2026-05-02	/home/ross/R/x86_64-pc-linux-gnu-library/4.5/Rsamtools/unitTests/cases				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/R/x86_64-pc-linux-gnu-library/4.5/Rsamtools/unitTests/cases/ex1_shuf1000.bam	0.0	2026-05-02	/home/ross/R/x86_64-pc-linux-gnu-library/4.5/Rsamtools/unitTests/cases				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/R/x86_64-pc-linux-gnu-library/4.5/Rsamtools/unitTests/cases/ex1_unsort.bam	0.0002	2026-05-02	/home/ross/R/x86_64-pc-linux-gnu-library/4.5/Rsamtools/unitTests/cases				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/R/x86_64-pc-linux-gnu-library/4.5/Rsamtools/unitTests/cases/plp_refskip.bam	0.0	2026-05-02	/home/ross/R/x86_64-pc-linux-gnu-library/4.5/Rsamtools/unitTests/cases				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/miniforge3/envs/bio-linux/share/spades/test_dataset/ecoli_1K_1.fq.gz	0.0001	2025-05-06	/home/ross/miniforge3/envs/bio-linux/share/spades/test_dataset				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/miniforge3/envs/bio-linux/share/spades/test_dataset/ecoli_1K_2.fq.gz	0.0001	2025-05-06	/home/ross/miniforge3/envs/bio-linux/share/spades/test_dataset				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/miniforge3/envs/bio-linux/share/spades/test_dataset_plasmid/pl1.fq.gz	0.0001	2025-05-06	/home/ross/miniforge3/envs/bio-linux/share/spades/test_dataset_plasmid				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/miniforge3/envs/bio-linux/share/spades/test_dataset_plasmid/pl2.fq.gz	0.0001	2025-05-06	/home/ross/miniforge3/envs/bio-linux/share/spades/test_dataset_plasmid				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/miniforge3/pkgs/spades-4.2.0-h8d6e82b_1/share/spades/test_dataset/ecoli_1K_1.fq.gz	0.0001	2025-05-06	/home/ross/miniforge3/pkgs/spades-4.2.0-h8d6e82b_1/share/spades/test_dataset				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/miniforge3/pkgs/spades-4.2.0-h8d6e82b_1/share/spades/test_dataset/ecoli_1K_2.fq.gz	0.0001	2025-05-06	/home/ross/miniforge3/pkgs/spades-4.2.0-h8d6e82b_1/share/spades/test_dataset				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/miniforge3/pkgs/spades-4.2.0-h8d6e82b_1/share/spades/test_dataset_plasmid/pl1.fq.gz	0.0001	2025-05-06	/home/ross/miniforge3/pkgs/spades-4.2.0-h8d6e82b_1/share/spades/test_dataset_plasmid				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/home/ross/miniforge3/pkgs/spades-4.2.0-h8d6e82b_1/share/spades/test_dataset_plasmid/pl2.fq.gz	0.0001	2025-05-06	/home/ross/miniforge3/pkgs/spades-4.2.0-h8d6e82b_1/share/spades/test_dataset_plasmid				yes	no	test_fixture	skip	Library/tool test data, not real biological data.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/LIRI0326_1_R1.fastqsanger.fastq	9.237	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/LIRI0326_1_R2.fastqsanger.fastq	9.237	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/LIRI0326_2_R1.fastqsanger.fastq	5.5465	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/LIRI0326_2_R2.fastqsanger.fastq	5.5465	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/LIRI0809_1_R1.fastqsanger.fastq	11.1404	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/LIRI0809_1_R2.fastqsanger.fastq	11.1404	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/LIRI0809_2_R1.fastqsanger.fastq	7.513	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/LIRI0809_2_R2.fastqsanger.fastq	7.513	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/Sham0718_1_R1.fastqsanger.fastq	8.049	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
