cell	mad3_outlier	mad5_outlier
17203266	FALSE	FALSE
17203267	FALSE	FALSE
17203268	FALSE	FALSE
17203269	FALSE	FALSE
17203275	FALSE	FALSE
17203277	FALSE	FALSE
17203284	FALSE	FALSE
17203292	FALSE	FALSE
17203301	FALSE	FALSE
17203308	FALSE	FALSE
17203311	FALSE	FALSE
17203312	FALSE	FALSE
17203313	FALSE	FALSE
17203314	FALSE	FALSE
17203318	FALSE	FALSE
17203319	FALSE	FALSE
17203324	FALSE	FALSE
17203328	FALSE	FALSE
17203329	FALSE	FALSE
17203332	FALSE	FALSE
17203333	FALSE	FALSE
17203336	FALSE	FALSE
17203338	FALSE	FALSE
17203339	FALSE	FALSE
17203344	FALSE	FALSE
17203346	FALSE	FALSE
17203347	FALSE	FALSE
17203352	FALSE	FALSE
17203356	FALSE	FALSE
17203358	FALSE	FALSE
17203361	FALSE	FALSE
17203366	FALSE	FALSE
17203367	FALSE	FALSE
17203370	FALSE	FALSE
17203373	FALSE	FALSE
17203377	FALSE	FALSE
17203379	FALSE	FALSE
17203381	FALSE	FALSE
17203382	FALSE	FALSE
17203384	FALSE	FALSE
17203385	FALSE	FALSE
17203401	FALSE	FALSE
17203405	FALSE	FALSE
17203410	FALSE	FALSE
17203414	FALSE	FALSE
17203416	FALSE	FALSE
17203419	FALSE	FALSE
17203424	FALSE	FALSE
17203426	FALSE	FALSE
17203439	FALSE	FALSE
17203440	FALSE	FALSE
17203447	FALSE	FALSE
17203448	FALSE	FALSE
17203456	FALSE	FALSE
17203462	FALSE	FALSE
17203470	FALSE	FALSE
17203471	FALSE	FALSE
17203479	FALSE	FALSE
17203485	FALSE	FALSE
17203490	FALSE	FALSE
17203493	FALSE	FALSE
17203503	FALSE	FALSE
17203505	FALSE	FALSE
17203516	FALSE	FALSE
17203517	FALSE	FALSE
17203519	FALSE	FALSE
17203523	FALSE	FALSE
17203526	FALSE	FALSE
17203527	FALSE	FALSE
17203532	FALSE	FALSE
17203533	FALSE	FALSE
17203534	FALSE	FALSE
17203539	FALSE	FALSE
17203541	FALSE	FALSE
17203545	FALSE	FALSE
17203550	FALSE	FALSE
17203551	FALSE	FALSE
17203554	FALSE	FALSE
17203557	FALSE	FALSE
17203564	FALSE	FALSE
17203566	FALSE	FALSE
17203576	FALSE	FALSE
17203583	FALSE	FALSE
17203586	FALSE	FALSE
17203596	FALSE	FALSE
17203604	FALSE	FALSE
17203616	FALSE	FALSE
17203621	FALSE	FALSE
17203626	FALSE	FALSE
17203630	FALSE	FALSE
17203634	FALSE	FALSE
17203636	FALSE	FALSE
17203641	FALSE	FALSE
17203644	FALSE	FALSE
17203645	FALSE	FALSE
17203649	FALSE	FALSE
17203650	FALSE	FALSE
17203652	FALSE	FALSE
17203653	FALSE	FALSE
17203654	FALSE	FALSE
17203668	FALSE	FALSE
17203671	FALSE	FALSE
17203672	FALSE	FALSE
17203674	FALSE	FALSE
17203686	FALSE	FALSE
17203690	FALSE	FALSE
17203692	FALSE	FALSE
17203696	FALSE	FALSE
17203699	FALSE	FALSE
17203705	FALSE	FALSE
17203716	FALSE	FALSE
17203717	FALSE	FALSE
17203721	FALSE	FALSE
17203728	TRUE	FALSE
17203729	FALSE	FALSE
17203731	FALSE	FALSE
17203733	FALSE	FALSE
17203737	FALSE	FALSE
17203743	FALSE	FALSE
17203745	FALSE	FALSE
17203749	FALSE	FALSE
17203756	FALSE	FALSE
17203759	FALSE	FALSE
17203761	TRUE	FALSE
17203764	TRUE	FALSE
17203766	TRUE	FALSE
17203767	FALSE	FALSE
17203769	TRUE	FALSE
17203776	FALSE	FALSE
17203792	FALSE	FALSE
17203794	FALSE	FALSE
17203796	FALSE	FALSE
17203801	FALSE	FALSE
17203804	FALSE	FALSE
17203806	FALSE	FALSE
17203810	FALSE	FALSE
17203814	FALSE	FALSE
17203823	FALSE	FALSE
17203825	FALSE	FALSE
17203828	FALSE	FALSE
17203836	FALSE	FALSE
17203847	FALSE	FALSE
17203850	FALSE	FALSE
17203851	FALSE	FALSE
17203853	FALSE	FALSE
17203858	FALSE	FALSE
17203861	FALSE	FALSE
17203870	FALSE	FALSE
17203873	FALSE	FALSE
17203874	FALSE	FALSE
17203875	FALSE	FALSE
17203877	FALSE	FALSE
17203879	FALSE	FALSE
17203881	FALSE	FALSE
17203886	FALSE	FALSE
17203887	FALSE	FALSE
17203890	FALSE	FALSE
17203892	FALSE	FALSE
17203895	FALSE	FALSE
17203897	FALSE	FALSE
17203904	FALSE	FALSE
17203907	FALSE	FALSE
17203915	FALSE	FALSE
17203925	FALSE	FALSE
17203928	FALSE	FALSE
17203931	FALSE	FALSE
17203940	FALSE	FALSE
17203951	FALSE	FALSE
17203952	FALSE	FALSE
17203956	FALSE	FALSE
17203959	FALSE	FALSE
17203960	FALSE	FALSE
17203965	FALSE	FALSE
17203966	FALSE	FALSE
17203967	FALSE	FALSE
17203968	FALSE	FALSE
17203972	FALSE	FALSE
17203975	FALSE	FALSE
17203981	FALSE	FALSE
17203985	FALSE	FALSE
17203990	FALSE	FALSE
17203999	FALSE	FALSE
17204001	FALSE	FALSE
17204002	FALSE	FALSE
17204005	FALSE	FALSE
17204012	FALSE	FALSE
17204014	FALSE	FALSE
17204015	FALSE	FALSE
17204016	FALSE	FALSE
17204017	FALSE	FALSE
17204024	FALSE	FALSE
17204025	FALSE	FALSE
17204027	FALSE	FALSE
17204029	FALSE	FALSE
17204037	FALSE	FALSE
17204038	FALSE	FALSE
17204039	FALSE	FALSE
17204044	FALSE	FALSE
17204045	FALSE	FALSE
17204048	FALSE	FALSE
17204049	FALSE	FALSE
17204050	FALSE	FALSE
17204053	FALSE	FALSE
17204057	FALSE	FALSE
17204059	FALSE	FALSE
17204065	FALSE	FALSE
17204077	FALSE	FALSE
17204078	FALSE	FALSE
17204081	FALSE	FALSE
17204082	FALSE	FALSE
17204084	FALSE	FALSE
17204087	FALSE	FALSE
17204088	FALSE	FALSE
17204092	FALSE	FALSE
17204100	FALSE	FALSE
17204103	FALSE	FALSE
17204104	FALSE	FALSE
17204113	FALSE	FALSE
17204122	FALSE	FALSE
17204125	FALSE	FALSE
17204134	FALSE	FALSE
17204136	FALSE	FALSE
17204138	FALSE	FALSE
17204141	FALSE	FALSE
17204149	FALSE	FALSE
17204150	FALSE	FALSE
17204152	FALSE	FALSE
17204153	FALSE	FALSE
17204157	FALSE	FALSE
17204159	FALSE	FALSE
17204161	FALSE	FALSE
17204172	FALSE	FALSE
17204175	FALSE	FALSE
17204177	FALSE	FALSE
17204181	FALSE	FALSE
17204183	FALSE	FALSE
17204184	FALSE	FALSE
17204187	FALSE	FALSE
17204190	FALSE	FALSE
17204199	FALSE	FALSE
17204205	FALSE	FALSE
17204208	FALSE	FALSE
17204212	FALSE	FALSE
17204214	FALSE	FALSE
17204216	FALSE	FALSE
17204221	FALSE	FALSE
17204237	FALSE	FALSE
17204238	FALSE	FALSE
17204242	FALSE	FALSE
17204245	FALSE	FALSE
17204246	FALSE	FALSE
17204252	FALSE	FALSE
17204259	FALSE	FALSE
17204268	FALSE	FALSE
17204269	FALSE	FALSE
17204273	FALSE	FALSE
17204276	FALSE	FALSE
17204277	FALSE	FALSE
17204278	FALSE	FALSE
17204279	FALSE	FALSE
17204284	FALSE	FALSE
17204287	FALSE	FALSE
17204289	FALSE	FALSE
17204292	FALSE	FALSE
17204298	FALSE	FALSE
17204302	FALSE	FALSE
17204303	FALSE	FALSE
