cell	mad3_outlier	mad5_outlier
105595783	FALSE	FALSE
105595800	FALSE	FALSE
105595811	FALSE	FALSE
105595833	FALSE	FALSE
105595917	FALSE	FALSE
105595955	FALSE	FALSE
105596027	FALSE	FALSE
105596136	FALSE	FALSE
105596138	FALSE	FALSE
105596237	FALSE	FALSE
105596318	FALSE	FALSE
105596380	FALSE	FALSE
105596388	FALSE	FALSE
105596436	FALSE	FALSE
105596477	FALSE	FALSE
105596491	FALSE	FALSE
105596520	FALSE	FALSE
105596541	FALSE	FALSE
105596596	FALSE	FALSE
105596606	FALSE	FALSE
105596619	FALSE	FALSE
105596646	TRUE	FALSE
105596685	FALSE	FALSE
105596721	FALSE	FALSE
105596726	FALSE	FALSE
105596735	FALSE	FALSE
105596756	FALSE	FALSE
105596811	FALSE	FALSE
105596875	FALSE	FALSE
105596895	FALSE	FALSE
105596918	FALSE	FALSE
105596989	FALSE	FALSE
105596993	FALSE	FALSE
105597002	FALSE	FALSE
105597060	FALSE	FALSE
105597072	FALSE	FALSE
105597093	FALSE	FALSE
105597155	FALSE	FALSE
105597176	FALSE	FALSE
105597202	FALSE	FALSE
105597259	FALSE	FALSE
105597275	FALSE	FALSE
105597295	FALSE	FALSE
105597375	FALSE	FALSE
105597427	FALSE	FALSE
105597478	FALSE	FALSE
105597517	FALSE	FALSE
105597532	FALSE	FALSE
105597533	FALSE	FALSE
105597554	FALSE	FALSE
105597594	FALSE	FALSE
105597698	FALSE	FALSE
105597718	FALSE	FALSE
105597728	FALSE	FALSE
105597799	TRUE	FALSE
105597832	FALSE	FALSE
105597921	FALSE	FALSE
105598044	FALSE	FALSE
105598096	FALSE	FALSE
105598106	FALSE	FALSE
105598207	FALSE	FALSE
105598209	FALSE	FALSE
105598225	FALSE	FALSE
105598281	FALSE	FALSE
105598459	FALSE	FALSE
105598473	FALSE	FALSE
105598659	FALSE	FALSE
105598711	FALSE	FALSE
105598753	FALSE	FALSE
105598816	FALSE	FALSE
105598847	FALSE	FALSE
105598954	FALSE	FALSE
105599104	FALSE	FALSE
105599110	FALSE	FALSE
105599146	FALSE	FALSE
105599166	FALSE	FALSE
105599222	FALSE	FALSE
105599275	FALSE	FALSE
105599363	FALSE	FALSE
105599378	FALSE	FALSE
105599491	FALSE	FALSE
105599533	FALSE	FALSE
105599579	FALSE	FALSE
105599589	FALSE	FALSE
105599647	FALSE	FALSE
105599731	FALSE	FALSE
105599735	FALSE	FALSE
105599738	FALSE	FALSE
105599784	FALSE	FALSE
105599817	FALSE	FALSE
105599820	FALSE	FALSE
105599823	FALSE	FALSE
105599913	FALSE	FALSE
105599992	FALSE	FALSE
105600017	FALSE	FALSE
105600099	FALSE	FALSE
105600220	FALSE	FALSE
105600411	FALSE	FALSE
105600675	FALSE	FALSE
105600702	FALSE	FALSE
105600718	FALSE	FALSE
105600759	FALSE	FALSE
105600772	FALSE	FALSE
105600917	FALSE	FALSE
105600939	FALSE	FALSE
105601077	FALSE	FALSE
105601089	FALSE	FALSE
105601178	FALSE	FALSE
105601194	FALSE	FALSE
105601205	FALSE	FALSE
105601246	FALSE	FALSE
105601247	FALSE	FALSE
105601362	FALSE	FALSE
105601443	FALSE	FALSE
105601496	FALSE	FALSE
105601569	FALSE	FALSE
105601656	FALSE	FALSE
105601682	FALSE	FALSE
105601742	FALSE	FALSE
105601750	FALSE	FALSE
105601759	FALSE	FALSE
105601839	FALSE	FALSE
105601960	FALSE	FALSE
105601967	FALSE	FALSE
105602027	FALSE	FALSE
105602054	FALSE	FALSE
105602200	FALSE	FALSE
105602237	FALSE	FALSE
105602245	FALSE	FALSE
105602269	FALSE	FALSE
105602282	FALSE	FALSE
105602316	FALSE	FALSE
105602344	FALSE	FALSE
105602396	FALSE	FALSE
105602468	FALSE	FALSE
105602509	TRUE	FALSE
105602546	FALSE	FALSE
105602549	FALSE	FALSE
105602558	FALSE	FALSE
105602590	FALSE	FALSE
105602597	FALSE	FALSE
105602714	FALSE	FALSE
105602778	FALSE	FALSE
105602838	FALSE	FALSE
105602934	FALSE	FALSE
105603016	FALSE	FALSE
105603031	FALSE	FALSE
105603048	FALSE	FALSE
105603081	FALSE	FALSE
105603151	FALSE	FALSE
105603154	FALSE	FALSE
105603159	TRUE	FALSE
105603203	FALSE	FALSE
105603235	FALSE	FALSE
105603236	FALSE	FALSE
105603394	FALSE	FALSE
105603397	FALSE	FALSE
105603431	FALSE	FALSE
105603586	FALSE	FALSE
105603591	FALSE	FALSE
105603649	FALSE	FALSE
