cell	mad3_outlier	mad5_outlier
64012955	FALSE	FALSE
64012965	FALSE	FALSE
64012968	FALSE	FALSE
64012983	FALSE	FALSE
64012985	FALSE	FALSE
64012986	FALSE	FALSE
64013005	FALSE	FALSE
64013024	FALSE	FALSE
64013025	FALSE	FALSE
64013026	FALSE	FALSE
64013032	FALSE	FALSE
64013040	FALSE	FALSE
64013045	FALSE	FALSE
64013061	FALSE	FALSE
64013077	FALSE	FALSE
64013085	FALSE	FALSE
64013092	FALSE	FALSE
64013093	FALSE	FALSE
64013097	FALSE	FALSE
64013108	FALSE	FALSE
64013109	FALSE	FALSE
64013116	FALSE	FALSE
64013122	FALSE	FALSE
64013135	FALSE	FALSE
64013141	FALSE	FALSE
64013142	FALSE	FALSE
64013153	FALSE	FALSE
64013154	FALSE	FALSE
64013155	FALSE	FALSE
64013172	FALSE	FALSE
64013178	FALSE	FALSE
64013198	FALSE	FALSE
64013205	FALSE	FALSE
64013209	FALSE	FALSE
64013220	FALSE	FALSE
64013225	FALSE	FALSE
64013231	FALSE	FALSE
64013234	FALSE	FALSE
64013244	FALSE	FALSE
64013247	FALSE	FALSE
64013253	FALSE	FALSE
64013257	FALSE	FALSE
64013263	FALSE	FALSE
64013294	FALSE	FALSE
64013300	FALSE	FALSE
64013304	FALSE	FALSE
64013305	FALSE	FALSE
64013307	FALSE	FALSE
64013310	FALSE	FALSE
64013313	FALSE	FALSE
64013316	FALSE	FALSE
64013327	FALSE	FALSE
64013340	FALSE	FALSE
64013343	FALSE	FALSE
64013366	FALSE	FALSE
64013369	FALSE	FALSE
64013371	FALSE	FALSE
64013372	FALSE	FALSE
64013373	FALSE	FALSE
64013374	FALSE	FALSE
64013376	FALSE	FALSE
64013380	FALSE	FALSE
64013382	FALSE	FALSE
64013389	FALSE	FALSE
64013392	FALSE	FALSE
64013415	FALSE	FALSE
64013416	FALSE	FALSE
64013419	FALSE	FALSE
64013427	FALSE	FALSE
64013432	FALSE	FALSE
64013443	FALSE	FALSE
64013445	FALSE	FALSE
64013476	FALSE	FALSE
64013478	FALSE	FALSE
