cell	n_genes_by_counts	total_counts	pct_counts_mt
64011310	6342	10514.0	1.4647137
64011312	5030	10217.0	0.5383185
64011313	4003	9962.0	0.5621361
64011316	4138	9934.0	0.2818603
64011328	3702	8277.0	0.14498007
64011333	4381	7963.0	0.1381389
64011346	4646	7421.0	0.06737636
64011362	4195	6990.0	0.014306152
64011363	3511	7113.0	1.1809363
64011379	3870	6563.0	0.3504495
64011392	3658	6441.0	0.41918954
64011399	3436	6161.0	1.0550236
64011401	3194	6138.0	0.42359075
64011405	3934	5858.0	0.11949471
64011410	3315	6016.0	0.31582448
64011414	3477	6060.0	1.930693
64011418	3643	5980.0	0.48494983
64011423	3089	5676.0	0.15856238
64011426	3988	5821.0	0.6356296
64011429	3271	5819.0	0.49836743
64011430	3496	5734.0	0.59295434
64011433	3513	5791.0	4.54153
64011435	3722	5774.0	0.17319016
64011442	2860	5719.0	0.6819374
64011446	3362	5630.0	0.1598579
64011452	3615	5388.0	0.018559763
64011453	4079	5553.0	0.39618224
64011457	2250	5268.0	0.11389522
64011461	3415	5336.0	0.01874063
64011464	2532	5459.0	0.12822862
64011473	4010	5414.0	0.5910602
64011477	3103	5304.0	0.15082957
64011480	3228	5179.0	0.057926238
64011495	3759	5077.0	0.039393343
64011501	2777	4866.0	0.14385532
64011502	2709	4685.0	0.7684098
64011505	3767	5184.0	0.6751543
64011508	3011	5054.0	7.043926
64011514	3262	5043.0	0.19829467
64011532	2578	4622.0	0.10817827
64011535	3587	4986.0	0.7420778
64011536	2702	4851.0	0.22675738
64011540	3024	4733.0	0.40143672
64011552	2655	4699.0	0.2766546
64011553	3520	4696.0	0.12776832
64011557	3182	4535.0	0.0
64011569	3032	4216.0	0.0711575
64011573	2704	4439.0	0.27033117
64011575	2622	4600.0	7.956522
64011579	2331	4529.0	0.13247958
64011580	3151	4391.0	0.022773854
64011595	3183	4303.0	0.046479203
64011617	3086	4359.0	0.06882313
64011620	3122	4359.0	0.0
64011626	3059	4340.0	0.32258064
64011630	3140	4335.0	0.18454441
64011643	3167	4288.0	0.25652984
64011648	3162	4284.0	0.02334267
64011668	2758	3965.0	0.050441362
64011670	2512	3971.0	0.20146058
64011675	2887	4036.0	0.049554016
64011691	3123	3980.0	0.050251257
64011695	2726	3987.0	0.05016303
64011727	2202	3629.0	0.110223204
64011736	2786	3751.0	0.053319115
64011749	2307	3650.0	0.1369863
64011752	2741	3696.0	0.10822511
64011756	2323	3664.0	2.2106986
64011759	2639	3661.0	0.05462988
64011768	2554	3438.0	0.05817336
64011781	2698	3650.0	0.05479452
64011797	2181	3620.0	0.41436464
64011801	2401	3666.0	0.79105294
64011824	2454	3283.0	0.06091989
64011837	2455	3236.0	0.030902348
64011845	2599	3533.0	2.54741
64011847	2561	3403.0	0.029385835
64011849	2459	3480.0	0.4597701
64011853	2419	3484.0	0.028702639
64011854	2550	3489.0	0.25795355
64011860	2536	3315.0	0.0
64011867	2492	3281.0	0.030478513
64011873	2440	3371.0	0.029664788
64011875	2406	3250.0	0.03076923
64011877	2629	3437.0	0.0
64011878	2092	3397.0	0.41212836
64011880	2523	3232.0	0.092821784
64011889	2527	3400.0	0.2352941
64011891	2314	3351.0	0.05968368
64011911	2323	3167.0	0.031575624
64011913	2246	3324.0	0.060168475
64011919	2374	3200.0	0.03125
64011926	2640	3288.0	0.3649635
64011947	2533	3268.0	0.030599756
64011986	2324	3174.0	0.06301197
64011989	2310	2917.0	0.034281798
64012000	2224	2805.0	0.035650622
64012031	2202	2770.0	0.10830325
64012034	2419	3101.0	0.032247663
64012041	2188	3124.0	4.9295774
64012052	1878	3016.0	0.198939
64012053	2371	3101.0	0.064495325
64012056	2251	2827.0	0.106119566
64012059	2064	3012.0	1.4940239
64012065	2398	2913.0	0.06865774
64012074	2116	3027.0	0.2973241
64012078	2356	2995.0	0.033388983
64012088	2223	2979.0	0.10070494
64012098	2367	2950.0	0.30508474
64012099	2405	3051.0	1.5077024
64012119	1682	2821.0	0.17724212
64012125	2298	2972.0	0.0
64012136	2205	2685.0	0.3351955
64012148	2128	2665.0	0.075046904
64012158	2081	2869.0	0.104566045
64012162	2249	2828.0	0.07072136
64012168	2106	2837.0	4.6880507
64012175	1936	2527.0	0.0
64012176	2050	2544.0	0.039308175
64012178	2059	2678.0	0.0746826
64012180	2171	2691.0	0.40876997
64012181	1944	2792.0	0.0
64012183	2020	2807.0	2.8500178
64012197	2159	2790.0	0.035842292
64012213	1962	2510.0	0.03984064
64012214	2273	2762.0	0.47067344
64012216	2028	2588.0	0.0
64012221	2081	2628.0	0.03805175
64012222	2128	2738.0	0.07304602
64012237	1765	2606.0	0.038372986
64012244	1930	2603.0	0.19208606
64012255	1992	2638.0	0.0
64012261	2154	2689.0	0.0
64012274	1649	2695.0	12.13358
64012276	2122	2599.0	1.0773375
64012283	2067	2601.0	0.03844675
64012285	1826	2671.0	11.269188
64012288	2017	2502.0	0.039968025
64012291	2046	2492.0	0.08025682
64012301	2004	2410.0	0.24896267
64012302	2145	2663.0	0.33796468
64012308	1906	2513.0	0.0
64012310	2073	2652.0	0.18853696
64012318	1996	2476.0	0.12116317
64012323	1793	2629.0	0.7987828
64012324	2129	2637.0	0.11376564
64012328	2094	2577.0	0.0
64012333	2225	2626.0	0.6473724
64012353	2206	2622.0	0.07627765
64012360	1946	2381.0	0.041999158
64012365	2095	2511.0	0.2787734
64012370	1946	2563.0	0.03901678
64012372	1999	2364.0	0.16920474
64012380	1814	2171.0	0.0
64012382	1982	2439.0	0.08200082
64012385	2194	2585.0	0.30947775
64012426	1678	2383.0	2.6017625
64012433	1878	2390.0	0.041841004
64012434	1824	2440.0	1.9672132
64012437	1926	2353.0	0.08499788
64012449	1809	2441.0	0.0
64012453	1830	2207.0	0.0
64012469	2061	2433.0	0.6576243
64012470	1884	2422.0	4.1701074
64012482	1897	2317.0	0.0
64012484	1892	2257.0	0.0443066
64012490	1643	2373.0	7.964602
64012508	1835	2310.0	0.0
64012511	1846	2240.0	0.0
64012521	1998	2342.0	0.042698547
64012535	1822	2193.0	0.09119927
64012536	1843	2214.0	0.0
64012537	1818	2236.0	0.0
64012544	1607	2160.0	0.046296295
64012548	1982	2317.0	0.94950366
64012549	1744	2146.0	0.046598323
64012551	1703	2147.0	0.0
64012561	1789	2256.0	0.0
64012566	1628	2162.0	0.0
64012572	1807	2169.0	0.18441679
64012589	1955	2193.0	0.09119927
64012596	1859	2181.0	0.045850527
64012612	1613	2237.0	0.0
64012619	1718	2224.0	4.541367
64012631	1887	2186.0	0.045745652
64012634	1731	2120.0	0.047169812
64012637	1870	2162.0	0.83256245
64012638	1647	2176.0	0.09191176
64012641	1488	2149.0	0.0
64012665	1756	2189.0	0.091365926
64012668	823	2047.0	0.097703956
64012695	1584	2059.0	0.2914036
64012697	1543	2026.0	0.049358346
64012698	1710	2135.0	1.5456674
64012700	1536	1999.0	0.050025016
64012721	1553	1976.0	0.05060729
64012725	1719	2088.0	0.43103448
64012738	1173	1990.0	0.10050251
64012748	1641	2021.0	0.049480453
64012753	1391	1976.0	5.0101213
64012755	1578	1832.0	0.0
64012768	1574	1979.0	0.15159172
64012785	1671	1993.0	0.0
64012788	1554	1995.0	0.15037595
64012793	1597	1955.0	0.0
64012795	1304	1989.0	4.3740573
64012805	1625	1880.0	0.10638297
64012809	1165	2057.0	0.048614487
64012814	1334	1954.0	13.152507
64012816	1643	1913.0	0.0
64012818	1753	1953.0	0.20481311
64012822	1433	1832.0	0.0
64012835	1692	1980.0	0.050505053
64012845	1676	1888.0	0.0
64012865	1593	1893.0	0.0
64012866	1576	1918.0	1.6684046
64012886	1587	1834.0	0.054525625
64012888	1568	1960.0	0.051020406
64012893	1674	1925.0	0.25974026
64012914	1564	1855.0	0.053908356
64012915	1191	1703.0	0.17615972
64012919	1521	1873.0	0.10678057
64012934	1654	1830.0	1.0382514
64012939	1503	1838.0	0.27203482
64012943	1627	1906.0	0.20986357
64012947	1620	1846.0	0.81256765
64012952	1372	1608.0	0.062189054
64012955	1424	1726.0	0.0
64012965	1396	1679.0	0.0
64012968	1547	1808.0	0.11061947
64012983	1551	1749.0	0.6289308
64012985	1545	1821.0	0.054914884
64012986	1495	1744.0	0.17201835
64013005	1462	1757.0	0.17074558
64013024	1607	1755.0	0.22792022
64013025	1487	1733.0	0.057703402
64013026	1404	1657.0	0.06035003
64013032	1568	1742.0	0.114810556
64013040	1346	1578.0	0.06337135
64013045	1461	1708.0	0.058548007
64013061	1518	1730.0	0.115606934
64013077	1398	1599.0	0.12507817
64013085	1222	1655.0	0.12084593
64013092	1430	1675.0	0.11940298
64013093	1330	1701.0	0.058788948
64013097	1445	1673.0	0.059772864
64013108	1448	1720.0	0.1744186
64013109	1372	1666.0	0.12004802
64013116	1441	1622.0	0.55487055
64013122	1361	1651.0	1.3325257
64013135	1317	1606.0	0.0
64013141	1384	1636.0	0.24449879
64013142	1394	1695.0	1.9469026
64013153	991	1671.0	0.0
64013154	1420	1640.0	0.18292683
64013155	1546	1704.0	0.70422536
64013172	1463	1619.0	0.8029648
64013178	1445	1657.0	0.9656005
64013198	1293	1583.0	0.12634239
64013205	1244	1505.0	0.0
64013209	1409	1530.0	0.0
64013220	1222	1578.0	0.06337135
64013225	1238	1475.0	0.0
64013231	1235	1502.0	0.0665779
64013234	1132	1572.0	0.0
64013244	1403	1522.0	0.5913272
64013247	1421	1561.0	1.2171685
64013253	1327	1528.0	0.0
64013257	1289	1589.0	0.0
64013263	1245	1476.0	0.0
64013294	1323	1521.0	0.065746225
64013300	1035	1504.0	0.39893618
64013304	1225	1517.0	0.2636783
64013305	1300	1508.0	0.198939
64013307	1139	1352.0	0.0739645
64013310	1113	1334.0	0.07496252
64013313	1367	1506.0	1.062417
64013316	1230	1462.0	0.06839946
64013327	479	1525.0	3.6065574
64013340	1348	1508.0	0.265252
64013343	1197	1414.0	0.0
64013366	1226	1468.0	0.0
64013369	1155	1331.0	0.0
64013371	1272	1430.0	0.06993007
64013372	1199	1426.0	0.0
64013373	1148	1378.0	0.5805515
64013374	1215	1412.0	2.124646
64013376	1293	1446.0	0.1383126
64013380	1250	1443.0	0.0
64013382	1140	1336.0	0.074850306
64013389	1009	1478.0	0.811908
64013392	1284	1453.0	0.06882313
64013415	1070	1346.0	0.0
64013416	1163	1409.0	0.14194465
64013419	1217	1391.0	0.07189073
64013427	1182	1364.0	0.0
64013432	1229	1394.0	0.0
64013443	1254	1387.0	0.4325883
64013445	1154	1359.0	0.0
64013476	1208	1406.0	0.0
64013478	1266	1358.0	0.5154639
64013481	1063	1341.0	0.074571215
64013515	1236	1357.0	0.2210759
64013516	1091	1289.0	0.0
64013524	1144	1288.0	0.0
64013534	1024	1295.0	0.0
64013565	1096	1286.0	0.2332815
64013574	1198	1354.0	0.07385524
64013576	1210	1339.0	0.373413
64013577	893	1149.0	0.0
64013581	1239	1319.0	0.075815015
64013599	1205	1316.0	0.22796352
64013602	1087	1260.0	0.15873016
64013613	1111	1279.0	0.0
64013618	1206	1354.0	2.5849335
64013624	1141	1278.0	0.70422536
64013625	996	1252.0	0.0
64013627	947	1332.0	1.2762762
64013631	1051	1189.0	0.33641717
64013635	1055	1296.0	0.46296296
64013642	1022	1288.0	4.0372667
64013650	1115	1275.0	0.07843137
64013654	1062	1196.0	0.0
64013655	1090	1264.0	0.0
64013669	1035	1186.0	0.084317036
64013670	935	1171.0	0.0
64013692	1089	1257.0	0.15910898
64013703	1028	1219.0	1.8047581
64013704	1037	1169.0	0.0855432
64013706	1125	1278.0	0.0
64013718	934	1155.0	0.08658009
64013729	988	1204.0	0.08305648
64013734	1031	1153.0	0.17346054
64013736	1049	1186.0	0.33726814
64013740	998	1209.0	1.1579818
64013768	1053	1196.0	0.33444816
64013786	1084	1157.0	0.7778738
64013788	1065	1171.0	0.085397094
64013794	909	1147.0	0.0
64013795	995	1140.0	0.1754386
64013808	976	1174.0	1.448041
64013818	1047	1185.0	0.08438819
64013827	927	1118.0	1.2522361
64013829	977	1087.0	0.09199632
64013831	946	1109.0	0.0
64013853	1059	1147.0	1.0462074
64013856	1029	1121.0	0.35682425
64013868	993	1127.0	0.7098492
64013878	939	1056.0	0.09469697
64013895	955	1070.0	0.093457945
64013900	833	1081.0	0.18501388
64013908	929	1064.0	0.0
64013913	984	1079.0	0.092678405
64013920	874	1086.0	2.2099447
64013934	917	1008.0	0.0
64013962	911	1016.0	0.0
64013965	883	991.0	0.70635724
64013967	868	986.0	0.7099391
64013976	870	978.0	0.51124746
64013978	738	1012.0	0.098814234
64013979	878	961.0	0.0
64013987	899	970.0	0.10309279
64013997	865	948.0	0.42194092
64014005	863	927.0	0.21574973
64014025	780	884.0	0.0
64014029	764	920.0	0.0
64014033	770	928.0	0.0
64014039	746	882.0	11.791384
64014054	796	896.0	0.55803573
64014058	781	873.0	0.22909509
64014065	775	853.0	0.0
64014072	823	901.0	0.33296338
64014075	746	858.0	0.0
64014082	835	901.0	0.33296338
64014105	763	829.0	1.4475272
64014116	683	766.0	0.1305483
64014119	753	804.0	0.0
64014140	659	791.0	0.0
64014148	648	763.0	1.1795545
64014161	657	715.0	0.0
64014162	637	687.0	0.8733625
64014173	411	805.0	41.366463
64014175	688	806.0	0.0
64014179	625	736.0	0.13586956
64014183	652	712.0	0.4213483
64014196	634	709.0	0.0
64014210	608	673.0	0.4457652
64014220	375	743.0	42.261105
64014242	611	630.0	0.31746033
64014253	600	651.0	0.0
64014265	613	655.0	0.0
64014270	576	648.0	0.0
64014280	360	607.0	35.584843
64014301	316	644.0	47.981365
64014303	535	585.0	0.8547009
64014309	513	600.0	0.6666667
64014312	526	574.0	0.87108016
64014318	463	510.0	0.5882353
64014335	409	425.0	0.0
64014336	390	429.0	0.23310024
64014343	436	476.0	0.0
64014365	320	333.0	0.0
64014368	295	319.0	0.0
64014374	6473	19606.0	7.2936854
64014378	6265	18733.0	1.1530454
64014380	7084	18641.0	3.132879
