dataset	chemistry	ordering	pair	pergene_contam_spearman	n_genes	cell_jaccard
gse325955_mouse_kidney_E18_5	v3	O1	SoupX_vs_DecontX	0.33402082713926756	33531	0.9936664971568582
gse325955_mouse_kidney_E18_5	v3	O1	CellBender_vs_DecontX	0.41807885687344276	33547	0.8850328947368421
gse325955_mouse_kidney_E18_5	v3	O2	SoupX_vs_CellBender	0.5294162382185615	33568	0.8598771831884521
gse325955_mouse_kidney_E18_5	v3	O2	SoupX_vs_DecontX	0.29296853310334603	33568	1.0
gse325955_mouse_kidney_E18_5	v3	O2	CellBender_vs_DecontX	0.3610159354348118	33568	0.8598771831884521
gse287209_human_lung_organoid	v3	O1	SoupX_vs_CellBender	0.5478426502049887	37561	0.8471699317210133
gse287209_human_lung_organoid	v3	O1	SoupX_vs_DecontX	0.3093934729638185	37506	0.9841001353179973
gse287209_human_lung_organoid	v3	O1	CellBender_vs_DecontX	0.31937365625260206	37520	0.8369918958585923
gse287209_human_lung_organoid	v3	O2	SoupX_vs_CellBender	0.5455996612063098	37561	0.7924077832159484
gse287209_human_lung_organoid	v3	O2	SoupX_vs_DecontX	0.3328707349041537	37561	1.0
gse287209_human_lung_organoid	v3	O2	CellBender_vs_DecontX	0.3882157719529348	37561	0.7924077832159484
gse288156_mouse_intestine_scrna	v3	O1	SoupX_vs_CellBender	0.495489084349217	33385	0.7644001732351667
gse288156_mouse_intestine_scrna	v3	O1	SoupX_vs_DecontX	0.2669424339826961	33832	0.9215113539998115
gse288156_mouse_intestine_scrna	v3	O1	CellBender_vs_DecontX	0.3664085683095451	33170	0.7152552093290002
gse288156_mouse_intestine_scrna	v3	O2	SoupX_vs_CellBender	0.5017643955479847	33400	0.7645926567537654
gse288156_mouse_intestine_scrna	v3	O2	SoupX_vs_DecontX	0.2232911055098433	34079	1.0
gse288156_mouse_intestine_scrna	v3	O2	CellBender_vs_DecontX	0.26127982839053115	33400	0.7645926567537654
