dataset	exit_code	start	end
10x_pbmc_1k_v3	0	22:29:08	22:29:08
10x_neuron_1k_v3	0	22:29:08	22:29:46
10x_t_3k_v2	0	22:29:46	22:30:11
10x_pbmc_4k_v2	0	22:30:11	22:30:41
10x_pbmc_5k_v3.1	0	22:30:41	22:31:30
10x_pbmc_10k_v3.1	0	22:31:30	22:32:47
gse325955_mouse_kidney_E18_5	0	22:32:47	22:36:17
gse287209_human_lung_organoid	0	22:36:17	22:38:42
gse288156_mouse_intestine_scrna	0	22:38:42	22:42:03
