dataset	chemistry	tool	cell_jaccard	O1_only	O2_only	pergene_contam_spearman	boot_lo	boot_hi	percell_total_spearman	n_genes	corrected_identical_by_design
10x_pbmc_1k_v3	v3	SoupX	1.0	0	0	0.9946963126385364	0.9940707558037719	0.9952516173782084	0.9999990053068348	24543	False
10x_pbmc_1k_v3	v3	CellBender	0.9816360601001669	0	22	0.9579186158064734	0.954654557947248	0.9610635044641972	1.0	24741	True
10x_pbmc_1k_v3	v3	DecontX	1.0	0	0	0.8880189176676379	0.8826018568509927	0.8929857681557178	0.9971645655565581	24543	False
10x_neuron_1k_v3	v3	SoupX	0.995164410058027	1	4	0.992381723409368	0.99156304015974	0.9931612134826914	0.9999960570746158	24290	False
10x_neuron_1k_v3	v3	CellBender	0.934351145038168	7	79	0.9226219186745365	0.9185227192130491	0.926383901503936	1.0	24504	True
10x_neuron_1k_v3	v3	DecontX	0.9980657640232108	1	1	0.9653830809274014	0.9627361827189312	0.9680063998516045	0.9912449756243936	24290	False
10x_t_3k_v2	v2	SoupX	0.998186215235792	3	3	0.9950724061717262	0.9944296530038584	0.9956498006176108	0.9999811292456303	26547	False
10x_t_3k_v2	v2	CellBender	0.967913020418987	5	116	0.9158258056132417	0.911641104008427	0.9199166652836352	1.0	26830	True
10x_t_3k_v2	v2	DecontX	1.0	0	0	0.7460745327193723	0.7385910117668951	0.7536318195356964	0.9771639132394209	26553	False
10x_pbmc_4k_v2	v2	SoupX	0.9975556098753361	5	5	0.9984260969992456	0.9982194136777864	0.9986015496020945	0.9999948940121571	27513	False
10x_pbmc_4k_v2	v2	CellBender	0.9800173761946134	13	79	0.9771806609573016	0.9752386136287385	0.9790403771815438	0.9999999999999998	27727	True
10x_pbmc_4k_v2	v2	DecontX	0.986387943607195	28	28	0.9646448966183556	0.9616915156440332	0.967481054339469	0.9997430122661023	27482	False
10x_pbmc_5k_v3.1	v3	SoupX	0.9932652113330237	1	28	0.9953375247877857	0.9946545051781789	0.9959187716706864	0.9999662500565055	27828	False
10x_pbmc_5k_v3.1	v3	CellBender	0.9728410778697221	2	126	0.9822890511725773	0.9804057019223241	0.9841875923006005	0.9999999999999998	28093	True
10x_pbmc_5k_v3.1	v3	DecontX	0.9983751160631383	3	4	0.9361083951634454	0.9330549512312608	0.9390094980181155	0.990983267331242	27831	False
10x_pbmc_10k_v3.1	v3	SoupX	0.9996164541183239	2	2	0.9988167505011308	0.9986623426731925	0.9989693675827197	0.9999984536672988	33429	False
10x_pbmc_10k_v3.1	v3	CellBender	0.9952004266287441	16	38	0.9976513574497335	0.9972770192617302	0.9979799406340852	0.9999999999999999	33659	True
10x_pbmc_10k_v3.1	v3	DecontX	0.9971247843588269	7	23	0.9334862749750595	0.9297832434544163	0.9370287524356742	0.9816512752144536	33426	False
gse325955_mouse_kidney_E18_5	v3	SoupX	0.999536350148368	4	6	0.9940876877110274	0.9933811566010017	0.9947297500458766	0.999999793851769	33562	False
gse325955_mouse_kidney_E18_5	v3	CellBender	0.96618068833652	26	823	0.9639245465796636	0.962207449129533	0.9655801170815088	0.9999999999999999	33829	True
gse325955_mouse_kidney_E18_5	v3	DecontX	0.9936667899408284	68	69	0.37707019371130535	0.36647527094551335	0.3884577512876036	0.6881311946047957	33531	False
gse287209_human_lung_organoid	v3	SoupX	0.9999246789439988	1	1	0.9992541031151416	0.9990810198937132	0.9993916844096037	0.9999998121720289	37561	False
gse287209_human_lung_organoid	v3	CellBender	0.9249606696547834	181	2347	0.9905609100255205	0.9894664010834399	0.9915924517946249	1.0	38182	True
gse287209_human_lung_organoid	v3	DecontX	0.984174717137165	51	370	0.9272506964289751	0.9231903436934302	0.931062700526983	0.9970506867833357	37506	False
gse288156_mouse_intestine_scrna	v3	SoupX	0.9996151070483522	4	4	0.9956131486685581	0.994640353645156	0.9964592757702767	0.9999992371937565	34077	False
gse288156_mouse_intestine_scrna	v3	CellBender	0.977716917714428	177	181	0.9996017166358618	0.99949697772917	0.9996976952966482	1.0	33363	True
gse288156_mouse_intestine_scrna	v3	DecontX	0.9215113539998115	445	1221	0.8325811881276868	0.8265354835572967	0.8391381687413256	0.9823303083134363	33833	False
