input_id	source	comparison_id	tool	file_path	sha256	row_count	gene_id_format	has_padj	has_log2fc	generation_date	phase_lock_status	input_category	n_significant_padj_05
tcga_cancer__KICH_edgeR	phase2 regen (tcga_cancer)	KICH	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/KICH_edgeR.tsv	77ed62a8c5218cebb81442c1bd4eaf4375c8fe1be4a80c71e2d55e5ea738c543	20582	symbol_human	True	True	2026-05-15T20:25:39	verified	tcga_cancer	14916
tcga_cancer__KICH_limma	phase2 regen (tcga_cancer)	KICH	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/KICH_limma.tsv	50589ebe4c63c2e0f23540a260763898a74331d1412e9988a0e11e4241b935be	20582	symbol_human	True	True	2026-05-15T20:25:41	verified	tcga_cancer	14683
tcga_cancer__KIRC_DESeq2	phase2 regen (tcga_cancer)	KIRC	DESeq2	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/KIRC_DESeq2.tsv	af8ac3d3a318caa4170045b7b6c509a5be3a501e9bfbbf7ca934fb49b14b44aa	21595	symbol_human	True	True	2026-05-15T20:27:36	verified	tcga_cancer	16923
tcga_cancer__KIRC_edgeR	phase2 regen (tcga_cancer)	KIRC	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/KIRC_edgeR.tsv	719378bced3c01c86189e76c1f13b188eb70ac634bd09377a774c47f36246e31	21595	mixed_or_unknown	True	True	2026-05-15T20:27:43	verified	tcga_cancer	16910
tcga_cancer__KIRC_limma	phase2 regen (tcga_cancer)	KIRC	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/KIRC_limma.tsv	7739ed0aabd29a38db8c9990a27362e51673adf0af29a8738fe88990613e7ca4	21595	symbol_human	True	True	2026-05-15T20:27:45	verified	tcga_cancer	16658
tcga_cancer__KIRP_DESeq2	phase2 regen (tcga_cancer)	KIRP	DESeq2	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/KIRP_DESeq2.tsv	2f4757b43eea9c1aff39281a841f1b9c1ce4f66f956f993cd2449dddd825a854	21869	symbol_human	True	True	2026-05-15T20:30:14	verified	tcga_cancer	14434
tcga_cancer__KIRP_edgeR	phase2 regen (tcga_cancer)	KIRP	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/KIRP_edgeR.tsv	2a9c023402d5676377d372a8ba0c2d66039e3356a61219e3f8fa0e61f7acc44e	21869	symbol_human	True	True	2026-05-15T20:30:19	verified	tcga_cancer	14664
tcga_cancer__KIRP_limma	phase2 regen (tcga_cancer)	KIRP	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/KIRP_limma.tsv	c74fff64ca492de552749610aa6a305e319309b538bae1d96dd752eadca11120	21869	symbol_human	True	True	2026-05-15T20:30:21	verified	tcga_cancer	13644
tcga_cancer__LIHC_DESeq2	phase2 regen (tcga_cancer)	LIHC	DESeq2	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/LIHC_DESeq2.tsv	c5bcb36d3b2f0d3b47d57f02d56f639ee3e939fbbc4c20d652d499c2f96de7fd	19939	symbol_human	True	True	2026-05-15T20:28:57	verified	tcga_cancer	13444
tcga_cancer__LIHC_edgeR	phase2 regen (tcga_cancer)	LIHC	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/LIHC_edgeR.tsv	326b63931281b029f176e77447f09b9843ea2c11ed3c81341c4e8037143de8fa	19939	symbol_human	True	True	2026-05-15T20:29:03	verified	tcga_cancer	13864
tcga_cancer__LIHC_limma	phase2 regen (tcga_cancer)	LIHC	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/LIHC_limma.tsv	96f8b06961c14d29948fd9d60839883c47ba6da780568cc05d6af0f1f5484438	19939	symbol_human	True	True	2026-05-15T20:29:05	verified	tcga_cancer	12539
tcga_cancer__LUAD_DESeq2	phase2 regen (tcga_cancer)	LUAD	DESeq2	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/LUAD_DESeq2.tsv	f7abbfd03bb2ec721d53ae7e0d32c46f620f85bf7fc8155ee3962111b45436fa	23328	mixed_or_unknown	True	True	2026-05-15T20:27:54	verified	tcga_cancer	17069
tcga_cancer__LUAD_edgeR	phase2 regen (tcga_cancer)	LUAD	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/LUAD_edgeR.tsv	1d3df5c3cdd2aa4cd060f9ee540d8e4d09da86145f93b7ea51f7d5f65682a85b	23328	mixed_or_unknown	True	True	2026-05-15T20:28:00	verified	tcga_cancer	17392
tcga_cancer__LUAD_limma	phase2 regen (tcga_cancer)	LUAD	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/LUAD_limma.tsv	af8e7178b265fa958879f17bfa4698d56584d783040eab3dd74f79439c44f358	23328	mixed_or_unknown	True	True	2026-05-15T20:28:03	verified	tcga_cancer	15727
tcga_cancer__LUSC_DESeq2	phase2 regen (tcga_cancer)	LUSC	DESeq2	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/LUSC_DESeq2.tsv	4534dcda336548281627e4d54d50bc8b58cc3c5f0fbc602d7db43ebc5b1c0fb4	22865	symbol_human	True	True	2026-05-15T20:28:42	verified	tcga_cancer	18115
tcga_cancer__LUSC_edgeR	phase2 regen (tcga_cancer)	LUSC	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/LUSC_edgeR.tsv	a7dd542bec7de30ad760a5e8d192dae4f17f1658c5f5692168109d671aea3025	22865	mixed_or_unknown	True	True	2026-05-15T20:28:48	verified	tcga_cancer	18151
tcga_cancer__LUSC_limma	phase2 regen (tcga_cancer)	LUSC	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/LUSC_limma.tsv	1e992a5cfabd5a6daf8b15d51959f4fd5501ff88689ecbf3b4c8612c908e5e24	22865	symbol_human	True	True	2026-05-15T20:28:50	verified	tcga_cancer	17496
tcga_cancer__PRAD_DESeq2	phase2 regen (tcga_cancer)	PRAD	DESeq2	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/PRAD_DESeq2.tsv	d2f12bfdecf20afd16e0504f5684ef195f6c447e424b912d498a8573e83bb35a	21167	symbol_human	True	True	2026-05-15T20:28:25	verified	tcga_cancer	13115
tcga_cancer__PRAD_edgeR	phase2 regen (tcga_cancer)	PRAD	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/PRAD_edgeR.tsv	7b4a66ab3aff0f3adcbcc649d371f9b84c057d71b9a768ddcf121c27f8d12877	21167	symbol_human	True	True	2026-05-15T20:28:31	verified	tcga_cancer	13151
