dataset	condition	n_cells	n_shared_with_base	n_clusters_r1.0	n_labels	ARI_vs_base	NMI_vs_base	ari_boot_lo	ari_boot_hi	annotation_agreement_vs_base	marker_jaccard_vs_base
pbmc	nocorr	4520	4520	16	14					1.0	1.0
pbmc	SoupX_O1	4485	4485	17	17	0.9010871043418596	0.9148511624459627	0.8882869551564306	0.9135812054404289	0.9025641025641026	0.8439086573362616
pbmc	SoupX_O2	4489	4489	18	16	0.8822360315228648	0.9091408947359029	0.8687359906572321	0.8955008466756582	0.9307195366451325	0.8550768223477136
pbmc	CellBender	4619	4460	17	17	0.8567581184706029	0.8945226544524381	0.841076780162813	0.8725326275150879	0.862780269058296	0.77994278296729
pbmc	DecontX_O1	4514	4513	16	16	0.8546299512736684	0.8895216514295889	0.8410960711506129	0.8683389336716476	0.9038333702636827	0.7558599246916111
pbmc	DecontX_O2	4514	4514	15	16	0.8496895933048517	0.887556486403843	0.8352382533908478	0.8648195383061964	0.9178112538768276	0.7702476513226781
intestine	nocorr	21807	21807	21	14					1.0	1.0
intestine	SoupX_O1	21807	21807	25	13	0.6626753180013808	0.8273742438507117	0.6543451356646617	0.6708789705254581	0.7687439812904113	0.7041205386888135
intestine	SoupX_O2	21807	21807	24	14	0.6975253276867603	0.8447372522089163	0.6894346499364625	0.7059714570390684	0.7841518778373917	0.761475131254459
intestine	CellBender	16700	16700	24	14	0.5007382888962254	0.7291803511756224	0.49273500156604927	0.5099444731180385	0.5416766467065868	0.522104030533991
intestine	DecontX_O1	20640	20621	25	15	0.5663155694009925	0.7677590849277425	0.5594550659079911	0.5737358325948163	0.7099558702293778	0.476366807113975
intestine	DecontX_O2	20593	20593	25	15	0.6609432084749375	0.7950274224904273	0.6522738939418076	0.6691382436647805	0.719370659932987	0.5222680779600501
