	n_genes_by_counts	total_counts	pct_counts_mt	doublet_class	doublet_score	celltypist_label	leiden_r1.0	leiden_r0.5	leiden_r1.5
64011310	6342	10514.0	1.4647137	doublet	0.999998569488525	Fibroblasts	0	0	0
64011312	5030	10217.0	0.5383185	doublet	0.999999523162842	Fibroblasts	2	3	1
64011313	4003	9962.0	0.5621361	doublet	0.999994516372681	Fibroblasts	2	3	1
64011316	4138	9934.0	0.2818603	doublet	0.999972820281982	Fibroblasts	2	3	1
64011328	3702	8277.0	0.14498007	doublet	0.999945402145386	Fibroblasts	2	3	1
64011333	4381	7963.0	0.1381389	doublet	0.999970674514771	Fibroblasts	2	3	1
64011346	4646	7421.0	0.06737636	doublet	0.999996304512024	Cholangiocytes	3	4	2
64011362	4195	6990.0	0.014306152	doublet	0.999834060668945	Cholangiocytes	3	4	2
64011363	3511	7113.0	1.1809363	doublet	0.999999523162842	Fibroblasts	2	3	1
64011379	3870	6563.0	0.3504495	doublet	0.999987006187439	Fibroblasts	2	3	1
64011392	3658	6441.0	0.41918954	doublet	0.997419714927673	Fibroblasts	2	3	1
64011399	3436	6161.0	1.0550236	doublet	0.999984860420227	Fibroblasts	2	3	1
64011401	3194	6138.0	0.42359075	doublet	0.999970674514771	Fibroblasts	2	3	1
64011405	3934	5858.0	0.11949471	doublet	0.9998619556427	Cholangiocytes	3	4	2
64011410	3315	6016.0	0.31582448	doublet	0.998366177082062	Fibroblasts	2	3	1
64011414	3477	6060.0	1.930693	doublet	0.999999165534973	Fibroblasts	2	3	1
64011418	3643	5980.0	0.48494983	doublet	0.999886155128479	Fibroblasts	2	3	1
64011423	3089	5676.0	0.15856238	doublet	0.99841845035553	Fibroblasts	2	3	1
64011426	3988	5821.0	0.6356296	doublet	0.999554097652435	Fibroblasts	4	5	3
64011429	3271	5819.0	0.49836743	doublet	0.999937772750854	Fibroblasts	2	3	1
64011430	3496	5734.0	0.59295434	doublet	0.999966144561768	Fibroblasts	2	3	1
64011433	3513	5791.0	4.54153	singlet	0.0171691440045834	Fibroblasts	2	3	1
64011435	3722	5774.0	0.17319016	doublet	0.999979019165039	Cholangiocytes	3	4	2
64011442	2860	5719.0	0.6819374	doublet	0.999903082847595	Fibroblasts	2	3	1
64011446	3362	5630.0	0.1598579	doublet	0.999993205070496	Fibroblasts	2	3	1
64011452	3615	5388.0	0.018559763	doublet	0.998040735721588	Cholangiocytes	3	4	2
64011453	4079	5553.0	0.39618224	doublet	0.997529208660126	T cells	5	6	4
