dataset_id	tissue	organism	dataset_size_cells	threshold	genes_total	genes_retained	cells_retained	hvg_overlap	pct_hvg_lost	median_genes_per_cell
67b6b9ac-b841-42ce-b2d4-ed2ec12327bd	lymph node	Homo sapiens	30000	50	61497	23167	30000	0.9773	1.15	2002.0
3c364ffe-d599-44d5-a77f-6c5fd7038cf6	central nervous system	Homo sapiens	30000	1	61497	31892	30000	1.0	0.0	1683.0
3c364ffe-d599-44d5-a77f-6c5fd7038cf6	central nervous system	Homo sapiens	30000	3	61497	29709	30000	1.0	0.0	1683.0
3c364ffe-d599-44d5-a77f-6c5fd7038cf6	central nervous system	Homo sapiens	30000	5	61497	28499	30000	0.999	0.05	1683.0
3c364ffe-d599-44d5-a77f-6c5fd7038cf6	central nervous system	Homo sapiens	30000	10	61497	26581	30000	0.998	0.1	1683.0
3c364ffe-d599-44d5-a77f-6c5fd7038cf6	central nervous system	Homo sapiens	30000	20	61497	24433	30000	0.9861	0.7	1682.0
3c364ffe-d599-44d5-a77f-6c5fd7038cf6	central nervous system	Homo sapiens	30000	50	61497	21325	30000	0.9579	2.15	1679.0
f7c1c579-2dc0-47e2-ba19-8165c5a0e353	adrenal gland	Homo sapiens	30000	1	61497	27976	30000	0.7613	13.55	337.0
f7c1c579-2dc0-47e2-ba19-8165c5a0e353	adrenal gland	Homo sapiens	30000	3	61497	23025	30000	1.0	0.0	337.0
f7c1c579-2dc0-47e2-ba19-8165c5a0e353	adrenal gland	Homo sapiens	30000	5	61497	21038	30000	0.8957	5.5	337.0
f7c1c579-2dc0-47e2-ba19-8165c5a0e353	adrenal gland	Homo sapiens	30000	10	61497	18609	30000	0.7567	13.85	337.0
f7c1c579-2dc0-47e2-ba19-8165c5a0e353	adrenal gland	Homo sapiens	30000	20	61497	16237	30000	0.6667	20.0	336.0
f7c1c579-2dc0-47e2-ba19-8165c5a0e353	adrenal gland	Homo sapiens	30000	50	61497	13527	30000	0.5637	27.9	334.0
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	30000	1	61497	28033	30000	0.993	0.35	1371.0
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	30000	3	61497	25119	30000	1.0	0.0	1371.0
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	30000	5	61497	23857	30000	0.995	0.25	1370.5
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	30000	10	61497	22171	30000	0.992	0.4	1370.0
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	30000	20	61497	20585	30000	0.9763	1.2	1370.0
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	30000	50	61497	18328	30000	0.9352	3.35	1368.0
74cff64f-9da9-4b2a-9b3b-8a04a1598040	placenta	Homo sapiens	30000	1	61497	28681	30000	0.9841	0.8	2098.0
74cff64f-9da9-4b2a-9b3b-8a04a1598040	placenta	Homo sapiens	30000	3	61497	27400	30000	1.0	0.0	2098.0
74cff64f-9da9-4b2a-9b3b-8a04a1598040	placenta	Homo sapiens	30000	5	61497	26630	30000	0.99	0.5	2098.0
74cff64f-9da9-4b2a-9b3b-8a04a1598040	placenta	Homo sapiens	30000	10	61497	25292	30000	0.9734	1.35	2097.5
74cff64f-9da9-4b2a-9b3b-8a04a1598040	placenta	Homo sapiens	30000	20	61497	23632	30000	0.9666	1.7	2097.0
74cff64f-9da9-4b2a-9b3b-8a04a1598040	placenta	Homo sapiens	30000	50	61497	21058	30000	0.9446	2.85	2094.0
a12ccb9b-4fbe-457d-8590-ac78053259ef	kidney	Homo sapiens	30000	1	61497	32375	30000	1.0	0.0	1915.0
a12ccb9b-4fbe-457d-8590-ac78053259ef	kidney	Homo sapiens	30000	3	61497	30415	30000	1.0	0.0	1915.0
a12ccb9b-4fbe-457d-8590-ac78053259ef	kidney	Homo sapiens	30000	5	61497	29290	30000	0.999	0.05	1915.0
