dataset_id	tissue	organism	method	ARI	LISI	kBET	runtime_seconds
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	scanorama	0.390022461440924	5.489182340703075	1.0	60.7
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	scvi	0.5502349916152153	6.144301732081303	1.0	330.9
731e0ae7-e600-470f-a6dc-8c35c28d6c3d	heart	Mus musculus	scanorama	0.4690910038543109	6.952450470839049	1.0	30.4
731e0ae7-e600-470f-a6dc-8c35c28d6c3d	heart	Mus musculus	scvi	0.8305036210339559	10.639882636433285	1.0	328.9
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	scanorama	0.4232762467581373	4.61574375377847	1.0	21.7
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	scvi	0.7573774337082738	7.993418777151601	1.0	249.8
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	scanorama	0.2076204322322428	4.289358008321507	1.0	31.3
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	scvi	0.2546930333278626	5.490178878306965	1.0	333.0
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	scanorama	0.3201187076660731	5.191588584360732	0.98	36.4
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	scvi	0.4779274859464946	7.082727014928135	0.98	331.7
5695d556-974e-4d92-9e99-5f61b8695313	ovary	Mus musculus	scanorama	0.2239890675291916	2.70380897045416	1.0	6.7
5695d556-974e-4d92-9e99-5f61b8695313	ovary	Mus musculus	scvi	0.1267316528201713	3.263692216225228	1.0	83.0
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	scanorama	0.4362160428485969	7.807819240059613	1.0	42.9
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	scvi	0.5708419403344287	9.68610983988365	1.0	330.6
48b37086-25f7-4ecd-be66-f5bb378e3aea	bone marrow	Mus musculus	scanorama	0.4220432846700049	4.500653535640271	1.0	45.2
48b37086-25f7-4ecd-be66-f5bb378e3aea	bone marrow	Mus musculus	scvi	0.627065736879924	5.5769407184095945	1.0	331.2
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	scanorama	0.6272841181191056	2.6468856068187097	1.0	25.1
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	scvi	0.6593079194899082	2.577746652815172	1.0	331.9
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	scanorama	0.4230615233926366	4.4220862709146935	1.0	33.2
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	scvi	0.4973075739145227	5.424654368156904	1.0	341.8
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	harmony	0.41			6.18
19053a82-9c89-4fb8-bd19-d7b1800b0b7b	stomach	Homo sapiens	harmony	0.4431			7.47
37a17b78-4864-4a42-b67b-31c00962795a	brain	Homo sapiens	harmony	0.6301			44.02
3c364ffe-d599-44d5-a77f-6c5fd7038cf6	central nervous system	Homo sapiens	harmony	0.7416			5.37
3faad104-2ab8-4434-816d-474d8d2641db	blood	Homo sapiens	harmony	0.4885			52.11
65badd7a-9262-4fd1-9ce2-eb5dc0ca8039	heart	Homo sapiens	harmony	0.8376			4.44
6725ee8e-ef5b-4e68-8901-61bd14a1fe73	intestine	Homo sapiens	harmony	0.1882			8.27
67b6b9ac-b841-42ce-b2d4-ed2ec12327bd	lymph node	Homo sapiens	harmony	0.5516			7.0
72955cdb-bd92-4135-aa52-21f33f9640db	vasculature	Homo sapiens	harmony	0.4963			5.98
842c6f5d-4a94-4eef-8510-8c792d1124bc	breast	Homo sapiens	harmony	0.676			5.66
9f222629-9e39-47d0-b83f-e08d610c7479	lung	Homo sapiens	harmony	0.2362			11.91
a12ccb9b-4fbe-457d-8590-ac78053259ef	kidney	Homo sapiens	harmony	0.6206			6.24
d6505c89-c43d-4c28-8c4f-7351a5fd5528	eye	Homo sapiens	harmony	0.7131			3.89
e22482ee-19e8-40bc-9f6e-541dc3c82c20	bone marrow	Homo sapiens	harmony	0.0832			9.17
edc8d3fe-153c-4e3d-8be0-2108d30f8d70	nose	Homo sapiens	harmony	0.4718			6.45
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	harmony	0.5963			4.07
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	harmony	0.8215			5.13
48b37086-25f7-4ecd-be66-f5bb378e3aea	bone marrow	Mus musculus	harmony	0.5782			4.27
49e4ffcc-5444-406d-bdee-577127404ba8	pancreas	Mus musculus	harmony	0.5546			6.5
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	harmony	0.2016			6.19
5695d556-974e-4d92-9e99-5f61b8695313	ovary	Mus musculus	harmony	0.1377			1.23
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	harmony	0.5598			4.94
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	harmony	0.5838			4.99
731e0ae7-e600-470f-a6dc-8c35c28d6c3d	heart	Mus musculus	harmony	0.743			4.36
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	harmony	0.7365			4.51
812fa7bd-db15-4357-b2c9-efc8e1eb0450	brain	Mus musculus	harmony	0.6635			15.13
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	harmony	0.6522			5.4
b6f472f1-a58d-43a7-a898-2d6822a0b2b2	nervous system	Mus musculus	harmony	0.1879			6.58
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	harmony	0.4671			5.92
dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3	embryo	Mus musculus	harmony	0.5789			5.55
3faad104-2ab8-4434-816d-474d8d2641db	blood	Homo sapiens	bbknn	0.1983			323.0
6725ee8e-ef5b-4e68-8901-61bd14a1fe73	intestine	Homo sapiens	bbknn	0.0			55.1
19053a82-9c89-4fb8-bd19-d7b1800b0b7b	stomach	Homo sapiens	bbknn	0.1192			54.9
842c6f5d-4a94-4eef-8510-8c792d1124bc	breast	Homo sapiens	bbknn	0.6366			51.1
d6505c89-c43d-4c28-8c4f-7351a5fd5528	eye	Homo sapiens	bbknn	0.6441			37.0
a12ccb9b-4fbe-457d-8590-ac78053259ef	kidney	Homo sapiens	bbknn	0.6092			41.3
72955cdb-bd92-4135-aa52-21f33f9640db	vasculature	Homo sapiens	bbknn	0.4341			35.0
3c364ffe-d599-44d5-a77f-6c5fd7038cf6	central nervous system	Homo sapiens	bbknn	0.5976			27.7
65badd7a-9262-4fd1-9ce2-eb5dc0ca8039	heart	Homo sapiens	bbknn	0.8857			25.5
e22482ee-19e8-40bc-9f6e-541dc3c82c20	bone marrow	Homo sapiens	bbknn	0.0894			64.1
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	bbknn	0.508			35.3
b6f472f1-a58d-43a7-a898-2d6822a0b2b2	nervous system	Mus musculus	bbknn	0.5067			44.6
dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3	embryo	Mus musculus	bbknn	0.2059			34.5
49e4ffcc-5444-406d-bdee-577127404ba8	pancreas	Mus musculus	bbknn	0.2545			30.2
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	bbknn	0.5509			19.3
731e0ae7-e600-470f-a6dc-8c35c28d6c3d	heart	Mus musculus	bbknn	0.6757			14.9
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	bbknn	0.6216			11.5
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	bbknn	0.3097			15.9
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	bbknn	0.5864			12.3
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	bbknn	0.8099			13.2
48b37086-25f7-4ecd-be66-f5bb378e3aea	bone marrow	Mus musculus	bbknn	0.2697			10.5
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	bbknn	0.4352			8.9
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	bbknn	0.3467			11.1
