dataset_id	tissue	organism	resolution	ari	n_clusters	n_true_types	over_clustering	under_clustering	optimal_flag
e056b20b-bb29-40c8-afd4-03124cf828a8	brain	Mus musculus	0.5	0.3757	17	29	1.0	1.706	False
e056b20b-bb29-40c8-afd4-03124cf828a8	brain	Mus musculus	0.8	0.2999	25	29	1.0	1.16	False
e056b20b-bb29-40c8-afd4-03124cf828a8	brain	Mus musculus	1.0	0.212	31	29	1.069	1.0	False
e056b20b-bb29-40c8-afd4-03124cf828a8	brain	Mus musculus	1.5	0.1648	41	29	1.414	1.0	False
e056b20b-bb29-40c8-afd4-03124cf828a8	brain	Mus musculus	2.0	0.155	44	29	1.517	1.0	False
db83a61c-64d9-4266-bfcb-3d1469e42824	lymph node	Mus musculus	0.1	0.5704	11	29	1.0	2.636	False
db83a61c-64d9-4266-bfcb-3d1469e42824	lymph node	Mus musculus	0.2	0.6614	15	29	1.0	1.933	True
db83a61c-64d9-4266-bfcb-3d1469e42824	lymph node	Mus musculus	0.3	0.6611	15	29	1.0	1.933	False
db83a61c-64d9-4266-bfcb-3d1469e42824	lymph node	Mus musculus	0.5	0.5877	20	29	1.0	1.45	False
db83a61c-64d9-4266-bfcb-3d1469e42824	lymph node	Mus musculus	0.8	0.5791	23	29	1.0	1.261	False
db83a61c-64d9-4266-bfcb-3d1469e42824	lymph node	Mus musculus	1.0	0.5729	24	29	1.0	1.208	False
db83a61c-64d9-4266-bfcb-3d1469e42824	lymph node	Mus musculus	1.5	0.5837	27	29	1.0	1.074	False
db83a61c-64d9-4266-bfcb-3d1469e42824	lymph node	Mus musculus	2.0	0.5445	31	29	1.069	1.0	False
db83a61c-64d9-4266-bfcb-3d1469e42824	colon	Mus musculus	0.1	0.455	10	29	1.0	2.9	False
db83a61c-64d9-4266-bfcb-3d1469e42824	colon	Mus musculus	0.2	0.5683	12	29	1.0	2.417	False
db83a61c-64d9-4266-bfcb-3d1469e42824	colon	Mus musculus	0.3	0.6475	15	29	1.0	1.933	True
db83a61c-64d9-4266-bfcb-3d1469e42824	colon	Mus musculus	0.5	0.6239	17	29	1.0	1.706	False
db83a61c-64d9-4266-bfcb-3d1469e42824	colon	Mus musculus	0.8	0.6206	20	29	1.0	1.45	False
db83a61c-64d9-4266-bfcb-3d1469e42824	colon	Mus musculus	1.0	0.5877	21	29	1.0	1.381	False
db83a61c-64d9-4266-bfcb-3d1469e42824	colon	Mus musculus	1.5	0.5565	23	29	1.0	1.261	False
db83a61c-64d9-4266-bfcb-3d1469e42824	colon	Mus musculus	2.0	0.4836	27	29	1.0	1.074	False
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	0.1	0.7783	21	27	1.0	1.286	True
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	0.2	0.6819	24	27	1.0	1.125	False
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	0.3	0.6382	28	27	1.037	1.0	False
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	0.5	0.5414	35	27	1.296	1.0	False
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	0.8	0.4788	44	27	1.63	1.0	False
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	1.0	0.4324	45	27	1.667	1.0	False
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	1.5	0.3814	55	27	2.037	1.0	False
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	2.0	0.335	65	27	2.407	1.0	False
2a262b59-7936-4ecd-b656-248247a0559f	urethra	Mus musculus	0.1	0.4119	9	26	1.0	2.889	True
2a262b59-7936-4ecd-b656-248247a0559f	urethra	Mus musculus	0.2	0.3857	15	26	1.0	1.733	False
2a262b59-7936-4ecd-b656-248247a0559f	urethra	Mus musculus	0.3	0.3695	18	26	1.0	1.444	False
2a262b59-7936-4ecd-b656-248247a0559f	urethra	Mus musculus	0.5	0.3625	25	26	1.0	1.04	False
2a262b59-7936-4ecd-b656-248247a0559f	urethra	Mus musculus	0.8	0.3623	30	26	1.154	1.0	False
2a262b59-7936-4ecd-b656-248247a0559f	urethra	Mus musculus	1.0	0.3075	33	26	1.269	1.0	False
2a262b59-7936-4ecd-b656-248247a0559f	urethra	Mus musculus	1.5	0.2663	43	26	1.654	1.0	False
2a262b59-7936-4ecd-b656-248247a0559f	urethra	Mus musculus	2.0	0.2542	49	26	1.885	1.0	False
