dataset_id	tissue	organism	tool	cell_type	precision	recall	f1	n_cells
e04daea4-4412-45b5-989e-76a9be070a89	lung	Homo sapiens	MarkerScore	Fibroblasts	0.9898132427843803	0.9965811965811966	0.9931856899488927	585
e04daea4-4412-45b5-989e-76a9be070a89	lung	Homo sapiens	MarkerScore	Macrophages	0.2608695652173913	0.75	0.3870967741935484	32
e04daea4-4412-45b5-989e-76a9be070a89	lung	Homo sapiens	MarkerScore	NK cells	0.7383966244725738	0.9943181818181818	0.847457627118644	1232
e04daea4-4412-45b5-989e-76a9be070a89	lung	Homo sapiens	MarkerScore	T cells	0.9957627118644068	0.31501340482573725	0.4786150712830957	746
8f3e7fcf-0b16-4a29-a5f1-a7a8b267d689	uterus	Homo sapiens	MarkerScore	Endothelial	0.9473453268977622	0.9570035460992907	0.9521499448732084	2256
8f3e7fcf-0b16-4a29-a5f1-a7a8b267d689	uterus	Homo sapiens	MarkerScore	Fibroblasts	0.8782467532467533	0.9491228070175438	0.9123102866779089	570
8f3e7fcf-0b16-4a29-a5f1-a7a8b267d689	uterus	Homo sapiens	MarkerScore	Macrophages	0.9632089933571794	0.8619112940100594	0.9097490347490348	2187
8f3e7fcf-0b16-4a29-a5f1-a7a8b267d689	uterus	Homo sapiens	MarkerScore	NK cells	0.9429338704263176	0.9818245368752184	0.961986301369863	2861
8f3e7fcf-0b16-4a29-a5f1-a7a8b267d689	uterus	Homo sapiens	MarkerScore	T cells	0.5859375	0.8823529411764706	0.704225352112676	85
d7dcfd8f-2ee7-4385-b9ac-e074c23ed190	kidney	Homo sapiens	MarkerScore	Endothelial	0.7778546712802769	0.9205569205569205	0.8432108027006752	1221
d7dcfd8f-2ee7-4385-b9ac-e074c23ed190	kidney	Homo sapiens	MarkerScore	Fibroblasts	0.9600233440326816	0.8745348219032429	0.9152872444011685	3762
d7dcfd8f-2ee7-4385-b9ac-e074c23ed190	kidney	Homo sapiens	MarkerScore	Hepatocytes	0.0	0.0	0.0	0
