gene	cell_type	organism	tissue	n_datasets	mean_AUC	sd_AUC	ci_lower	ci_upper	mw_pval	reliability_score
CDH5	Macrophages	Homo sapiens	multiple	10	0.4865	0.0495	0.4836	0.4896	0.00e+00	0.4624
KLRD1	Fibroblasts	Homo sapiens	multiple	11	0.4897	0.0579	0.4831	0.4967	0.00e+00	0.4613
MARCO	Fibroblasts	Homo sapiens	multiple	11	0.4741	0.0274	0.4713	0.4773	0.00e+00	0.4611
TTR	NK cells	Homo sapiens	multiple	7	0.4803	0.0404	0.4768	0.4851	0.00e+00	0.4609
VWF	Macrophages	Homo sapiens	multiple	10	0.4742	0.0319	0.4699	0.4788	0.00e+00	0.4591
ALB	T cells	Homo sapiens	multiple	11	0.4824	0.0485	0.4805	0.4845	1.01e-288	0.459
MARCO	NK cells	Homo sapiens	multiple	9	0.4709	0.0278	0.4678	0.4752	0.00e+00	0.4578
CDH5	Hepatocytes	Homo sapiens	multiple	7	0.473	0.0323	0.4704	0.476	0.00e+00	0.4577
CD68	Fibroblasts	Homo sapiens	multiple	11	0.4863	0.0602	0.4791	0.4936	0.00e+00	0.457
MRC1	Fibroblasts	Mus musculus	multiple	14	0.4746	0.0381	0.4668	0.4831	1.02e-190	0.4565
CDH5	NK cells	Homo sapiens	multiple	9	0.4692	0.0279	0.4662	0.4736	0.00e+00	0.4561
MARCO	T cells	Homo sapiens	multiple	11	0.4682	0.0295	0.4661	0.4705	0.00e+00	0.4544
KLRD1	Endothelial	Homo sapiens	multiple	11	0.4739	0.0443	0.4666	0.4817	0.00e+00	0.4529
CDH5	Macrophages	Mus musculus	multiple	17	0.4978	0.0915	0.4925	0.5037	0.00e+00	0.4522
CDH5	T cells	Homo sapiens	multiple	11	0.4653	0.0299	0.463	0.4677	0.00e+00	0.4514
PECAM1	Macrophages	Mus musculus	multiple	17	0.4758	0.0524	0.4668	0.4853	0.00e+00	0.4509
VWF	Fibroblasts	Homo sapiens	multiple	11	0.4712	0.0436	0.4667	0.4761	0.00e+00	0.4507
VWF	NK cells	Homo sapiens	multiple	9	0.4652	0.0316	0.4558	0.4768	8.31e-306	0.4504
CD4	Fibroblasts	Mus musculus	multiple	14	0.4773	0.0566	0.4752	0.4805	7.06e-74	0.4503
CDH5	Fibroblasts	Mus musculus	multiple	14	0.4876	0.0775	0.4795	0.4961	0.00e+00	0.4498
CD8A	Fibroblasts	Mus musculus	multiple	13	0.4787	0.0617	0.4773	0.4801	8.00e-35	0.4492
APOB	T cells	Mus musculus	multiple	12	0.4792	0.0636	0.4765	0.4822	4.72e-155	0.4487
NKG7	Macrophages	Homo sapiens	multiple	10	0.4823	0.0706	0.4763	0.4882	0.00e+00	0.4483
KLRD1	Hepatocytes	Homo sapiens	multiple	7	0.4781	0.0626	0.4715	0.4847	0.00e+00	0.4482
MRC1	Endothelial	Mus musculus	multiple	17	0.5117	0.1263	0.504	0.5201	0.00e+00	0.4471
ALB	NK cells	Homo sapiens	multiple	9	0.4756	0.0602	0.4738	0.4776	0.00e+00	0.4469
GNLY	Hepatocytes	Homo sapiens	multiple	7	0.466	0.0416	0.4624	0.4704	3.22e-240	0.4466
