gene	cell_type	organism	tissue	n_datasets	mean_AUC	sd_AUC	ci_lower	ci_upper	mw_pval	reliability_score
COL1A2	Hepatocytes	Mus musculus	multiple	4	0.4717	0.037	0.4683	0.4755	6.10e-242	0.3634
COL1A2	Macrophages	Mus musculus	multiple	17	0.406	0.1085	0.3992	0.4133	0.00e+00	0.362
NKG7	Hepatocytes	Homo sapiens	multiple	7	0.3985	0.0953	0.3938	0.4035	0.00e+00	0.3605
KLRD1	Hepatocytes	Mus musculus	multiple	4	0.4608	0.0238	0.4577	0.4645	0.00e+00	0.3599
DCN	T cells	Mus musculus	multiple	13	0.4038	0.1088	0.3928	0.4157	0.00e+00	0.3599
COL1A2	Endothelial	Mus musculus	multiple	17	0.4062	0.1174	0.3969	0.4166	0.00e+00	0.3585
COL1A2	T cells	Mus musculus	multiple	13	0.4004	0.1117	0.3925	0.4089	0.00e+00	0.3557
COL1A2	NK cells	Homo sapiens	multiple	9	0.3926	0.0969	0.3855	0.4016	0.00e+00	0.3545
DCN	Hepatocytes	Mus musculus	multiple	4	0.4595	0.0363	0.4525	0.4658	9.68e-310	0.3543
CD8A	Hepatocytes	Mus musculus	multiple	4	0.4571	0.047	0.454	0.4598	9.73e-108	0.3485
CD4	Hepatocytes	Mus musculus	multiple	4	0.4496	0.0489	0.4459	0.453	1.54e-258	0.3421
NKG7	Hepatocytes	Mus musculus	multiple	4	0.436	0.0464	0.4317	0.4403	6.49e-201	0.3326
CD3E	Hepatocytes	Mus musculus	multiple	4	0.4306	0.0485	0.4269	0.4343	0.00e+00	0.3278
CD3D	Hepatocytes	Mus musculus	multiple	4	0.4247	0.0515	0.4205	0.4289	1.02e-149	0.3223
CYP3A4	NK cells	Mus musculus	multiple	4	0.4326	0.1016	0.4233	0.4422	4.10e-80	0.3109
PECAM1	Hepatocytes	Mus musculus	multiple	4	0.3682	0.0977	0.3618	0.3746	1.53e-283	0.2658
C1QA	Hepatocytes	Mus musculus	multiple	4	0.3693	0.1445	0.3638	0.3756	1.53e-26	0.2527
CDH5	Hepatocytes	Mus musculus	multiple	4	0.3375	0.1461	0.3318	0.3434	6.72e-140	0.2306
MRC1	Hepatocytes	Mus musculus	multiple	4	0.3151	0.1427	0.3044	0.3323	2.94e-126	0.2161
CD68	Hepatocytes	Mus musculus	multiple	3	0.3687	0.1319	0.3648	0.3723	1.09e-06	0.1921
